"aar","bydel_nr","Bydel","enhet","tabellvariabel","tabell_navn","botid_5","vreg_3","fylke_nr","Fylke","kommune_nr","naringsregion_nr"
"2014","030103","NULL","personer","778","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","1475","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","854","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","2735","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","3589","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030103","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030104",,"navn","St.Hanshaugen","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","4705","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","3680","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","8385","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","2768","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","1300","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","4068","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","906","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","661","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","1567","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","1031","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","1719","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","2750","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030104","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030105",,"navn","Frogner","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","8179","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","5017","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","13196","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","4661","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","2029","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","6690","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","1293","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","753","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","2046","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","2225","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","2235","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","4460","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030105","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030106",,"navn","Ullern","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","2796","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","1973","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
