"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","07","inttilsk_2_5","kroner","98144900","tilskudd","NULL","NULL"
"2011","07","funkhem","kroner","8516377","tilskudd","NULL","NULL"
"2011","07","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","07","em_tilsk","kroner","16460835","tilskudd","NULL","NULL"
"2011","07","barnehage_tilsk","kroner","372600","tilskudd","NULL","NULL"
"2011","07","eldre_tilsk","kroner","348800","tilskudd","NULL","NULL"
"2011","07","skole_tilsk","kroner","2452800","tilskudd","NULL","NULL"
"2011","08","totalt","kroner","241103610","tilskudd","NULL","NULL"
"2011","08","inttilsk_1_5","kroner","205278475","tilskudd","NULL","NULL"
"2011","08","inttilsk_1","kroner","61682500","tilskudd","NULL","NULL"
"2011","08","inttilsk_2_5","kroner","143595975","tilskudd","NULL","NULL"
"2011","08","funkhem","kroner","14364056","tilskudd","NULL","NULL"
"2011","08","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","08","em_tilsk","kroner","17099279","tilskudd","NULL","NULL"
"2011","08","barnehage_tilsk","kroner","848700","tilskudd","NULL","NULL"
"2011","08","eldre_tilsk","kroner","689500","tilskudd","NULL","NULL"
"2011","08","skole_tilsk","kroner","2823600","tilskudd","NULL","NULL"
"2011","09","totalt","kroner","143414870","tilskudd","NULL","NULL"
"2011","09","inttilsk_1_5","kroner","120811325","tilskudd","NULL","NULL"
"2011","09","inttilsk_1","kroner","26912500","tilskudd","NULL","NULL"
"2011","09","inttilsk_2_5","kroner","93898825","tilskudd","NULL","NULL"
"2011","09","funkhem","kroner","8389580","tilskudd","NULL","NULL"
"2011","09","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","09","em_tilsk","kroner","11728965","tilskudd","NULL","NULL"
"2011","09","barnehage_tilsk","kroner","289800","tilskudd","NULL","NULL"
"2011","09","eldre_tilsk","kroner","138700","tilskudd","NULL","NULL"
"2011","09","skole_tilsk","kroner","2056500","tilskudd","NULL","NULL"
"2011","10","totalt","kroner","229104447","tilskudd","NULL","NULL"
"2011","10","inttilsk_1_5","kroner","198927500","tilskudd","NULL","NULL"
"2011","10","inttilsk_1","kroner","52670000","tilskudd","NULL","NULL"
"2011","10","inttilsk_2_5","kroner","146257500","tilskudd","NULL","NULL"
