Bydel nr & navn;bydel_nr;"Bydel
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
030107 Vestre Aker;30107;Veste Aker;4047;5891;2127;5432;15966;6681;6300;144;264;125;1350;3570;713;570;3903;5627;2002;4082;12396;5968;5730;2066;2953;1091;2470;7761;3245;2737;67;133;62;461;1748;331;211;1999;2820;1029;2009;6013;2914;2526;1981;2938;1036;2962;8205;3436;3563;77;131;63;889;1822;382;359;1904;2807;973;2073;6383;3054;3204
030108 Nordre Aker;30108;Nordre Aker;4111;6012;2122;7613;17527;5851;5484;139;222;107;2225;3613;521;326;3972;5790;2015;5388;13914;5330;5158;2144;3163;1102;3732;8801;2948;2329;69;108;53;1040;1917;286;122;2075;3055;1049;2692;6884;2662;2207;1967;2849;1020;3881;8726;2903;3155;70;114;54;1185;1696;235;204;1897;2735;966;2696;7030;2668;2951
030109 Bjerke;30109;Bjerke;3118;3612;1175;4366;11896;3099;3061;118;454;268;1759;5534;834;319;3000;3158;907;2607;6362;2265;2742;1570;1871;602;2159;6255;1551;1247;48;237;140;879;3101;486;154;1522;1634;462;1280;3154;1065;1093;1548;1741;573;2207;5641;1548;1814;70;217;128;880;2433;348;165;1478;1524;445;1327;3208;1200;1649
030110 Grorud;30110;Grorud;2291;3248;1292;3581;10242;3209;3238;91;378;291;1436;5141;922;385;2200;2870;1001;2145;5101;2287;2853;1136;1650;694;1698;5267;1551;1307;45;199;157;626;2693;501;173;1091;1451;537;1072;2574;1050;1134;1155;1598;598;1883;4975;1658;1931;46;179;134;810;2448;421;212;1109;1419;464;1073;2527;1237;1719
030111 Stovner;30111;Stovner;2506;4301;1737;3982;10910;3919;3985;105;504;335;1700;6097;1233;534;2401;3797;1402;2282;4813;2686;3451;1356;2206;931;1989;5662;1913;1739;59;271;183;791;3217;701;270;1297;1935;748;1198;2445;1212;1469;1150;2095;806;1993;5248;2006;2246;46;233;152;909;2880;532;264;1104;1862;654;1084;2368;1474;1982
030112 Alna;30112;Alna;4214;5699;2166;6670;17852;6222;5484;152;682;445;2599;9601;1897;816;4062;5017;1721;4071;8251;4325;4668;2156;2862;1140;3234;9222;3027;2305;75;355;249;1186;4978;1034;411;2081;2507;891;2048;4244;1993;1894;2058;2837;1026;3436;8630;3195;3179;77;327;196;1413;4623;863;405;1981;2510;830;2023;4007;2332;2774
030113 Østensjø;30113;Østensjø;4398;5676;2052;5714;18530;5428;6916;103;395;218;1342;4939;815;533;4295;5281;1834;4372;13591;4613;6383;2277;2904;1031;2773;9018;2635;2621;58;199;100;570;2509;456;190;2219;2705;931;2203;6509;2179;2431;2121;2772;1021;2941;9512;2793;4295;45;196;118;772;2430;359;343;2076;2576;903;2169;7082;2434;3952
030114 Nordstrand;30114;Nordstrand;4048;5960;2260;5574;17785;6419;6885;81;246;175;1178;3687;636;502;3967;5714;2085;4396;14098;5783;6383;2034;3030;1132;2661;8733;3163;2812;47;126;86;525;1908;347;196;1987;2904;1046;2136;6825;2816;2616;2014;2930;1128;2913;9052;3256;4073;34;120;89;653;1779;289;306;1980;2810;1039;2260;7273;2967;3767
030115 Søndre Nordstrand;30115;Søndre Nordstrand;3456;5456;2226;5005;13409;4863;2639;131;592;393;1803;7185;1613;621;3325;4864;1833;3202;6224;3250;2018;1783;2835;1145;2512;6601;2455;1276;65;281;203;831;3609;885;322;1718;2554;942;1681;2992;1570;954;1673;2621;1081;2493;6808;2408;1363;66;311;190;972;3576;728;299;1607;2310;891;1521;3232;1680;1064
030116 Sentrum;30116;Sentrum;20;12;14;419;414;58;21;0;4;9;206;238;22;4;20;8;5;213;176;36;17;7;5;11;228;290;39;13;0;0;8;120;164;12;3;7;5;3;108;126;27;10;13;7;3;191;124;19;8;0;3;0;86;74;10;3;13;4;3;105;50;9;5
030117 Marka;30117;Marka;101;192;93;149;627;268;178;3;6;7;27;88;15;10;98;186;86;122;539;253;168;46;92;43;69;328;149;99;3;3;4;9;50;8;5;43;89;39;60;278;141;94;55;100;50;80;299;119;79;0;3;3;18;38;7;5;55;97;47;62;261;112;74
030199 Uoppgitt bydel Oslo;30199;Uoppgitt bydel Oslo;152;221;47;801;2111;348;137;14;40;21;555;1336;170;39;138;181;26;246;775;178;98;86;121;19;532;1703;280;73;4;20;8;378;1125;150;20;82;101;11;154;578;130;53;66;100;28;269;408;68;64;10;20;13;177;211;20;19;56;80;15;92;197;48;45
