"aar","fylke_nr","kjonn","enhet","tabellvariabel","tabell_navn","bydel_nr","kommune_nr","naringsregion_nr"
"2015","NULL","1","personer","28","intro_deltakere","030105","NULL","NULL"
"2015","NULL","alle","personer","48","intro_deltakere","030105","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030106","NULL","NULL"
"2015","NULL","1","personer","15","intro_deltakere","030106","NULL","NULL"
"2015","NULL","alle","personer","33","intro_deltakere","030106","NULL","NULL"
"2015","NULL","0","personer","27","intro_deltakere","030107","NULL","NULL"
"2015","NULL","1","personer","25","intro_deltakere","030107","NULL","NULL"
"2015","NULL","alle","personer","52","intro_deltakere","030107","NULL","NULL"
"2015","NULL","0","personer","23","intro_deltakere","030108","NULL","NULL"
"2015","NULL","1","personer","17","intro_deltakere","030108","NULL","NULL"
"2015","NULL","alle","personer","40","intro_deltakere","030108","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030109","NULL","NULL"
"2015","NULL","1","personer","20","intro_deltakere","030109","NULL","NULL"
"2015","NULL","alle","personer","38","intro_deltakere","030109","NULL","NULL"
"2015","NULL","0","personer","23","intro_deltakere","030110","NULL","NULL"
"2015","NULL","1","personer","16","intro_deltakere","030110","NULL","NULL"
"2015","NULL","alle","personer","39","intro_deltakere","030110","NULL","NULL"
"2015","NULL","0","personer","30","intro_deltakere","030111","NULL","NULL"
"2015","NULL","1","personer","17","intro_deltakere","030111","NULL","NULL"
"2015","NULL","alle","personer","47","intro_deltakere","030111","NULL","NULL"
"2015","NULL","0","personer","40","intro_deltakere","030112","NULL","NULL"
"2015","NULL","1","personer","37","intro_deltakere","030112","NULL","NULL"
"2015","NULL","alle","personer","77","intro_deltakere","030112","NULL","NULL"
"2015","NULL","0","personer","18","intro_deltakere","030113","NULL","NULL"
"2015","NULL","1","personer","17","intro_deltakere","030113","NULL","NULL"
"2015","NULL","alle","personer","35","intro_deltakere","030113","NULL","NULL"
"2015","NULL","0","personer","24","intro_deltakere","030114","NULL","NULL"
"2015","NULL","1","personer","14","intro_deltakere","030114","NULL","NULL"
"2015","NULL","alle","personer","38","intro_deltakere","030114","NULL","NULL"
"2015","NULL","0","personer","34","intro_deltakere","030115","NULL","NULL"
"2015","NULL","1","personer","23","intro_deltakere","030115","NULL","NULL"
"2015","NULL","alle","personer","57","intro_deltakere","030115","NULL","NULL"
"2015","NULL","0","personer",":","intro_deltakere","030116","NULL","NULL"
"2015","NULL","1","personer",":","intro_deltakere","030116","NULL","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","030116","NULL","NULL"
"2015","NULL","0","personer",".","intro_deltakere","030117","NULL","NULL"
"2015","NULL","1","personer",".","intro_deltakere","030117","NULL","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","030117","NULL","NULL"
"2015","NULL","0","personer","23","intro_deltakere","030199","NULL","NULL"
"2015","NULL","1","personer","21","intro_deltakere","030199","NULL","NULL"
"2015","NULL","alle","personer","44","intro_deltakere","030199","NULL","NULL"
"2015","NULL","0","personer","11","intro_deltakere","NULL","0101","NULL"
"2015","NULL","1","personer","5","intro_deltakere","NULL","0101","NULL"
"2015","NULL","alle","personer","16","intro_deltakere","NULL","0101","NULL"
"2015","NULL","0","personer","23","intro_deltakere","NULL","0104","NULL"
"2015","NULL","1","personer","23","intro_deltakere","NULL","0104","NULL"
"2015","NULL","alle","personer","46","intro_deltakere","NULL","0104","NULL"
"2015","NULL","0","personer","38","intro_deltakere","NULL","0105","NULL"
"2015","NULL","1","personer","64","intro_deltakere","NULL","0105","NULL"
"2015","NULL","alle","personer","102","intro_deltakere","NULL","0105","NULL"
"2015","NULL","0","personer","48","intro_deltakere","NULL","0106","NULL"
"2015","NULL","1","personer","46","intro_deltakere","NULL","0106","NULL"
"2015","NULL","alle","personer","94","intro_deltakere","NULL","0106","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0111","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0111","NULL"
"2015","NULL","alle","personer","9","intro_deltakere","NULL","0111","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0118","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0118","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0118","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0119","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0119","NULL"
"2015","NULL","alle","personer","6","intro_deltakere","NULL","0119","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0121","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0121","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0121","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0122","NULL"
"2015","NULL","1","personer","6","intro_deltakere","NULL","0122","NULL"
"2015","NULL","alle","personer","6","intro_deltakere","NULL","0122","NULL"
"2015","NULL","0","personer","12","intro_deltakere","NULL","0123","NULL"
"2015","NULL","1","personer","13","intro_deltakere","NULL","0123","NULL"
"2015","NULL","alle","personer","25","intro_deltakere","NULL","0123","NULL"
"2015","NULL","0","personer","7","intro_deltakere","NULL","0124","NULL"
"2015","NULL","1","personer","11","intro_deltakere","NULL","0124","NULL"
"2015","NULL","alle","personer","18","intro_deltakere","NULL","0124","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0125","NULL"
"2015","NULL","1","personer","10","intro_deltakere","NULL","0125","NULL"
"2015","NULL","alle","personer","19","intro_deltakere","NULL","0125","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0127","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0127","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0127","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0128","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0128","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0128","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0135","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0135","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0135","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0136","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0136","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0136","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0137","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0137","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0137","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0138","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0138","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0138","NULL"
"2015","NULL","0","personer","15","intro_deltakere","NULL","0211","NULL"
"2015","NULL","1","personer","21","intro_deltakere","NULL","0211","NULL"
"2015","NULL","alle","personer","36","intro_deltakere","NULL","0211","NULL"
"2015","NULL","0","personer","30","intro_deltakere","NULL","0213","NULL"
"2015","NULL","1","personer","41","intro_deltakere","NULL","0213","NULL"
"2015","NULL","alle","personer","71","intro_deltakere","NULL","0213","NULL"
"2015","NULL","0","personer","14","intro_deltakere","NULL","0214","NULL"
"2015","NULL","1","personer","20","intro_deltakere","NULL","0214","NULL"
"2015","NULL","alle","personer","34","intro_deltakere","NULL","0214","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0215","NULL"
"2015","NULL","1","personer","9","intro_deltakere","NULL","0215","NULL"
"2015","NULL","alle","personer","18","intro_deltakere","NULL","0215","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0216","NULL"
"2015","NULL","1","personer","14","intro_deltakere","NULL","0216","NULL"
"2015","NULL","alle","personer","23","intro_deltakere","NULL","0216","NULL"
"2015","NULL","0","personer","23","intro_deltakere","NULL","0217","NULL"
"2015","NULL","1","personer","23","intro_deltakere","NULL","0217","NULL"
"2015","NULL","alle","personer","46","intro_deltakere","NULL","0217","NULL"
"2015","NULL","0","personer","94","intro_deltakere","NULL","0219","NULL"
"2015","NULL","1","personer","110","intro_deltakere","NULL","0219","NULL"
"2015","NULL","alle","personer","204","intro_deltakere","NULL","0219","NULL"
"2015","NULL","0","personer","46","intro_deltakere","NULL","0220","NULL"
"2015","NULL","1","personer","39","intro_deltakere","NULL","0220","NULL"
"2015","NULL","alle","personer","85","intro_deltakere","NULL","0220","NULL"
"2015","NULL","0","personer","8","intro_deltakere","NULL","0221","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0221","NULL"
"2015","NULL","alle","personer","16","intro_deltakere","NULL","0221","NULL"
"2015","NULL","0","personer","7","intro_deltakere","NULL","0226","NULL"
"2015","NULL","1","personer","13","intro_deltakere","NULL","0226","NULL"
"2015","NULL","alle","personer","20","intro_deltakere","NULL","0226","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0227","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0227","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0227","NULL"
"2015","NULL","0","personer","10","intro_deltakere","NULL","0228","NULL"
"2015","NULL","1","personer","23","intro_deltakere","NULL","0228","NULL"
"2015","NULL","alle","personer","33","intro_deltakere","NULL","0228","NULL"
"2015","NULL","0","personer","5","intro_deltakere","NULL","0229","NULL"
"2015","NULL","1","personer","6","intro_deltakere","NULL","0229","NULL"
"2015","NULL","alle","personer","11","intro_deltakere","NULL","0229","NULL"
"2015","NULL","0","personer","15","intro_deltakere","NULL","0230","NULL"
"2015","NULL","1","personer","27","intro_deltakere","NULL","0230","NULL"
"2015","NULL","alle","personer","42","intro_deltakere","NULL","0230","NULL"
"2015","NULL","0","personer","59","intro_deltakere","NULL","0231","NULL"
"2015","NULL","1","personer","59","intro_deltakere","NULL","0231","NULL"
"2015","NULL","alle","personer","118","intro_deltakere","NULL","0231","NULL"
"2015","NULL","0","personer","14","intro_deltakere","NULL","0233","NULL"
"2015","NULL","1","personer","12","intro_deltakere","NULL","0233","NULL"
"2015","NULL","alle","personer","26","intro_deltakere","NULL","0233","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0234","NULL"
"2015","NULL","1","personer","5","intro_deltakere","NULL","0234","NULL"
"2015","NULL","alle","personer","8","intro_deltakere","NULL","0234","NULL"
"2015","NULL","0","personer","13","intro_deltakere","NULL","0235","NULL"
"2015","NULL","1","personer","13","intro_deltakere","NULL","0235","NULL"
"2015","NULL","alle","personer","26","intro_deltakere","NULL","0235","NULL"
"2015","NULL","0","personer","14","intro_deltakere","NULL","0236","NULL"
"2015","NULL","1","personer","14","intro_deltakere","NULL","0236","NULL"
"2015","NULL","alle","personer","28","intro_deltakere","NULL","0236","NULL"
"2015","NULL","0","personer","10","intro_deltakere","NULL","0237","NULL"
"2015","NULL","1","personer","12","intro_deltakere","NULL","0237","NULL"
"2015","NULL","alle","personer","22","intro_deltakere","NULL","0237","NULL"
"2015","NULL","0","personer","11","intro_deltakere","NULL","0238","NULL"
"2015","NULL","1","personer","15","intro_deltakere","NULL","0238","NULL"
"2015","NULL","alle","personer","26","intro_deltakere","NULL","0238","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0239","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0239","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0239","NULL"
"2015","NULL","0","personer","416","intro_deltakere","NULL","0301","NULL"
"2015","NULL","1","personer","367","intro_deltakere","NULL","0301","NULL"
"2015","NULL","alle","personer","783","intro_deltakere","NULL","0301","NULL"
"2015","NULL","0","personer","19","intro_deltakere","NULL","0402","NULL"
"2015","NULL","1","personer","15","intro_deltakere","NULL","0402","NULL"
"2015","NULL","alle","personer","34","intro_deltakere","NULL","0402","NULL"
"2015","NULL","0","personer","37","intro_deltakere","NULL","0403","NULL"
"2015","NULL","1","personer","34","intro_deltakere","NULL","0403","NULL"
"2015","NULL","alle","personer","71","intro_deltakere","NULL","0403","NULL"
"2015","NULL","0","personer","19","intro_deltakere","NULL","0412","NULL"
"2015","NULL","1","personer","18","intro_deltakere","NULL","0412","NULL"
"2015","NULL","alle","personer","37","intro_deltakere","NULL","0412","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0415","NULL"
"2015","NULL","1","personer","5","intro_deltakere","NULL","0415","NULL"
"2015","NULL","alle","personer","11","intro_deltakere","NULL","0415","NULL"
"2015","NULL","0","personer","37","intro_deltakere","NULL","0417","NULL"
"2015","NULL","1","personer","39","intro_deltakere","NULL","0417","NULL"
"2015","NULL","alle","personer","76","intro_deltakere","NULL","0417","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0418","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0418","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0418","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0419","NULL"
"2015","NULL","1","personer","6","intro_deltakere","NULL","0419","NULL"
"2015","NULL","alle","personer","15","intro_deltakere","NULL","0419","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0420","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0420","NULL"
"2015","NULL","alle","personer","5","intro_deltakere","NULL","0420","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0423","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0423","NULL"
"2015","NULL","alle","personer","8","intro_deltakere","NULL","0423","NULL"
"2015","NULL","0","personer","11","intro_deltakere","NULL","0425","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0425","NULL"
"2015","NULL","alle","personer","19","intro_deltakere","NULL","0425","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0426","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0426","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0426","NULL"
"2015","NULL","0","personer","26","intro_deltakere","NULL","0427","NULL"
"2015","NULL","1","personer","20","intro_deltakere","NULL","0427","NULL"
"2015","NULL","alle","personer","46","intro_deltakere","NULL","0427","NULL"
"2015","NULL","0","personer","5","intro_deltakere","NULL","0428","NULL"
"2015","NULL","1","personer","9","intro_deltakere","NULL","0428","NULL"
"2015","NULL","alle","personer","14","intro_deltakere","NULL","0428","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0429","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0429","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0429","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0430","NULL"
"2015","NULL","1","personer","5","intro_deltakere","NULL","0430","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0430","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0432","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0432","NULL"
"2015","NULL","alle","personer","8","intro_deltakere","NULL","0432","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0434","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0434","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0434","NULL"
"2015","NULL","0","personer","5","intro_deltakere","NULL","0436","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0436","NULL"
"2015","NULL","alle","personer","13","intro_deltakere","NULL","0436","NULL"
"2015","NULL","0","personer","7","intro_deltakere","NULL","0437","NULL"
"2015","NULL","1","personer","16","intro_deltakere","NULL","0437","NULL"
"2015","NULL","alle","personer","23","intro_deltakere","NULL","0437","NULL"
"2015","NULL","0","personer","12","intro_deltakere","NULL","0438","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0438","NULL"
"2015","NULL","alle","personer","15","intro_deltakere","NULL","0438","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0439","NULL"
"2015","NULL","1","personer","5","intro_deltakere","NULL","0439","NULL"
"2015","NULL","alle","personer","8","intro_deltakere","NULL","0439","NULL"
"2015","NULL","0","personer",".","intro_deltakere","NULL","0441","NULL"
"2015","NULL","1","personer",".","intro_deltakere","NULL","0441","NULL"
"2015","NULL","alle","personer",".","intro_deltakere","NULL","0441","NULL"
"2015","NULL","0","personer","21","intro_deltakere","NULL","0501","NULL"
"2015","NULL","1","personer","24","intro_deltakere","NULL","0501","NULL"
"2015","NULL","alle","personer","45","intro_deltakere","NULL","0501","NULL"
"2015","NULL","0","personer","32","intro_deltakere","NULL","0502","NULL"
"2015","NULL","1","personer","44","intro_deltakere","NULL","0502","NULL"
"2015","NULL","alle","personer","76","intro_deltakere","NULL","0502","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0511","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0511","NULL"
"2015","NULL","alle","personer","12","intro_deltakere","NULL","0511","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0512","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0512","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0512","NULL"
"2015","NULL","0","personer","5","intro_deltakere","NULL","0513","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0513","NULL"
"2015","NULL","alle","personer","13","intro_deltakere","NULL","0513","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0514","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0514","NULL"
"2015","NULL","alle","personer","12","intro_deltakere","NULL","0514","NULL"
"2015","NULL","0","personer","13","intro_deltakere","NULL","0515","NULL"
"2015","NULL","1","personer","7","intro_deltakere","NULL","0515","NULL"
"2015","NULL","alle","personer","20","intro_deltakere","NULL","0515","NULL"
"2015","NULL","0","personer","11","intro_deltakere","NULL","0516","NULL"
"2015","NULL","1","personer","13","intro_deltakere","NULL","0516","NULL"
"2015","NULL","alle","personer","24","intro_deltakere","NULL","0516","NULL"
"2015","NULL","0","personer","13","intro_deltakere","NULL","0517","NULL"
"2015","NULL","1","personer","18","intro_deltakere","NULL","0517","NULL"
"2015","NULL","alle","personer","31","intro_deltakere","NULL","0517","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0519","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0519","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0519","NULL"
"2015","NULL","0","personer","7","intro_deltakere","NULL","0520","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0520","NULL"
"2015","NULL","alle","personer","9","intro_deltakere","NULL","0520","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0521","NULL"
"2015","NULL","1","personer","8","intro_deltakere","NULL","0521","NULL"
"2015","NULL","alle","personer","17","intro_deltakere","NULL","0521","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0522","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0522","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0522","NULL"
"2015","NULL","0","personer","7","intro_deltakere","NULL","0528","NULL"
"2015","NULL","1","personer","9","intro_deltakere","NULL","0528","NULL"
"2015","NULL","alle","personer","16","intro_deltakere","NULL","0528","NULL"
"2015","NULL","0","personer","15","intro_deltakere","NULL","0529","NULL"
"2015","NULL","1","personer","11","intro_deltakere","NULL","0529","NULL"
"2015","NULL","alle","personer","26","intro_deltakere","NULL","0529","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0532","NULL"
"2015","NULL","1","personer","10","intro_deltakere","NULL","0532","NULL"
"2015","NULL","alle","personer","12","intro_deltakere","NULL","0532","NULL"
"2015","NULL","0","personer","41","intro_deltakere","NULL","0533","NULL"
"2015","NULL","1","personer","22","intro_deltakere","NULL","0533","NULL"
"2015","NULL","alle","personer","63","intro_deltakere","NULL","0533","NULL"
"2015","NULL","0","personer","58","intro_deltakere","NULL","0534","NULL"
"2015","NULL","1","personer","22","intro_deltakere","NULL","0534","NULL"
"2015","NULL","alle","personer","80","intro_deltakere","NULL","0534","NULL"
"2015","NULL","0","personer","6","intro_deltakere","NULL","0536","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0536","NULL"
"2015","NULL","alle","personer","9","intro_deltakere","NULL","0536","NULL"
"2015","NULL","0","personer","10","intro_deltakere","NULL","0538","NULL"
"2015","NULL","1","personer","11","intro_deltakere","NULL","0538","NULL"
"2015","NULL","alle","personer","21","intro_deltakere","NULL","0538","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0540","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0540","NULL"
"2015","NULL","alle","personer","7","intro_deltakere","NULL","0540","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0541","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0541","NULL"
"2015","NULL","alle","personer",":","intro_deltakere","NULL","0541","NULL"
"2015","NULL","0","personer","9","intro_deltakere","NULL","0542","NULL"
"2015","NULL","1","personer","7","intro_deltakere","NULL","0542","NULL"
"2015","NULL","alle","personer","16","intro_deltakere","NULL","0542","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0543","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0543","NULL"
"2015","NULL","alle","personer","5","intro_deltakere","NULL","0543","NULL"
"2015","NULL","0","personer",":","intro_deltakere","NULL","0544","NULL"
"2015","NULL","1","personer","6","intro_deltakere","NULL","0544","NULL"
"2015","NULL","alle","personer","8","intro_deltakere","NULL","0544","NULL"
"2015","NULL","0","personer","5","intro_deltakere","NULL","0545","NULL"
"2015","NULL","1","personer",":","intro_deltakere","NULL","0545","NULL"
"2015","NULL","alle","personer","5","intro_deltakere","NULL","0545","NULL"
"2015","NULL","0","personer","81","intro_deltakere","NULL","0602","NULL"
"2015","NULL","1","personer","80","intro_deltakere","NULL","0602","NULL"
"2015","NULL","alle","personer","161","intro_deltakere","NULL","0602","NULL"
"2015","NULL","0","personer","17","intro_deltakere","NULL","0604","NULL"
"2015","NULL","1","personer","26","intro_deltakere","NULL","0604","NULL"
"2015","NULL","alle","personer","43","intro_deltakere","NULL","0604","NULL"
"2015","NULL","0","personer","22","intro_deltakere","NULL","0605","NULL"
