;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;5051275;593321;4457954;117144;4340810;100;11,74596513;88,25403487;2,319097654;85,93493722;2535908;310376;2225532;60076;2165456;50,2033249;6,14450807;44,05881683;1,189323488;42,86949335;2515367;282945;2232422;57068;2175354;49,7966751;5,601457058;44,19521804;1,129774166;43,06544387
01 ùstfold;282000;31935;250065;7249;242816;100;11,32446809;88,67553191;2,570567376;86,10496454;140686;16682;124004;3827;120177;49,88865248;5,915602837;43,97304965;1,357092199;42,61595745;141314;15253;126061;3422;122639;50,11134752;5,408865248;44,70248227;1,213475177;43,48900709
02 Akershus;566399;74941;491458;16162;475296;100;13,23113212;86,76886788;2,85346549;83,91540239;283104;38717;244387;8299;236088;49,98313909;6,8356406;43,14749849;1,465221513;41,68227698;283295;36224;247071;7863;239208;50,01686091;6,395491517;43,62136939;1,388243976;42,23312541
03 Oslo;623966;145215;478751;44186;434565;100;23,27290269;76,72709731;7,081475593;69,64562172;310410;75891;234519;22505;212014;49,74790293;12,16268194;37,58522099;3,606767035;33,97845395;313556;69324;244232;21681;222551;50,25209707;11,11022075;39,14187632;3,474708558;35,66716776
04 Hedmark;193719;13694;180025;1963;178062;100;7,069002008;92,93099799;1,013323422;91,91767457;96283;6840;89443;990;88453;49,702404;3,530887523;46,17151647;0,51104951;45,66046697;97436;6854;90582;973;89609;50,297596;3,538114485;46,75948152;0,502273912;46,2572076
05 Oppland;187254;13504;173750;1856;171894;100;7,211594946;92,78840505;0,991167078;91,79723798;93516;7015;86501;918;85583;49,94072223;3,746248411;46,19447382;0,490243199;45,70423062;93738;6489;87249;938;86311;50,05927777;3,465346535;46,59393124;0,500923879;46,09300736
06 Buskerud;269003;34766;234237;7677;226560;100;12,92401943;87,07598057;2,853871518;84,22210905;134792;18100;116692;3875;112817;50,10799136;6,728549496;43,37944186;1,440504381;41,93893748;134211;16666;117545;3802;113743;49,89200864;6,195469939;43,6965387;1,413367137;42,28317156
07 Vestfold;238748;23664;215084;4219;210865;100;9,911706067;90,08829393;1,767135222;88,32115871;118497;11977;106520;2191;104329;49,63266708;5,016586526;44,61608055;0,917704023;43,69837653;120251;11687;108564;2028;106536;50,36733292;4,89511954;45,47221338;0,849431199;44,62278218
