;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4445329;220347;4224982;40395;4184587;100;4,956820969;95,04317903;0,908706645;94,13447239;2199559;108939;2090620;20696;2069924;49,4802297;2,450639761;47,02958994;0,46556734;46,5640226;2245770;111408;2134362;19699;2114663;50,5197703;2,506181207;48,0135891;0,443139304;47,57044979
01 ùstfold;246018;11119;234899;2049;232850;100;4,519587998;95,480412;0,832865888;94,64754611;120740;5388;115352;1116;114236;49,07770976;2,190083652;46,88762611;0,453625344;46,43400076;125278;5731;119547;933;118614;50,92229024;2,329504345;48,59278589;0,379240543;48,21354535
02 Akershus;460564;26476;434088;4180;429908;100;5,748603886;94,25139611;0,907582877;93,34381324;228000;12216;215784;2129;213655;49,50452054;2,652400101;46,85212044;0,462259317;46,38986113;232564;14260;218304;2051;216253;50,49547946;3,096203785;47,39927567;0,44532356;46,95395211
03 Oslo;502867;70301;432566;19441;413125;100;13,98003846;86,01996154;3,866032172;82,15392937;242228;36163;206065;9990;196075;48,16939668;7,191364715;40,97803196;1,986608785;38,99142318;260639;34138;226501;9451;217050;51,83060332;6,788673745;45,04192958;1,879423386;43,16250619
04 Hedmark;186321;5143;181178;598;180580;100;2,760290037;97,23970996;0,320951476;96,91875849;92082;2371;89711;279;89432;49,42116026;1,272535034;48,14862522;0,149741575;47,99888365;94239;2772;91467;319;91148;50,57883974;1,487755003;49,09108474;0,171209901;48,91987484
05 Oppland;182239;4822;177417;503;176914;100;2,645975889;97,35402411;0,276011172;97,07801294;90351;2325;88026;245;87781;49,57830102;1,275797167;48,30250385;0,134438841;48,16806501;91888;2497;89391;258;89133;50,42169898;1,370178721;49,05152026;0,141572331;48,90994793
06 Buskerud;235018;11633;223385;2701;220684;100;4,94983363;95,05016637;1,149273673;93,9008927;115922;5669;110253;1361;108892;49,32473257;2,412155665;46,91257691;0,579104579;46,33347233;119096;5964;113132;1340;111792;50,67526743;2,537677965;48,13758946;0,570169093;47,56742037
07 Vestfold;210707;8301;202406;1110;201296;100;3,939593844;96,06040616;0,526797876;95,53360828;103090;3846;99244;557;98687;48,92575947;1,82528345;47,10047602;0,264348123;46,83612789;107617;4455;103162;553;102609;51,07424053;2,114310393;48,95993014;0,262449752;48,69748039
