;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4552252;277262;4274990;55531;4219459;100;6,09065579;93,90934421;1,219857776;92,68948643;2256107;136840;2119267;28467;2090800;49,56023964;3,00598473;46,55425491;0,625338843;45,92891606;2296145;140422;2155723;27064;2128659;50,43976036;3,08467106;47,35508931;0,594518933;46,76057037
01 ùstfold;255122;14829;240293;2950;237343;100;5,812513229;94,18748677;1,15630953;93,03117724;125468;7277;118191;1586;116605;49,17960819;2,852360831;46,32724736;0,621663361;45,705584;129654;7552;122102;1364;120738;50,82039181;2,960152398;47,86023941;0,534646169;47,32559325
02 Akershus;483283;33842;449441;6684;442757;100;7,002522332;92,99747767;1,383040579;91,61443709;238942;15864;223078;3436;219642;49,44142459;3,282548734;46,15887586;0,710970591;45,44790526;244341;17978;226363;3248;223115;50,55857541;3,719973597;46,83860181;0,672069988;46,16653183
03 Oslo;517401;84343;433058;25465;407593;100;16,30128276;83,69871724;4,921714492;78,77700275;251980;43298;208682;13078;195604;48,70110417;8,368364189;40,33273998;2,527633306;37,80510668;265421;41045;224376;12387;211989;51,29889583;7,932918568;43,36597726;2,394081187;40,97189607
04 Hedmark;188281;6676;181605;775;180830;100;3,545764044;96,45423596;0,411618804;96,04261715;92970;3178;89792;347;89445;49,37832283;1,687902656;47,69042017;0,184299;47,50612117;95311;3498;91813;428;91385;50,62167717;1,857861388;48,76381579;0,227319804;48,53649598
05 Oppland;183582;6430;177152;729;176423;100;3,502522034;96,49747797;0,397097755;96,10038021;90979;3152;87827;365;87462;49,55769084;1,716943927;47,84074691;0,198821235;47,64192568;92603;3278;89325;364;88961;50,44230916;1,785578107;48,65673105;0,198276519;48,45845453
06 Buskerud;241371;15480;225891;3742;222149;100;6,41336366;93,58663634;1,550310518;92,03632582;119144;7535;111609;1848;109761;49,36135658;3,121750335;46,23960625;0,765626359;45,47397989;122227;7945;114282;1894;112388;50,63864342;3,291613326;47,34703009;0,784684158;46,56234593
07 Vestfold;218171;11112;207059;1711;205348;100;5,09325254;94,90674746;0,784247219;94,12250024;106973;5246;101727;862;100865;49,03172282;2,404535892;46,62718693;0,395102924;46,23208401;111198;5866;105332;849;104483;50,96827718;2,688716649;48,27956053;0,389144295;47,89041623
