;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4324815;179199;4145616;26399;4119217;100;4,143506716;95,85649328;0,610407613;95,24608567;2138628;91312;2047316;13486;2033830;49,45016145;2,111350428;47,33881102;0,311828367;47,02698266;2186187;87887;2098300;12913;2085387;50,54983855;2,032156289;48,51768226;0,298579246;48,21910301
01 ùstfold;238712;8717;229995;1371;228624;100;3,651680686;96,34831931;0,57433225;95,77398706;117225;4327;112898;746;112152;49,10729247;1,812644526;47,29464794;0,312510473;46,98213747;121487;4390;117097;625;116472;50,89270753;1,839036161;49,05367137;0,261821777;48,79184959
02 Akershus;429595;20255;409340;2674;406666;100;4,7149059;95,2850941;0,622446723;94,66264738;212995;9477;203518;1340;202178;49,58041877;2,206031262;47,3743875;0,311921694;47,06246581;216600;10778;205822;1334;204488;50,41958123;2,508874638;47,9107066;0,310525029;47,60018157
03 Oslo;477781;56459;421322;12858;408464;100;11,8169203;88,1830797;2,691191152;85,49188854;227053;30004;197049;6611;190438;47,52240043;6,279864624;41,24253581;1,383688343;39,85884746;250728;26455;224273;6247;218026;52,47759957;5,53705568;46,94054389;1,30750281;45,63304108
04 Hedmark;187396;4766;182630;412;182218;100;2,543277338;97,45672266;0,21985528;97,23686738;92695;2255;90440;187;90253;49,46476979;1,203334116;48,26143568;0,099788683;48,16164699;94701;2511;92190;225;91965;50,53523021;1,339943222;49,19528699;0,120066597;49,07522039
05 Oppland;183351;4224;179127;363;178764;100;2,303778;97,696222;0,197980922;97,49824108;91104;2105;88999;184;88815;49,68830276;1,148071186;48,54023158;0,100353966;48,43987761;92247;2119;90128;179;89949;50,31169724;1,155706814;49,15599042;0,097626956;49,05836347
06 Buskerud;227102;8985;218117;1832;216285;100;3,956372027;96,04362797;0,806685983;95,23694199;111664;4420;107244;925;106319;49,16909582;1,946262032;47,22283379;0,407305968;46,81552782;115438;4565;110873;907;109966;50,83090418;2,010109995;48,82079418;0,399380014;48,42141417
07 Vestfold;201925;6430;195495;690;194805;100;3,184350625;96,81564937;0,341711031;96,47393834;98751;3000;95751;345;95406;48,90479138;1,485700136;47,41909125;0,170855516;47,24823573;103174;3430;99744;345;99399;51,09520862;1,698650489;49,39655813;0,170855516;49,22570261
