;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4198285;132708;4065577;13589;4051988;100;3,161005029;96,83899497;0,323679788;96,51531518;2076152;68714;2007438;6907;2000531;49,45238353;1,636715945;47,81566759;0,16451956;47,65114803;2122133;63994;2058139;6682;2051457;50,54761647;1,524289085;49,02332738;0,159160229;48,86416715
01 ùstfold;237045;7282;229763;901;228862;100;3,07199055;96,92800945;0,380096606;96,54791284;116539;3660;112879;463;112416;49,16323905;1,544010631;47,61922842;0,195321563;47,42390685;120506;3622;116884;438;116446;50,83676095;1,527979919;49,30878103;0,184775043;49,12400599
02 Akershus;405991;16835;389156;1647;387509;100;4,146643645;95,85335636;0,405674017;95,44768234;202063;8052;194011;843;193168;49,77031511;1,983295196;47,78701991;0,207640071;47,57937984;203928;8783;195145;804;194341;50,22968489;2,163348449;48,06633645;0,198033947;47,8683025
03 Oslo;453730;40774;412956;6316;406640;100;8,986401604;91,0135984;1,392017279;89,62158112;211912;21975;189937;3220;186717;46,70442774;4,84318868;41,86123906;0,709673154;41,15156591;241818;18799;223019;3096;219923;53,29557226;4,143212924;49,15235933;0,682344125;48,47001521
04 Hedmark;186418;3150;183268;170;183098;100;1,68975099;98,31024901;0,091192911;98,2190561;92843;1514;91329;79;91250;49,80366703;0,812153333;48,9915137;0,042377882;48,94913581;93575;1636;91939;91;91848;50,19633297;0,877597657;49,31873532;0,048815029;49,26992029
05 Oppland;182341;3236;179105;111;178994;100;1,774696859;98,22530314;0,060874954;98,16442819;91134;1809;89325;51;89274;49,97998256;0,992097224;48,98788534;0,027969573;48,95991576;91207;1427;89780;60;89720;50,02001744;0,782599635;49,23741781;0,032905381;49,20451242
06 Buskerud;223266;7942;215324;1090;214234;100;3,55719187;96,44280813;0,488206892;95,95460124;110332;4080;106252;536;105716;49,417287;1,827416624;47,58987038;0,24007238;47,349798;112934;3862;109072;554;108518;50,582713;1,729775246;48,85293775;0,248134512;48,60480324
07 Vestfold;194473;4835;189638;362;189276;100;2,486206311;97,51379369;0,186144092;97,3276496;95300;2242;93058;177;92881;49,00423195;1,152859266;47,85137268;0,091015205;47,76035748;99173;2593;96580;185;96395;50,99576805;1,333347046;49,662421;0,095128887;49,56729212
