;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;5165802;669380;4496422;135583;4360839;100;12,9579105;87,0420895;2,624626341;84,41746315;2598824;351642;2247182;69635;2177547;50,30823868;6,807113397;43,50112529;1,347999788;42,1531255;2566978;317738;2249240;65948;2183292;49,69176132;6,150797108;43,54096421;1,276626553;42,26433766
01 ùstfold;287198;35027;252171;8498;243673;100;12,19611557;87,80388443;2,958934254;84,84495017;143462;18173;125289;4480;120809;49,95229772;6,327690304;43,62460741;1,559899442;42,06470797;143736;16854;126882;4018;122864;50,04770228;5,868425268;44,17927701;1,399034812;42,7802422
02 Akershus;584899;85511;499388;19188;480200;100;14,61978906;85,38021094;3,280566388;82,09964455;292536;44348;248188;9864;238324;50,01478888;7,582163758;42,43262512;1,68644501;40,74618011;292363;41163;251200;9324;241876;49,98521112;7,037625299;42,94758582;1,594121378;41,35346444
03 Oslo;647676;158835;488841;47857;440984;100;24,52383599;75,47616401;7,389034023;68,08712998;322892;83130;239762;24427;215335;49,85393932;12,83512126;37,01881805;3,771484508;33,24733354;324784;75705;249079;23430;225649;50,14606068;11,68871473;38,45734596;3,617549515;34,83979644
04 Hedmark;195153;15780;179373;2307;177066;100;8,085963321;91,91403668;1,18214939;90,73188729;97312;8072;89240;1157;88083;49,86446532;4,136241821;45,7282235;0,59286816;45,13535534;97841;7708;90133;1150;88983;50,13553468;3,949721501;46,18581318;0,589281231;45,59653195
05 Oppland;188807;15632;173175;2273;170902;100;8,279354049;91,72064595;1,203874856;90,51677109;94560;8193;86367;1155;85212;50,08288888;4,339351825;45,74353705;0,611735794;45,13180126;94247;7439;86808;1118;85690;49,91711112;3,940002224;45,9771089;0,592139063;45,38496984
06 Buskerud;274737;39132;235605;8893;226712;100;14,24344009;85,75655991;3,236913849;82,51964606;137906;20377;117529;4530;112999;50,19564165;7,416911446;42,7787302;1,648849627;41,12988058;136831;18755;118076;4363;113713;49,80435835;6,826528644;42,97782971;1,588064221;41,38976548
07 Vestfold;242662;26283;216379;4926;211453;100;10,83111488;89,16888512;2,029984093;87,13890102;120721;13414;107307;2572;104735;49,74862154;5,527853558;44,22076798;1,059910493;43,16085749;121941;12869;109072;2354;106718;50,25137846;5,303261326;44,94811713;0,9700736;43,97804353
