;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
00 Hele landet;4920305;500500;4419805;100422;4319383;100;10,17213364;89,82786636;2,040971037;87,78689532;2460849;257548;2203301;51549;2151752;50,01415563;5,234390957;44,77976467;1,047678955;43,73208571;2459456;242952;2216504;48873;2167631;49,98584437;4,937742681;45,04810169;0,993292083;44,05480961
01 ùstfold;274827;27200;247627;6175;241452;100;9,897135289;90,10286471;2,24686803;87,85599668;136517;13899;122618;3253;119365;49,67379479;5,057363359;44,61643143;1,183653717;43,43277771;138310;13301;125009;2922;122087;50,32620521;4,839771929;45,48643328;1,063214313;44,42321897
02 Akershus;545653;62813;482840;13736;469104;100;11,51152839;88,48847161;2,517350771;85,97112084;271557;31554;240003;7081;232922;49,76734298;5,782796026;43,98454696;1,297711183;42,68683577;274096;31259;242837;6655;236182;50,23265702;5,728732363;44,50392466;1,219639588;43,28428507
03 Oslo;599230;130133;469097;40073;429024;100;21,7167031;78,2832969;6,687415517;71,59588138;296672;67402;229270;20512;208758;49,50886972;11,24810173;38,26076799;3,423059593;34,83770839;302558;62731;239827;19561;220266;50,49113028;10,46860137;40,02252891;3,264355923;36,75817299
04 Hedmark;191622;11424;180198;1527;178671;100;5,96173717;94,03826283;0,79688136;93,24138147;95061;5661;89400;757;88643;49,60860444;2,954253687;46,65435075;0,395048585;46,25930217;96561;5763;90798;770;90028;50,39139556;3,007483483;47,38391208;0,401832775;46,9820793
05 Oppland;186087;11276;174811;1517;173294;100;6,059531295;93,94046871;0,81521009;93,12525862;92538;5689;86849;754;86095;49,72835287;3,057172183;46,67118068;0,405186821;46,26599386;93549;5587;87962;763;87199;50,27164713;3,002359112;47,26928802;0,410023269;46,85926475
06 Buskerud;261110;28736;232374;6619;225755;100;11,00532343;88,99467657;2,534946957;86,45972962;130188;14630;115558;3345;112213;49,85944621;5,603002566;44,25644364;1,281069281;42,97537436;130922;14106;116816;3274;113542;50,14055379;5,402320861;44,73823293;1,253877676;43,48435525
07 Vestfold;233705;20292;213413;3590;209823;100;8,682741062;91,31725894;1,536124602;89,78113434;115723;10124;105599;1852;103747;49,5166984;4,331956954;45,18474145;0,792452023;44,39228942;117982;10168;107814;1738;106076;50,4833016;4,350784108;46,13251749;0,743672579;45,38884491
