;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;26021;1172;24849;162;24687;100;4,504054418;95,49594558;0,622574075;94,87337151;12796;565;12231;83;12148;49,17566581;2,171323162;47,00434265;0,318973137;46,68536951;13225;607;12618;79;12539;50,82433419;2,332731256;48,49160294;0,303600938;48,188002
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;25358;1603;23755;426;23329;100;6,321476457;93,67852354;1,679943213;91,99858033;12364;814;11550;235;11315;48,75778847;3,210032337;45,54775613;0,926729237;44,62102689;12994;789;12205;191;12014;51,24221153;3,11144412;48,13076741;0,753213976;47,37755343
0105 Sarpsborg;46424;1532;44892;236;44656;100;3,300017232;96,69998277;0,508357746;96,19162502;22817;726;22091;139;21952;49,14914699;1,563846286;47,58530071;0,299414096;47,28588661;23607;806;22801;97;22704;50,85085301;1,736170946;49,11468206;0,20894365;48,90573841
0106 Fredrikstad;65711;2154;63557;278;63279;100;3,277989986;96,72201001;0,423064631;96,29894538;31848;1029;30819;145;30674;48,46677116;1,565947863;46,9008233;0,220663207;46,68016009;33863;1125;32738;133;32605;51,53322884;1,712042124;49,82118671;0,202401424;49,61878529
0111 Hvaler;3430;77;3353;3;3350;100;2,244897959;97,75510204;0,087463557;97,66763848;1746;29;1717;0;1717;50,90379009;0,84548105;50,05830904;0;50,05830904;1684;48;1636;3;1633;49,09620991;1,39941691;47,696793;0,087463557;47,60932945
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
