;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25807;863;24944;96;24848;100;3,344053939;96,65594606;0,371992095;96,28395397;12704;386;12318;51;12267;49,22695393;1,495718216;47,73123571;0,197620801;47,53361491;13103;477;12626;45;12581;50,77304607;1,848335723;48,92471035;0,174371295;48,75033906
0102 Sarpsborg (-1991);11859;404;11455;46;11409;100;3,406695337;96,59330466;0,387891053;96,20541361;5553;190;5363;20;5343;46,82519605;1,602158698;45,22303736;0,168648284;45,05438907;6306;214;6092;26;6066;53,17480395;1,804536639;51,37026731;0,219242769;51,15102454
0103 Fredrikstad (-1993);26664;807;25857;65;25792;100;3,026552655;96,97344734;0,243774377;96,72967297;12667;364;12303;34;12269;47,5060006;1,365136514;46,14086409;0,127512751;46,01335134;13997;443;13554;31;13523;52,4939994;1,661416142;50,83258326;0,116261626;50,71632163
0104 Moss;24668;1246;23422;198;23224;100;5,05107832;94,94892168;0,802659316;94,14626236;11999;675;11324;107;11217;48,6419653;2,736338576;45,90562672;0,433760337;45,47186639;12669;571;12098;91;12007;51,3580347;2,314739744;49,04329496;0,368898978;48,67439598
0105 Sarpsborg;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0106 Fredrikstad;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0111 Hvaler;2968;53;2915;4;2911;100;1,785714286;98,21428571;0,134770889;98,07951482;1486;17;1469;2;1467;50,06738544;0,57277628;49,49460916;0,067385445;49,42722372;1482;36;1446;2;1444;49,93261456;1,212938005;48,71967655;0,067385445;48,65229111
0113 Borge (-1993);11708;249;11459;32;11427;100;2,12675094;97,87324906;0,27331739;97,59993167;5788;118;5670;17;5653;49,43628288;1,007857875;48,42842501;0,145199863;48,28322515;5920;131;5789;15;5774;50,56371712;1,118893065;49,44482405;0,128117526;49,31670653
