;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;29543;2670;26873;642;26231;100;9,037673899;90,9623261;2,173103612;88,78922249;14760;1325;13435;345;13090;49,96107369;4,484987984;45,47608571;1,167789324;44,30829638;14783;1345;13438;297;13141;50,03892631;4,552685915;45,4862404;1,005314288;44,48092611
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;30723;4067;26656;1092;25564;100;13,23763955;86,76236045;3,554340396;83,20802005;15155;2069;13086;602;12484;49,32786512;6,734368389;42,59349673;1,959444065;40,63405266;15568;1998;13570;490;13080;50,67213488;6,503271165;44,16886372;1,594896332;42,57396739
0105 Sarpsborg;53333;6178;47155;1447;45708;100;11,5838224;88,4161776;2,713141957;85,70303564;26565;3228;23337;743;22594;49,80968631;6,052537828;43,75714848;1,393133707;42,36401478;26768;2950;23818;704;23114;50,19031369;5,531284571;44,65902912;1,32000825;43,33902087
0106 Fredrikstad;75583;8366;67217;1807;65410;100;11,06862654;88,93137346;2,390749243;86,54062421;37441;4383;33058;963;32095;49,53627138;5,798923038;43,73734835;1,274096027;42,46325232;38142;3983;34159;844;33315;50,46372862;5,269703505;45,19402511;1,116653216;44,0773719
0111 Hvaler;4206;191;4015;16;3999;100;4,541131717;95,45886828;0,38040894;95,07845934;2124;87;2037;8;2029;50,49928673;2,068473609;48,43081312;0,19020447;48,24060865;2082;104;1978;8;1970;49,50071327;2,472658107;47,02805516;0,19020447;46,83785069
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
