;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25908;1082;24826;139;24687;100;4,176316196;95,8236838;0,536513818;95,28716999;12723;528;12195;68;12127;49,10838351;2,037980547;47,07040296;0,262467192;46,80793577;13185;554;12631;71;12560;50,89161649;2,138335649;48,75328084;0,274046627;48,47923421
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;25071;1467;23604;360;23244;100;5,851382075;94,14861793;1,435921982;92,71269594;12216;741;11475;198;11277;48,72561924;2,955606079;45,77001316;0,78975709;44,98025607;12855;726;12129;162;11967;51,27438076;2,895775996;48,37860476;0,646164892;47,73243987
0105 Sarpsborg;46381;1417;44964;193;44771;100;3,055130334;96,94486967;0,416118669;96,528751;22694;675;22019;115;21904;48,92951855;1,455337315;47,47418124;0,247946357;47,22623488;23687;742;22945;78;22867;51,07048145;1,599793019;49,47068843;0,168172312;49,30251612
0106 Fredrikstad;64843;1835;63008;214;62794;100;2,82991225;97,17008775;0,330027914;96,84005984;31361;868;30493;117;30376;48,3645112;1,338617892;47,02589331;0,180435822;46,84545749;33482;967;32515;97;32418;51,6354888;1,491294357;50,14419444;0,149592092;49,99460235
0111 Hvaler;3364;68;3296;6;3290;100;2,021403092;97,97859691;0,178359096;97,80023781;1714;27;1687;3;1684;50,95124851;0,802615933;50,14863258;0,089179548;50,05945303;1650;41;1609;3;1606;49,04875149;1,218787158;47,82996433;0,089179548;47,74078478
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
