;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;28092;2037;26055;490;25565;100;7,251174712;92,74882529;1,744268831;91,00455646;13940;972;12968;261;12707;49,62266838;3,460059804;46,16260857;0,929090132;45,23351844;14152;1065;13087;229;12858;50,37733162;3,791114908;46,58621672;0,815178699;45,77103802
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;29073;3024;26049;865;25184;100;10,40140336;89,59859664;2,97526915;86,62332749;14259;1528;12731;465;12266;49,04550614;5,255735562;43,78977058;1,599422144;42,19034843;14814;1496;13318;400;12918;50,95449386;5,145667802;45,80882606;1,375847006;44,43297905
0105 Sarpsborg;51053;4469;46584;899;45685;100;8,75364817;91,24635183;1,760915127;89,4854367;25352;2361;22991;483;22508;49,65819834;4,624605802;45,03359254;0,946075647;44,08751689;25701;2108;23593;416;23177;50,34180166;4,129042368;46,21275929;0,814839481;45,39791981
0106 Fredrikstad;71976;5998;65978;1206;64772;100;8,333333333;91,66666667;1,67555852;89,99110815;35221;2966;32255;605;31650;48,93436701;4,12081805;44,81354896;0,840557964;43,972991;36755;3032;33723;601;33122;51,06563299;4,212515283;46,85311771;0,835000556;46,01811715
0111 Hvaler;3961;123;3838;11;3827;100;3,105276445;96,89472355;0,27770765;96,61701591;2009;57;1952;5;1947;50,71951527;1,439030548;49,28048473;0,12623075;49,15425398;1952;66;1886;6;1880;49,28048473;1,666245898;47,61423883;0,1514769;47,46276193
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
