;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1548 Fræna;9023;205;8818;15;8803;100;2,271971628;97,72802837;0,166241826;97,56178655;4570;71;4499;5;4494;50,64834312;0,786877978;49,86146514;0,055413942;49,8060512;4453;134;4319;10;4309;49,35165688;1,48509365;47,86656323;0,110827884;47,75573534
1551 Eide;3304;85;3219;4;3215;100;2,572639225;97,42736077;0,121065375;97,3062954;1652;31;1621;2;1619;50;0,938256659;49,06174334;0,060532688;49,00121065;1652;54;1598;2;1596;50;1,634382567;48,36561743;0,060532688;48,30508475
1554 Averøy;5448;140;5308;9;5299;100;2,569750367;97,43024963;0,165198238;97,2650514;2788;71;2717;4;2713;51,17474302;1,303230543;49,87151248;0,073421439;49,79809104;2660;69;2591;5;2586;48,82525698;1,266519824;47,55873715;0,091776799;47,46696035
1556 Frei (-2007);5301;137;5164;14;5150;100;2,584418034;97,41558197;0,264101113;97,15148085;2700;57;2643;8;2635;50,93378608;1,075268817;49,85851726;0,150914922;49,70760234;2601;80;2521;6;2515;49,06621392;1,509149217;47,5570647;0,113186191;47,44387851
1557 Gjemnes;2700;82;2618;12;2606;100;3,037037037;96,96296296;0,444444444;96,51851852;1381;43;1338;6;1332;51,14814815;1,592592593;49,55555556;0,222222222;49,33333333;1319;39;1280;6;1274;48,85185185;1,444444444;47,40740741;0,222222222;47,18518519
1560 Tingvoll;3105;144;2961;10;2951;100;4,637681159;95,36231884;0,322061192;95,04025765;1546;59;1487;7;1480;49,79066023;1,900161031;47,89049919;0,225442834;47,66505636;1559;85;1474;3;1471;50,20933977;2,737520129;47,47181965;0,096618357;47,37520129
1563 Sunndal;7370;280;7090;36;7054;100;3,799185889;96,20081411;0,488466757;95,71234735;3731;131;3600;21;3579;50,62415197;1,777476255;48,84667571;0,284938942;48,56173677;3639;149;3490;15;3475;49,37584803;2,021709634;47,3541384;0,203527815;47,15061058
1566 Surnadal;6160;84;6076;8;6068;100;1,363636364;98,63636364;0,12987013;98,50649351;3104;32;3072;4;3068;50,38961039;0,519480519;49,87012987;0,064935065;49,80519481;3056;52;3004;4;3000;49,61038961;0,844155844;48,76623377;0,064935065;48,7012987
1567 Rindal;2101;6;2095;0;2095;100;0,285578296;99,7144217;0;99,7144217;1067;3;1064;0;1064;50,78534031;0,142789148;50,64255117;0;50,64255117;1034;3;1031;0;1031;49,21465969;0,142789148;49,07187054;0;49,07187054
1569 Aure (-2005);2620;51;2569;2;2567;100;1,946564885;98,05343511;0,076335878;97,97709924;1333;20;1313;0;1313;50,8778626;0,763358779;50,11450382;0;50,11450382;1287;31;1256;2;1254;49,1221374;1,183206107;47,9389313;0,076335878;47,86259542
1571 Halsa;1697;29;1668;0;1668;100;1,708898055;98,29110194;0;98,29110194;859;8;851;0;851;50,61873895;0,471420153;50,1473188;0;50,1473188;838;21;817;0;817;49,38126105;1,237477902;48,14378315;0;48,14378315
1572 Tustna (-2005);1006;15;991;0;991;100;1,491053678;98,50894632;0;98,50894632;512;6;506;0;506;50,89463221;0,596421471;50,29821074;0;50,29821074;494;9;485;0;485;49,10536779;0,894632207;48,21073559;0;48,21073559
1573 Smøla;2195;42;2153;0;2153;100;1,913439636;98,08656036;0;98,08656036;1111;21;1090;0;1090;50,61503417;0,956719818;49,65831435;0;49,65831435;1084;21;1063;0;1063;49,38496583;0,956719818;48,42824601;0;48,42824601
1576 Aure;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
1599 Uoppgitt kommune Møre og Romsdal;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
1601 Trondheim;156161;9217;146944;1422;145522;100;5,902241917;94,09775808;0,910598677;93,18715941;77019;4658;72361;742;71619;49,32025282;2,982819014;46,3374338;0,475150646;45,86228316;79142;4559;74583;680;73903;50,67974718;2,919422903;47,76032428;0,435448031;47,32487625
