;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25816;963;24853;122;24731;100;3,730244809;96,26975519;0,472575147;95,79718004;12708;465;12243;66;12177;49,22528664;1,801208553;47,42407809;0,255655407;47,16842268;13108;498;12610;56;12554;50,77471336;1,929036257;48,8456771;0,21691974;48,62875736
0102 Sarpsborg (-1991);11782;486;11296;51;11245;100;4,124936344;95,87506366;0,43286369;95,44219997;5518;231;5287;29;5258;46,83415379;1,960617892;44,8735359;0,246138177;44,62739773;6264;255;6009;22;5987;53,16584621;2,164318452;51,00152775;0,186725513;50,81480224
0103 Fredrikstad (-1993);26527;939;25588;83;25505;100;3,539789648;96,46021035;0,312888755;96,1473216;12659;478;12181;47;12134;47,72118973;1,801937648;45,91925208;0,17717797;45,74207411;13868;461;13407;36;13371;52,27881027;1,737852;50,54095827;0,135710785;50,40524748
0104 Moss;24657;1474;23183;280;22903;100;5,978018413;94,02198159;1,13558016;92,88640143;12021;774;11247;147;11100;48,75288965;3,139068013;45,61382163;0,596179584;45,01764205;12636;700;11936;133;11803;51,24711035;2,838950399;48,40815995;0,539400576;47,86875938
0105 Sarpsborg;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0106 Fredrikstad;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0111 Hvaler;3213;58;3155;4;3151;100;1,805166511;98,19483349;0,124494242;98,07033925;1618;20;1598;2;1596;50,35792095;0,622471211;49,73544974;0,062247121;49,67320261;1595;38;1557;2;1555;49,64207905;1,1826953;48,45938375;0,062247121;48,39713663
0113 Borge (-1993);11923;257;11666;28;11638;100;2,155497777;97,84450222;0,234840225;97,609662;5887;126;5761;14;5747;49,37515726;1,056781011;48,31837625;0,117420112;48,20095614;6036;131;5905;14;5891;50,62484274;1,098716766;49,52612598;0,117420112;49,40870586
