;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;30328;3096;27232;812;26420;100;10,20838829;89,79161171;2,677393827;87,11421788;15170;1541;13629;428;13201;50,0197837;5,081113163;44,93867054;1,411237141;43,52743339;15158;1555;13603;384;13219;49,9802163;5,127275125;44,85294118;1,266156687;43,58678449
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0104 Moss;31802;4831;26971;1313;25658;100;15,1908685;84,8091315;4,128671153;80,68046035;15783;2487;13296;712;12584;49,62895415;7,820262877;41,80869128;2,238852902;39,56983837;16019;2344;13675;601;13074;50,37104585;7,370605622;43,00044022;1,88981825;41,11062197
0105 Sarpsborg;54192;7084;47108;1887;45221;100;13,07204015;86,92795985;3,482063773;83,44589607;27001;3664;23337;985;22352;49,82469737;6,761145557;43,06355182;1,817611456;41,24594036;27191;3420;23771;902;22869;50,17530263;6,310894597;43,86440803;1,664452318;42,19995571
0106 Fredrikstad;78159;9700;68459;2356;66103;100;12,41059891;87,58940109;3,014368147;84,57503295;38787;5041;33746;1240;32506;49,62576287;6,449673102;43,17608977;1,586509551;41,58958021;39372;4659;34713;1116;33597;50,37423713;5,960925805;44,41331133;1,427858596;42,98545273
0111 Hvaler;4480;250;4230;23;4207;100;5,580357143;94,41964286;0,513392857;93,90625;2252;113;2139;12;2127;50,26785714;2,522321429;47,74553571;0,267857143;47,47767857;2228;137;2091;11;2080;49,73214286;3,058035714;46,67410714;0,245535714;46,42857143
0113 Borge (-1993);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
