;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25831;1037;24794;119;24675;100;4,014556153;95,98544385;0,460686772;95,52475707;12708;511;12197;70;12127;49,19670164;1,978243196;47,21845844;0,270992219;46,94746622;13123;526;12597;49;12548;50,80329836;2,036312957;48,76698541;0,189694553;48,57729085
0102 Sarpsborg (-1991);0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0103 Fredrikstad (-1993);26436;885;25551;90;25461;100;3,347707671;96,65229233;0,340444848;96,31184748;12589;424;12165;47;12118;47,62066878;1,603873506;46,01679528;0,177787865;45,83900741;13847;461;13386;43;13343;52,37933122;1,743834166;50,63549705;0,162656983;50,47284007
0104 Moss;24805;1507;23298;330;22968;100;6,075388027;93,92461197;1,33037694;92,59423503;12135;788;11347;177;11170;48,92158839;3,176778875;45,74480951;0,713565813;45,0312437;12670;719;11951;153;11798;51,07841161;2,898609151;48,17980246;0,616811127;47,56299133
0105 Sarpsborg;46611;1410;45201;176;45025;100;3,025037008;96,97496299;0,377593272;96,59736972;22823;690;22133;102;22031;48,96483663;1,480337259;47,48449937;0,218832464;47,2656669;23788;720;23068;74;22994;51,03516337;1,544699749;49,49046362;0,158760808;49,33170282
0106 Fredrikstad;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0111 Hvaler;3266;60;3206;7;3199;100;1,837109614;98,16289039;0,214329455;97,94856093;1653;20;1633;5;1628;50,61236987;0,612369871;50;0,153092468;49,84690753;1613;40;1573;2;1571;49,38763013;1,224739743;48,16289039;0,061236987;48,1016534
0113 Borge (-1993);11887;245;11642;34;11608;100;2,061075124;97,93892488;0,286026752;97,65289812;5853;119;5734;19;5715;49,23866409;1,001093632;48,23757046;0,159838479;48,07773198;6034;126;5908;15;5893;50,76133591;1,059981492;49,70135442;0,126188273;49,57516615
