;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0101 Halden;25841;890;24951;106;24845;100;3,444139159;96,55586084;0,410200844;96,14566;12723;420;12303;54;12249;49,23571069;1,625324097;47,61038659;0,208970241;47,40141635;13118;470;12648;52;12596;50,76428931;1,818815061;48,94547425;0,201230603;48,74424364
0102 Sarpsborg (-1991);11886;484;11402;49;11353;100;4,0720175;95,9279825;0,412249706;95,51573279;5585;230;5355;24;5331;46,98805317;1,935049638;45,05300353;0,201918223;44,85108531;6301;254;6047;25;6022;53,01194683;2,136967861;50,87497897;0,210331482;50,66464748
0103 Fredrikstad (-1993);26525;935;25590;82;25508;100;3,524976437;96,47502356;0,309142319;96,16588124;12609;452;12157;45;12112;47,53628652;1,70405278;45,83223374;0,169651272;45,66258247;13916;483;13433;37;13396;52,46371348;1,820923657;50,64278982;0,139491046;50,50329877
0104 Moss;24720;1432;23288;254;23034;100;5,792880259;94,20711974;1,027508091;93,17961165;12021;752;11269;134;11135;48,62864078;3,042071197;45,58656958;0,542071197;45,04449838;12699;680;12019;120;11899;51,37135922;2,750809061;48,62055016;0,485436893;48,13511327
0105 Sarpsborg;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0106 Fredrikstad;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.;0;0;0;0;0;.;.;.;.;.
0111 Hvaler;3181;55;3126;7;3119;100;1,729016033;98,27098397;0,220056586;98,05092738;1607;18;1589;5;1584;50,51870481;0,565859793;49,95284502;0,157183276;49,79566174;1574;37;1537;2;1535;49,48129519;1,16315624;48,31813895;0,06287331;48,25526564
0113 Borge (-1993);11961;253;11708;28;11680;100;2,115207759;97,88479224;0,234094139;97,6506981;5887;120;5767;12;5755;49,21829278;1,003260597;48,21503219;0,10032606;48,11470613;6074;133;5941;16;5925;50,78170722;1,111947162;49,66976005;0,13376808;49,53599197
