kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2014
0101;11,7;24,5;45,4;35,7;9,3
0104;11,3;23,1;37,8;32,0;7,9
0105;11,7;25,7;40,5;35,1;8,4
0106;11,3;20,1;42,8;34,4;8,3
0111;6,0;13,8;35,1;22,0;5,2
0118;8,5;:;:;:;8,2
0119;9,6;25,0;33,7;28,3;8,1
0121;5,8;:;:;:;5,9
0122;9,3;23,9;31,9;26,1;7,8
0123;7,3;19,8;29,9;24,7;5,6
0124;11,2;19,3;32,5;27,5;8,4
0125;12,1;27,5;39,1;33,2;9,2
0127;8,7;22,6;29,2;24,7;7,2
0128;10,6;29,4;42,9;36,1;7,9
0135;7,5;19,9;37,3;26,0;5,8
0136;6,5;23,0;16,6;20,1;5,1
0137;6,0;17,9;19,6;18,3;4,7
0138;6,9;12,8;21,8;15,7;5,8
0211;6,3;15,9;21,5;18,6;4,8
0213;6,2;13,8;24,8;19,9;4,3
0214;10,0;19,1;26,3;22,7;8,0
0215;6,2;17,4;26,7;20,8;4,8
0216;7,2;16,5;25,0;19,4;5,7
0217;5,4;14,2;30,3;22,2;3,3
0219;6,6;17,6;25,1;21,2;4,0
0220;6,9;18,3;25,9;21,7;4,5
0221;8,7;24,7;28,0;25,6;7,1
0226;6,0;20,2;20,4;20,3;4,1
0227;5,5;15,5;18,2;16,6;4,2
0228;6,2;15,6;18,5;17,4;4,2
0229;6,3;17,9;24,7;20,8;4,7
0230;7,5;20,2;20,9;20,7;4,8
0231;8,0;19,3;25,8;23,7;4,9
0233;5,3;15,2;20,2;17,5;3,9
0234;4,2;18,7;20,9;19,3;2,5
0235;7,8;18,1;24,1;21,3;5,6
0236;6,9;16,2;27,3;20,8;5,5
0237;7,6;19,8;22,9;21,2;6,2
0238;6,9;19,4;22,1;20,5;4,9
0239;8,3;16,3;22,2;18,0;7,5
0301;13,9;20,6;32,0;28,1;9,9
0402;11,9;22,7;43,0;34,8;9,7
0403;9,8;19,1;45,9;35,6;7,3
0412;8,3;23,9;33,5;27,6;7,1
0415;9,2;31,4;50,8;40,4;7,2
0417;9,7;26,3;42,8;34,5;8,0
0418;8,8;20,4;24,0;21,5;8,3
0419;8,2;26,6;31,9;28,6;7,2
0420;13,3;15,6;41,7;26,1;12,5
0423;12,3;18,2;43,9;29,6;11,2
0425;11,6;33,1;39,2;36,0;10,4
0426;9,3;27,2;:;25,1;8,5
0427;9,9;27,1;44,7;37,7;7,8
0428;12,1;24,9;56,8;34,6;10,3
0429;12,2;37,9;37,5;37,8;10,6
0430;13,0;51,0;42,0;48,1;10,6
0432;11,3;24,5;:;23,1;10,8
0434;12,4;:;61;30,6;11,2
0436;12,5;31,0;57,6;41,8;9,4
0437;9,9;28,2;48,1;36,0;7,6
0438;9,0;18,6;54,7;35,7;7,6
0439;8,9;37,1;:;37,7;7,8
0441;9,7;17,8;35,0;22,7;8,6
0501;10,0;21,6;43,1;33,8;7,8
0502;10,5;20,4;40,9;33,1;8,3
0511;11,2;36,8;51,8;42,0;9,1
0512;8,7;37,1;31,25;36,2;7,1
0513;9,6;32,1;44,7;37,9;8,1
0514;9,5;23,8;54,3;37,7;8,5
0515;10,2;29,5;47,1;38,9;9,0
0516;10,1;21,6;67,9;42,2;8,6
0517;9,6;26,7;53,8;42,0;8,3
0519;11,9;25,2;34,8;27,5;10,9
0520;10,9;36,7;60,0;42,8;8,5
0521;10,6;28,6;55,1;41,4;7,9
0522;8,6;21,1;28,1;23,6;7,8
0528;8,8;24,4;34,0;28,0;7,5
0529;7,8;15,5;41,6;29,9;6,5
0532;8,8;20,8;38,1;27,3;7,4
0533;7,2;21,0;39,9;30,6;5,4
0534;8,5;30,3;43,5;37,9;6,5
0536;9,8;33,5;45,4;38,3;8,3
0538;10,8;36,5;50,4;42,4;9,4
0540;12,4;24,0;60,7;38,2;10,9
0541;15,0;51,0;64,0;55,3;12,4
0542;11,3;35,5;34,7;35,2;9,5
0543;10,1;45,2;56,5;49,2;7,5
0544;8,2;24,6;35,7;27,8;6,9
0545;11,1;36,1;52,0;38,9;8,0
0602;12,3;21,8;33,6;29,7;8,3
0604;6,8;16,6;27,1;21,9;4,8
0605;10,2;24,4;33,5;29,0;8,3
0612;7,1;20,6;26,0;22,3;5,3
0615;7,9;20,7;:;18,6;7,1
0616;10,0;27,8;31,3;28,9;8,4
0617;10,8;19,5;47,2;31,6;7,8
0618;8,9;18,8;:;19,5;7,1
0619;8,8;28,7;44,6;33,3;6,9
0620;9,6;23,7;30,4;25,2;7,5
0621;8,5;33,3;:;30,1;7,4
0622;8,7;32,6;:;32,3;6,6
0623;9,6;25,1;44,3;33,5;7,6
0624;8,4;19,9;29,8;23,6;6,7
0625;8,5;16,4;24,9;21,3;6,5
0626;7,4;20,0;31,2;25,5;4,4
0627;5,3;16,4;22,4;18,4;3,7
0628;6,6;15,0;36,7;21,5;5,0
0631;8,3;25,2;69,2;40,0;6,1
0632;6,3;:;46,2;25,0;5,3
0633;11,4;33,7;61,4;43,7;9,1
0701;10,5;24,3;40,4;33,1;7,9
0702;7,0;16,4;28,2;21,5;5,8
0704;9,3;22,0;32,9;27,3;7,3
0706;10,6;23,6;33,2;28,7;8,3
0709;10,3;23,7;42,0;33,2;7,9
0711;8,2;18,8;36,4;23,8;6,6
0713;7,3;15,9;35,5;22,3;5,8
0714;7,4;18,2;:;17,9;6,7
0716;8,0;19,3;30,7;23,6;6,7
0719;8,8;31,8;36,9;33,5;6,6
0720;9,2;27,2;42,5;33,2;6,7
0722;8,5;25,2;34,7;29,7;6,5
0723;10,1;30,4;41,4;33,9;7,8
0728;8,3;28,9;51,1;36,7;6,6
0805;9,1;23,8;39,5;33,2;6,8
0806;11,3;23,8;42,4;35,9;8,3
0807;11,0;27,5;52,9;40,9;8,6
0811;7,8;:;51,3;40,2;5,9
0814;8,5;17,5;52,4;37,0;6,5
0815;11,0;24,6;52,4;37,3;8,7
0817;11,2;30,8;41,0;34,0;9,5
0819;11,1;23,3;50,2;35,7;8,9
0821;14,5;42,7;52,5;47,5;11,7
0822;12,0;35,1;55,0;45,2;9,2
0826;9,2;22,4;37,7;29,6;7,4
0827;9,0;36,2;:;38,9;7,9
0828;9,0;22,4;54,0;31,9;7,5
