kommune_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
1124;1919;278;408;396;417;420;96,62638469;72,96587927;104,0816327;105,0397878;102,7093596;97,6744186;361;54;80;87;77;63;101,1204482;71,05263158;103,8961039;108,75;116,6666667;108,6206897;1558;224;328;309;340;357;95,64149785;73,44262295;104,1269841;104,040404;100;95,96774194;1986;381;392;377;406;430;100;100;100;100;100;100;357;76;77;80;66;58;17,97583082;19,94750656;19,64285714;21,22015915;16,25615764;13,48837209;1629;305;315;297;340;372;82,02416918;80,05249344;80,35714286;78,77984085;83,74384236;86,51162791
1127;658;100;135;140;139;144;92,28611501;73,52941176;99,26470588;93,95973154;93,91891892;100;77;11;18;18;14;16;96,25;73,33333333;112,5;105,8823529;70;133,3333333;581;89;117;122;125;128;91,78515008;73,55371901;97,5;92,42424242;97,65625;96,96969697;713;136;136;149;148;144;100;100;100;100;100;100;80;15;16;17;20;12;11,22019635;11,02941176;11,76470588;11,40939597;13,51351351;8,333333333;633;121;120;132;128;132;88,77980365;88,97058824;88,23529412;88,59060403;86,48648649;91,66666667
1129;82;11;10;20;19;22;95,34883721;73,33333333;90,90909091;90,90909091;118,75;100;5;.;.;.;.;.;83,33333333;.;.;.;.;.;77;11;9;19;17;21;96,25;.;.;.;.;.;86;15;11;22;16;22;100;100;100;100;100;100;6;.;.;.;.;.;6,976744186;.;.;.;.;.;80;.;.;.;.;.;93,02325581;.;.;.;.;.
1130;783;81;174;158;187;183;86,04395604;48,50299401;87;95,75757576;97,90575916;97,86096257;74;6;18;16;19;15;76,28865979;35,29411765;75;88,88888889;79,16666667;107,1428571;709;75;156;142;168;168;87,20787208;50;88,63636364;96,59863946;100,5988024;97,10982659;910;167;200;165;191;187;100;100;100;100;100;100;97;17;24;18;24;14;10,65934066;10,17964072;12;10,90909091;12,56544503;7,486631016;813;150;176;147;167;173;89,34065934;89,82035928;88;89,09090909;87,43455497;92,51336898
1133;173;18;40;28;45;42;89,6373057;69,23076923;95,23809524;90,32258065;91,83673469;93,33333333;39;.;12;5;13;7;84,7826087;.;109,0909091;83,33333333;92,85714286;100;134;16;28;23;32;35;91,15646259;88,88888889;90,32258065;92;91,42857143;92,10526316;193;26;42;31;49;45;100;100;100;100;100;100;46;8;11;6;14;7;23,83419689;30,76923077;26,19047619;19,35483871;28,57142857;15,55555556;147;18;31;25;35;38;76,16580311;69,23076923;73,80952381;80,64516129;71,42857143;84,44444444
1134;220;25;43;45;43;64;88,35341365;51,02040816;91,4893617;97,82608696;100;100;27;7;8;.;5;5;96,42857143;87,5;133,3333333;.;83,33333333;100;193;18;35;43;38;59;87,33031674;43,90243902;85,36585366;.;102,7027027;100;249;49;47;46;43;64;100;100;100;100;100;100;28;8;6;.;6;5;11,24497992;16,32653061;12,76595745;.;13,95348837;7,8125;221;41;41;.;37;59;88,75502008;83,67346939;87,23404255;.;86,04651163;92,1875
1135;243;32;55;50;54;52;93,46153846;69,56521739;96,49122807;98,03921569;101,8867925;98,11320755;17;.;.;6;.;.;77,27272727;.;.;100;.;.;226;29;53;44;51;49;94,95798319;69,04761905;101,9230769;97,77777778;104,0816327;.;260;46;57;51;53;53;100;100;100;100;100;100;22;4;5;6;4;.;8,461538462;8,695652174;8,771929825;11,76470588;7,547169811;.;238;42;52;45;49;.;91,53846154;91,30434783;91,22807018;88,23529412;92,45283019;.
1141;197;24;39;49;36;49;88,34080717;55,81395349;92,85714286;102,0833333;90;98;33;.;7;11;7;6;73,33333333;.;77,77777778;110;63,63636364;120;164;22;32;38;29;43;92,13483146;66,66666667;96,96969697;100;100;95,55555556;223;43;42;48;40;50;100;100;100;100;100;100;45;10;9;10;11;5;20,1793722;23,25581395;21,42857143;20,83333333;27,5;10;178;33;33;38;29;45;79,8206278;76,74418605;78,57142857;79,16666667;72,5;90
1142;372;45;84;70;81;92;90,51094891;64,28571429;93,33333333;95,89041096;98,7804878;95,83333333;35;5;6;7;5;12;74,46808511;45,45454545;100;70;83,33333333;85,71428571;337;40;78;63;76;80;92,58241758;67,79661017;92,85714286;100;100;97,56097561;411;70;90;73;82;96;100;100;100;100;100;100;47;11;6;10;6;14;11,43552311;15,71428571;6,666666667;13,69863014;7,317073171;14,58333333;364;59;84;63;76;82;88,56447689;84,28571429;93,33333333;86,30136986;92,68292683;85,41666667
1144;27;5;4;.;4;11;93,10344828;100;100;.;66,66666667;100;.;.;.;.;.;.;.;.;.;.;.;.;25;.;4;.;4;11;.;.;.;.;.;.;29;5;4;.;6;11;100;100;100;.;100;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
