kommune_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
101;1499;207;291;311;341;349;89,54599761;66,99029126;89,81481481;96,58385093;95,51820728;96,40883978;157;13;26;37;42;39;68,85964912;30,95238095;59,09090909;84,09090909;85,71428571;79,59183673;1342;194;265;274;299;310;90,92140921;13,41632089;99,25093633;97,85714286;107,5539568;100,6493506;1674;309;324;322;357;362;100;100;100;100;100;100;228;42;44;44;49;49;13,62007168;13,59223301;13,58024691;13,66459627;13,7254902;13,5359116;1476;1446;267;280;278;308;88,17204301;467,961165;82,40740741;86,95652174;77,87114846;85,08287293
104;1568;209;272;358;348;381;87,59776536;62,01780415;85,53459119;91,32653061;96,66666667;99,47780679;328;25;63;84;73;83;80,19559902;31,25;72,4137931;95,45454545;92,40506329;110,6666667;1240;184;209;274;275;298;89,33717579;13,32367849;81,3229572;118,6147186;90,46052632;106,0498221;1790;337;318;392;360;383;100;100;100;100;100;100;409;80;87;88;79;75;22,84916201;23,7388724;27,35849057;22,44897959;21,94444444;19,58224543;1388;1381;257;231;304;281;77,54189944;409,7922849;80,81761006;58,92857143;84,44444444;73,36814621
105;2752;382;523;567;583;697;87,50397456;65,97582038;85,31810767;92,64705882;94,18416801;96,53739612;496;47;87;108;102;152;70,55476529;34,55882353;58,38926174;89,25619835;76,11940299;93,25153374;2256;335;436;459;481;545;89,70178926;13,71826372;98,41986456;98,92241379;97,96334012;112,371134;3145;579;613;612;619;722;100;100;100;100;100;100;703;136;149;121;134;163;22,35294118;23,48877375;24,30668842;19,77124183;21,64781906;22,57617729;2515;2442;443;464;491;485;79,9682035;421,761658;72,2675367;75,81699346;79,32148627;67,17451524
106;3872;518;720;796;868;970;88,40182648;63,40269278;86,85162847;94,64922711;96,875;97,29187563;578;37;93;115;157;176;65,90649943;21,14285714;56,36363636;66,86046512;89,71428571;92,63157895;3294;481;627;681;711;794;93,1561086;13,73108764;97,6635514;102,560241;106,2780269;110,1248266;4380;817;829;841;896;997;100;100;100;100;100;100;877;175;165;172;175;190;20,02283105;21,41982864;19,90349819;20,45184304;19,53125;19,05717151;3536;3503;642;664;669;721;80,73059361;428,7637699;77,44270205;78,95362663;74,66517857;72,31695085
111;177;29;30;31;47;40;93,65079365;87,87878788;85,71428571;88,57142857;102,173913;100;12;:;:;5;:;:;120;.;.;.;.;.;165;28;30;26;44;37;83,33333333;15,6424581;96,77419355;74,28571429;137,5;86,04651163;189;33;35;35;46;40;100;100;100;100;100;100;10;:;:;:;:;:;5,291005291;.;.;.;.;.;198;179;31;35;32;43;104,7619048;542,4242424;88,57142857;100;69,56521739;107,5
118;60;7;5;9;26;13;84,50704225;53,84615385;62,5;75;108,3333333;92,85714286;:;:;:;:;:;:;.;.;.;.;.;.;60;7;5;9;26;13;90,90909091;9,85915493;38,46153846;112,5;216,6666667;54,16666667;71;13;8;12;24;14;100;100;100;100;100;100;:;:;:;:;:;:;.;.;.;.;.;.;66;71;13;8;12;24;92,95774648;546,1538462;162,5;66,66666667;50;171,4285714
119;154;10;32;32;40;40;86,51685393;47,61904762;86,48648649;91,42857143;90,90909091;97,56097561;13;:;:;:;:;4;76,47058824;.;.;.;.;100;141;10;29;29;37;36;77,90055249;6,211180124;152,6315789;87,87878788;115,625;90;178;21;37;35;44;41;100;100;100;100;100;100;17;:;4;:;4;4;9,550561798;.;10,81081081;.;9,090909091;9,756097561;181;161;19;33;32;40;101,6853933;766,6666667;51,35135135;94,28571429;72,72727273;97,56097561
121;31;:;7;7;5;9;88,57142857;.;100;87,5;100;90;6;:;:;:;:;:;66,66666667;.;.;.;.;.;25;:;5;6;4;7;89,28571429;.;125;120;66,66666667;175;35;5;7;8;5;10;100;100;100;100;100;100;9;:;:;:;:;:;25,71428571;.;.;.;.;.;28;26;4;5;6;4;80;520;57,14285714;62,5;120;40
122;264;34;64;59;52;55;87,41721854;60,71428571;94,11764706;89,39393939;100;91,66666667;23;:;7;6;5;:;71,875;.;100;85,71428571;83,33333333;.;241;31;57;53;47;53;87,31884058;11,48148148;118,75;86,8852459;79,66101695;115,2173913;302;56;68;66;52;60;100;100;100;100;100;100;32;8;7;7;6;4;10,59602649;14,28571429;10,29411765;10,60606061;11,53846154;6,666666667;276;270;48;61;59;46;91,39072848;482,1428571;70,58823529;92,42424242;113,4615385;76,66666667
123;317;47;62;63;77;68;96,06060606;73,4375;100;106,779661;98,71794872;101,4925373;25;4;:;5;4;11;92,59259259;80;.;100;80;110;292;43;61;58;73;57;95,4248366;14,19141914;103,3898305;96,66666667;135,1851852;78,08219178;330;64;62;59;78;67;100;100;100;100;100;100;27;5;:;5;5;10;8,181818182;7,8125;.;8,474576271;6,41025641;14,92537313;306;303;59;60;54;73;92,72727273;473,4375;95,16129032;101,6949153;69,23076923;108,9552239
124;792;96;139;182;179;196;85,62162162;65,30612245;75,54347826;93,81443299;91,79487179;95,6097561;171;13;24;43;48;43;77,37556561;37,14285714;44,44444444;93,47826087;104,3478261;107,5;621;83;115;139;131;153;81,92612137;11,78977273;102,6785714;106,9230769;88,51351351;102,6845638;925;147;184;194;195;205;100;100;100;100;100;100;221;35;54;46;46;40;23,89189189;23,80952381;29,34782609;23,71134021;23,58974359;19,51219512;758;704;112;130;148;149;81,94594595;478,9115646;60,86956522;67,01030928;75,8974359;72,68292683
125;547;68;106;109;129;135;88,36833603;62,3853211;88,33333333;88,61788618;97,72727273;100;100;10;16;20;25;29;72,99270073;37,03703704;69,56521739;64,51612903;100;93,5483871;447;58;90;89;104;106;89,57915832;12,03319502;109,7560976;91,75257732;113,0434783;99,06542056;619;109;120;123;132;135;100;100;100;100;100;100;137;27;23;31;25;31;22,13247173;24,7706422;19,16666667;25,20325203;18,93939394;22,96296296;499;482;82;97;92;107;80,61389338;442,2018349;68,33333333;78,86178862;69,6969697;79,25925926
