naringsregion_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
1;1499;207;291;311;341;349;89,54599761;66,99029126;89,81481481;96,58385093;95,51820728;96,40883978;157;13;26;37;42;39;68,85964912;30,95238095;59,09090909;84,09090909;85,71428571;79,59183673;1342;194;265;274;299;310;92,8077455;72,65917603;94,64285714;98,56115108;97,07792208;99,04153355;1674;309;324;322;357;362;100;100;100;100;100;100;228;42;44;44;49;49;13,62007168;13,59223301;13,58024691;13,66459627;13,7254902;13,5359116;1446;267;280;278;308;313;86,37992832;86,40776699;86,41975309;86,33540373;86,2745098;86,4640884
2;3049;397;583;663;704;702;87,4892396;62,61829653;85,98820059;92,98737728;96,04365621;96,56121045;449;38;75;99;115;122;74,46102819;33,33333333;60,97560976;82,5;93,49593496;99,18699187;2600;359;508;564;589;580;90,21512838;69,03846154;91,53153153;95,10961214;96,55737705;96,02649007;3485;634;678;713;733;727;100;100;100;100;100;100;603;114;123;120;123;123;17,30272597;17,98107256;18,14159292;16,83029453;16,78035471;16,91884457;2882;520;555;593;610;604;82,69727403;82,01892744;81,85840708;83,16970547;83,21964529;83,08115543
3;2951;378;548;650;654;721;88,19485953;63,31658291;86,16352201;92,19858156;96,31811487;98,90260631;455;27;84;118;99;127;76,08695652;23,27586207;68,29268293;92,91338583;89,18918919;104,9586777;2496;351;464;532;555;594;90,82969432;72,97297297;90,44834308;92,04152249;97,71126761;97,69736842;3346;597;636;705;679;729;100;100;100;100;100;100;598;116;123;127;111;121;17,87208607;19,43048576;19,33962264;18,0141844;16,34756996;16,59807956;2748;481;513;578;568;608;82,12791393;80,56951424;80,66037736;81,9858156;83,65243004;83,40192044
4;6801;929;1273;1394;1498;1707;88,16437646;65,01049685;86,18821936;93,6827957;95,96412556;97,04377487;1086;85;180;228;262;331;68,30188679;27,15654952;57,32484076;77,02702703;83,97435897;93,23943662;5715;844;1093;1166;1236;1376;93,32135859;75,62724014;93,9810834;97,81879195;98,95916733;98,00569801;7714;1429;1477;1488;1561;1759;100;100;100;100;100;100;1590;313;314;296;312;355;20,61187451;21,90342897;21,25930941;19,89247312;19,9871877;20,18192155;6124;1116;1163;1192;1249;1404;79,38812549;78,09657103;78,74069059;80,10752688;80,0128123;79,81807845
5;10972;1543;2205;2289;2418;2517;90,64023131;70,20018198;90,96534653;95,49436796;97,30382294;96,7704729;1696;159;348;384;403;402;78,77380399;35,25498891;78,02690583;88,47926267;97,10843373;98,77149877;9276;1384;1857;1905;2015;2115;93,2073955;79,22152261;93,88270981;97,04533877;97,34299517;96,39927074;12105;2198;2424;2397;2485;2601;100;100;100;100;100;100;2153;451;446;434;415;407;17,78603883;20,51865332;18,39933993;18,10596579;16,70020121;15,64782776;9952;1747;1978;1963;2070;2194;82,21396117;79,48134668;81,60066007;81,89403421;83,29979879;84,35217224
6;8138;1157;1587;1723;1788;1883;92,85714286;74,69335055;93,62831858;97,45475113;97,2796518;98,38035528;970;105;205;218;206;236;84,20138889;45,25862069;85,77405858;95,19650655;91,96428571;103,5087719;7168;1052;1382;1505;1582;1647;94,16710457;79,87851177;94,91758242;97,79077323;98,0173482;97,68683274;8764;1549;1695;1768;1838;1914;100;100;100;100;100;100;1152;232;239;229;224;228;13,14468279;14,97740478;14,10029499;12,95248869;12,18715996;11,91222571;7612;1317;1456;1539;1614;1686;86,85531721;85,02259522;85,89970501;87,04751131;87,81284004;88,08777429
7;9895;1397;1910;2081;2291;2216;91,62885452;72,76041667;93,17073171;93,9503386;97,15860899;98,22695035;1814;165;349;420;434;446;86,46329838;41,98473282;87,25;93,12638581;101,4018692;104,6948357;8081;1232;1561;1661;1857;1770;92,87438225;80,681074;94,60606061;94,16099773;96,21761658;96,72131148;10799;1920;2050;2215;2358;2256;100;100;100;100;100;100;2098;393;400;451;428;426;19,42772479;20,46875;19,51219512;20,36117381;18,1509754;18,88297872;8701;1527;1650;1764;1930;1830;80,57227521;79,53125;80,48780488;79,63882619;81,8490246;81,11702128
8;5878;890;1143;1187;1295;1363;92,56692913;75,10548523;92,32633279;98,34299917;98,40425532;97,07977208;786;86;150;147;184;219;82,99894403;43,2160804;80,21390374;100;93,40101523;100,921659;5092;804;993;1040;1111;1144;94,24393855;81,54158215;94,48144624;98,11320755;99,28507596;96,37742207;6350;1185;1238;1207;1316;1404;100;100;100;100;100;100;947;199;187;147;197;217;14,91338583;16,79324895;15,10500808;12,17895609;14,96960486;15,45584046;5403;986;1051;1060;1119;1187;85,08661417;83,20675105;84,89499192;87,82104391;85,03039514;84,54415954
9;36345;5708;7651;7656;7691;7639;85,70114834;63,52103272;86,40316206;91,48046362;94,05649994;95,22562952;10118;818;1927;2290;2476;2607;79,46905435;32,65469062;75,06817296;88,89751553;97,13613182;102,8402367;26227;4890;5724;5366;5215;5032;88,37483573;75,45131924;91,03053435;92,62903504;92,66169154;91,70767268;42409;8986;8855;8369;8177;8022;100;100;100;100;100;100;12732;2505;2567;2576;2549;2535;30,02192931;27,87669708;28,9892716;30,78026049;31,17280176;31,60059835;29677;6481;6288;5793;5628;5487;69,97807069;72,12330292;71,0107284;69,21973951;68,82719824;68,39940165
10;748;94;156;146;162;190;93,5;71,21212121;97,5;98,64864865;97,00598802;98,44559585;72;11;21;14;14;12;85,71428571;68,75;91,30434783;87,5;77,77777778;109,0909091;676;83;135;132;148;178;94,41340782;71,55172414;98,54014599;100;99,32885906;97,8021978;800;132;160;148;167;193;100;100;100;100;100;100;84;16;23;16;18;11;10,5;12,12121212;14,375;10,81081081;10,77844311;5,699481865;716;116;137;132;149;182;89,5;87,87878788;85,625;89,18918919;89,22155689;94,30051813
11;2114;256;412;472;469;505;88,67449664;60,80760095;89,37093275;97,11934156;96,10655738;95,64393939;201;23;34;45;54;45;78,82352941;48,93617021;68;95,74468085;90;88,23529412;1913;233;378;427;415;460;89,85439173;62,29946524;91,97080292;97,26651481;96,96261682;96,4360587;2384;421;461;486;488;528;100;100;100;100;100;100;255;47;50;47;60;51;10,69630872;11,16389549;10,84598698;9,670781893;12,29508197;9,659090909;2129;374;411;439;428;477;89,30369128;88,83610451;89,15401302;90,32921811;87,70491803;90,34090909
12;4547;669;903;930;981;1064;92,17514697;73,6784141;91,76829268;96,67359667;98,59296482;98,15498155;478;57;91;102;104;124;78,87788779;48,30508475;72,8;82,92682927;97,19626168;93,23308271;4069;612;812;828;877;940;94,03743933;77,46835443;94,52852154;98,68891538;98,76126126;98,84332282;4933;908;984;962;995;1084;100;100;100;100;100;100;606;118;125;123;107;133;12,28461383;12,99559471;12,70325203;12,78586279;10,75376884;12,26937269;4327;790;859;839;888;951;87,71538617;87,00440529;87,29674797;87,21413721;89,24623116;87,73062731
