kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
0821;11,7;40,6;53,8;47,7;9,1
0822;10,8;27,4;55,9;43,8;8,6
0826;9,0;25,9;28,4;27,2;7,5
0827;8,2;39,3;:;33,3;7,6
0828;8,9;14,3;66,0;31,8;7,6
0829;9,2;37,4;:;28,4;8,0
0830;8,5;27,7;:;26,7;7,4
0831;8,8;22,5;75,0;33,0;6,6
0833;6,1;:;:;11,8;5,8
0834;7,5;22,9;25,8;24,0;6,6
0901;10,2;28,0;46,2;36,4;8,3
0904;8,5;21,0;37,9;28,6;6,7
0906;8,2;23,6;32,4;28,2;6,3
0911;8,4;:;54,2;36,3;6,5
0912;8,6;:;54,8;42,1;6,7
0914;10,3;32,5;42,2;36,7;8,0
0919;7,6;25,3;22,4;24,3;6,7
0926;5,9;13,5;26,1;19,6;4,9
0928;7,0;12,0;27,3;19,1;6,1
0929;13,4;40,2;46,3;42,7;10,2
0935;10,1;44,9;:;41,8;7,3
0937;9,1;34,4;38,2;36,7;6,2
0938;7,8;:;46,2;29,5;6,6
0940;12,8;:;70,2;48,3;9,9
0941;7,3;19,7;36,7;24,8;4,8
1001;8,7;16,7;29,6;25,4;6,6
1002;7,7;18,6;33,3;25,9;6,3
1003;7,2;24,0;29,7;26,5;6,0
1004;6,8;15,6;30,0;21,6;5,4
1014;6,9;20,5;23,8;22,1;5,8
1017;8,0;18,8;28,4;24,3;6,1
1018;7,3;19,6;38,5;28,5;5,8
1021;7,6;23,6;41,5;31,2;5,8
1026;9,6;34,1;72,7;51,4;5,6
1027;6,2;21,5;:;20,3;5,5
1029;9,5;23,9;36,3;29,0;7,8
1032;8,4;24,4;29,7;27,4;6,8
1034;7,4;:;56,5;28,4;6,3
1037;8,0;21,2;38,4;29,2;6,5
1046;6,2;14,3;:;16,9;5,3
1101;5,7;10,3;26,1;17,3;4,7
1102;5,3;12,6;18,9;15,9;3,8
1103;6,2;11,6;21,4;16,8;4,5
1106;8,3;22,0;27,5;24,9;6,4
1111;5,8;:;:;:;5,8
1112;6,0;:;22,4;17,5;5,3
1114;3,8;17,8;:;13,7;3,1
1119;5,0;15,6;23,8;18,4;3,7
