kommune_nr;spraaknivaa.alle_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.alle_provetype.lese_enhet.personer_aar.2015;spraaknivaa.alle_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.b1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a2_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.personer_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer_aar.2015;spraaknivaa.b1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.b1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a2_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent_aar.2015;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent_aar.2015
502;57;46;45;50;15;27;19;14;20;11;12;18;19;8;12;16;1;0;:;2;2;:;:;0;26;59;42;28;35;24;27;36;33;17;27;32;2;0;:;4;4;:;:;0
513;:;3;2;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
514;:;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
515;:;2;2;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
516;:;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
517;28;24;22;28;8;8;6;3;17;12;8;13;3;4;8;11;0;0;:;1;0;:;:;0;29;33;27;11;61;50;36;46;11;17;36;39;0;0;:;4;0;:;:;0
520;3;1;1;1;;;;;;;;;;;;;;;:;;;:;:;;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
521;1;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
528;9;13;13;13;:;6;8;2;:;7;2;9;:;0;2;1;:;0;:;0;:;:;:;1;:;46;62;15;:;54;15;69;:;0;15;8;:;0;:;0;:;:;:;8
529;25;23;21;27;6;11;11;7;18;8;5;14;1;4;4;5;0;0;:;1;0;:;:;0;24;48;52;26;72;35;24;52;4;17;19;19;0;0;:;4;0;:;:;0
533;45;40;41;46;16;24;23;10;27;15;13;22;2;1;5;13;0;0;:;1;0;:;:;0;36;60;56;22;60;38;32;48;4;2;12;28;0;0;:;2;0;:;:;0
536;8;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
538;13;11;13;14;1;2;1;0;9;6;6;6;3;3;4;7;0;0;:;0;0;:;:;1;8;18;8;0;69;55;46;43;23;27;31;50;0;0;:;0;0;:;:;7
540;7;9;9;14;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1;:;:;:;14;:;:;:;64;:;:;:;14;:;:;:;0;:;:;:;7
542;15;13;12;14;4;5;7;3;10;5;3;7;1;3;1;2;0;0;:;2;0;:;:;0;27;38;58;21;67;38;25;50;7;23;8;14;0;0;:;14;0;:;:;0
543;5;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
545;1;1;1;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
602;108;104;102;116;58;68;59;37;39;27;23;52;6;9;18;24;4;0;:;3;0;:;:;0;54;65;58;32;36;26;23;45;6;9;18;21;4;0;:;3;0;:;:;0
604;39;42;39;43;28;36;31;20;9;6;5;20;2;0;3;2;0;0;:;0;0;:;:;1;72;86;79;47;23;14;13;47;5;0;8;5;0;0;:;0;0;:;:;2
605;50;47;50;54;19;31;33;15;27;14;13;30;4;2;4;8;0;0;:;1;0;:;:;0;38;66;66;28;54;30;26;56;8;4;8;15;0;0;:;2;0;:;:;0
617;34;33;33;33;19;18;21;9;12;13;6;16;3;2;4;6;0;0;:;2;0;:;:;0;56;55;64;27;35;39;18;48;9;6;12;18;0;0;:;6;0;:;:;0
619;:;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
623;12;14;14;14;5;10;9;4;7;4;3;6;0;0;2;4;0;0;:;0;0;:;:;0;42;71;64;29;58;29;21;43;0;0;14;29;0;0;:;0;0;:;:;0
624;58;53;54;70;20;14;14;9;24;21;19;26;10;15;19;29;4;3;:;6;0;:;:;0;34;26;26;13;41;40;35;37;17;28;35;41;7;6;:;9;0;:;:;0
625;31;20;20;22;16;10;13;8;13;8;5;10;2;2;2;2;0;0;:;1;0;:;:;1;52;50;65;36;42;40;25;45;6;10;10;9;0;0;:;5;0;:;:;5
626;50;57;60;72;31;45;43;24;17;8;13;34;2;4;3;10;0;0;:;1;0;:;:;3;62;79;72;33;34;14;22;47;4;7;5;14;0;0;:;1;0;:;:;4
628;13;16;14;14;7;8;11;4;6;8;0;8;0;0;2;2;0;0;:;0;0;:;:;0;54;50;79;29;46;50;0;57;0;0;14;14;0;0;:;0;0;:;:;0
633;17;17;17;17;1;4;3;1;11;5;6;4;5;7;6;9;0;1;:;2;0;:;:;1;6;24;18;6;65;29;35;24;29;41;35;53;0;6;:;12;0;:;:;6
701;42;43;43;46;19;25;21;10;15;8;13;25;8;10;7;10;0;0;:;1;0;:;:;0;45;58;49;22;36;19;30;54;19;23;16;22;0;0;:;2;0;:;:;0
704;62;69;69;75;33;47;50;33;22;17;8;28;7;4;7;8;0;1;:;6;0;:;:;0;53;68;72;44;35;25;12;37;11;6;10;11;0;1;:;8;0;:;:;0
706;42;42;40;51;19;23;24;8;21;13;13;27;2;6;3;14;0;0;:;0;0;:;:;2;45;55;60;16;50;31;32;53;5;14;8;27;0;0;:;0;0;:;:;4
709;35;39;38;39;19;24;22;17;14;10;7;6;2;4;8;15;0;1;:;1;0;:;:;0;54;62;58;44;40;26;18;15;6;10;21;38;0;3;:;3;0;:;:;0
713;7;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
805;84;78;74;84;21;44;33;15;57;27;26;49;6;7;13;19;0;0;:;1;0;:;:;0;25;56;45;18;68;35;35;58;7;9;18;23;0;0;:;1;0;:;:;0
806;71;76;73;84;18;36;33;8;43;33;25;43;10;7;14;33;0;0;:;0;0;:;:;0;25;47;45;10;61;43;34;51;14;9;19;39;0;0;:;0;0;:;:;0
807;27;29;31;35;12;16;16;7;13;9;8;17;2;4;6;9;0;0;:;1;0;:;:;1;44;55;52;20;48;31;26;49;7;14;19;26;0;0;:;3;0;:;:;3
814;40;39;39;41;7;14;9;3;21;18;14;17;12;6;11;15;0;1;:;5;0;:;:;1;18;36;23;7;52;46;36;41;30;15;28;37;0;3;:;12;0;:;:;2
815;5;10;9;11;:;8;:;2;:;2;:;6;:;0;:;3;:;0;:;0;:;:;:;0;:;80;:;18;:;20;:;55;:;0;:;27;:;0;:;0;:;:;:;0
817;9;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
819;24;23;24;23;9;14;12;4;13;6;8;12;2;3;3;4;0;0;:;0;0;:;:;3;38;61;50;17;54;26;33;52;8;13;12;17;0;0;:;0;0;:;:;13
821;2;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
822;10;10;10;10;1;4;3;2;8;4;5;4;1;2;2;4;0;0;:;0;0;:;:;0;10;40;30;20;80;40;50;40;10;20;20;40;0;0;:;0;0;:;:;0
826;7;8;9;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
828;4;13;12;11;:;3;0;0;:;3;1;1;:;7;11;5;:;0;:;2;:;:;:;3;:;23;0;0;:;23;8;9;:;54;92;45;:;0;:;18;:;:;:;27
901;40;40;42;48;4;20;13;4;29;17;17;32;7;2;12;10;0;1;:;2;0;:;:;0;10;50;31;8;72;42;40;67;18;5;29;21;0;2;:;4;0;:;:;0
904;20;17;17;17;9;13;14;6;8;2;1;7;3;2;2;4;0;0;:;0;0;:;:;0;45;76;82;35;40;12;6;41;15;12;12;24;0;0;:;0;0;:;:;0
906;56;49;54;61;19;32;36;15;33;16;16;40;3;1;2;6;0;0;:;0;1;:;:;0;34;65;67;25;59;33;30;66;5;2;4;10;0;0;:;0;2;:;:;0
926;17;17;17;18;2;12;9;7;14;5;3;4;1;0;5;6;0;0;:;1;0;:;:;0;12;71;53;39;82;29;18;22;6;0;29;33;0;0;:;6;0;:;:;0
928;14;13;12;12;4;6;5;2;7;4;2;3;3;3;3;4;0;0;:;2;0;:;:;1;29;46;42;17;50;31;17;25;21;23;25;33;0;0;:;17;0;:;:;8
937;5;7;7;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
940;9;11;8;11;:;1;:;1;:;4;:;5;:;5;:;3;:;1;:;2;:;:;:;0;:;9;:;9;:;36;:;45;:;45;:;27;:;9;:;18;:;:;:;0
941;6;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1001;93;97;97;100;30;52;48;24;59;33;29;48;4;12;17;22;0;0;:;5;0;:;:;1;32;54;49;24;63;34;30;48;4;12;18;22;0;0;:;5;0;:;:;1
1002;29;29;29;29;13;22;23;11;15;5;3;10;1;2;3;8;0;0;:;0;0;:;:;0;45;76;79;38;52;17;10;34;3;7;10;28;0;0;:;0;0;:;:;0
1003;31;28;28;28;8;13;16;5;19;12;5;17;4;3;7;5;0;0;:;1;0;:;:;0;26;46;57;18;61;43;18;61;13;11;25;18;0;0;:;4;0;:;:;0
1004;16;17;17;18;6;8;4;3;10;5;7;9;0;4;6;6;0;0;:;0;0;:;:;0;38;47;24;17;62;29;41;50;0;24;35;33;0;0;:;0;0;:;:;0
1014;16;16;16;18;6;7;8;1;10;9;7;13;0;0;1;3;0;0;:;0;0;:;:;1;38;44;50;6;62;56;44;72;0;0;6;17;0;0;:;0;0;:;:;6
1017;25;31;31;31;9;12;15;4;12;11;8;13;4;8;6;12;0;0;:;2;0;:;:;0;36;39;48;13;48;35;26;42;16;26;19;39;0;0;:;6;0;:;:;0
1026;1;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1027;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1032;22;20;20;20;7;11;11;5;15;8;8;9;0;1;1;6;0;0;:;0;0;:;:;0;32;55;55;25;68;40;40;45;0;5;5;30;0;0;:;0;0;:;:;0
1037;16;18;18;18;9;12;9;5;7;4;4;8;0;2;4;4;0;0;:;1;0;:;:;0;56;67;50;28;44;22;22;44;0;11;22;22;0;0;:;6;0;:;:;0
1046;11;13;13;13;3;5;5;2;8;7;3;5;0;1;5;6;0;0;:;0;0;:;:;0;27;38;38;15;73;54;23;38;0;8;38;46;0;0;:;0;0;:;:;0
1101;26;25;25;27;12;18;18;13;14;7;5;13;0;0;2;1;0;0;:;0;0;:;:;0;46;72;72;48;54;28;20;48;0;0;8;4;0;0;:;0;0;:;:;0
1102;150;152;162;161;62;84;109;45;68;52;32;77;20;17;18;39;0;2;:;2;0;:;:;0;41;55;67;28;45;34;20;48;13;11;11;24;0;1;:;1;0;:;:;0
1103;286;280;279;302;123;199;206;103;134;67;39;148;26;14;33;45;0;0;:;3;3;:;:;3;43;71;74;34;47;24;14;49;9;5;12;15;0;0;:;1;1;:;:;1
1106;84;71;72;85;47;41;40;30;22;19;16;38;15;11;13;16;0;0;:;1;0;:;:;0;56;58;56;35;26;27;22;45;18;15;18;19;0;0;:;1;0;:;:;0
1112;3;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1119;23;22;22;22;7;12;12;3;10;8;7;11;6;2;3;8;0;0;:;0;0;:;:;0;30;55;55;14;43;36;32;50;26;9;14;36;0;0;:;0;0;:;:;0
1121;51;51;54;57;16;30;32;15;30;18;17;31;5;3;5;11;0;0;:;0;0;:;:;0;31;59;59;26;59;35;31;54;10;6;9;19;0;0;:;0;0;:;:;0
1122;11;19;19;18;1;9;8;2;9;6;6;10;1;4;4;6;0;0;:;0;0;:;:;0;9;47;42;11;82;32;32;56;9;21;21;33;0;0;:;0;0;:;:;0
1124;27;27;26;31;15;21;19;15;12;5;3;11;0;1;4;4;0;0;:;1;0;:;:;0;56;78;73;48;44;19;12;35;0;4;15;13;0;0;:;3;0;:;:;0
1130;29;28;28;28;5;19;13;7;18;5;12;15;6;4;3;5;0;0;:;1;0;:;:;0;17;68;46;25;62;18;43;54;21;14;11;18;0;0;:;4;0;:;:;0
1134;26;23;22;24;7;9;7;4;12;8;7;13;7;6;5;6;0;0;:;1;0;:;:;0;27;39;32;17;46;35;32;54;27;26;23;25;0;0;:;4;0;:;:;0
1135;20;22;20;25;8;13;9;6;9;7;7;11;3;2;4;8;0;0;:;0;0;:;:;0;40;59;45;24;45;32;35;44;15;9;20;32;0;0;:;0;0;:;:;0
1146;8;11;11;12;:;9;8;2;:;2;1;8;:;0;2;1;:;0;:;0;:;:;:;1;:;82;73;17;:;18;9;67;:;0;18;8;:;0;:;0;:;:;:;8
1149;52;43;43;44;30;28;33;13;22;15;8;26;0;0;2;5;0;0;:;0;0;:;:;0;58;65;77;30;42;35;19;59;0;0;5;11;0;0;:;0;0;:;:;0
1160;16;21;22;23;3;7;7;4;11;9;6;9;2;5;9;10;0;0;:;0;0;:;:;0;19;33;32;17;69;43;27;39;12;24;41;43;0;0;:;0;0;:;:;0
1201;395;394;390;425;142;248;230;115;209;110;98;213;43;35;59;94;0;0;:;4;0;:;:;0;36;63;59;27;53;28;25;50;11;9;15;22;0;0;:;1;0;:;:;0
1211;18;16;14;16;11;10;8;7;6;5;5;5;1;1;1;4;0;0;:;0;0;:;:;0;61;62;57;44;33;31;36;31;6;6;7;25;0;0;:;0;0;:;:;0
1216;9;9;9;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1219;27;23;22;27;7;14;12;8;16;7;4;16;4;2;6;3;0;0;:;0;0;:;:;0;26;61;55;30;59;30;18;59;15;9;27;11;0;0;:;0;0;:;:;0
1221;36;34;33;39;6;20;22;5;28;10;8;26;2;3;3;8;0;1;:;0;0;:;:;0;17;59;67;13;78;29;24;67;6;9;9;21;0;3;:;0;0;:;:;0
1224;9;5;6;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1228;16;15;15;16;5;7;8;3;7;6;5;8;4;2;2;5;0;0;:;0;0;:;:;0;31;47;53;19;44;40;33;50;25;13;13;31;0;0;:;0;0;:;:;0
1231;13;12;12;13;2;4;2;0;8;4;6;7;3;4;3;5;0;0;:;1;0;:;:;0;15;33;17;0;62;33;50;54;23;33;25;38;0;0;:;8;0;:;:;0
1235;21;24;24;28;6;10;11;4;10;9;9;10;4;4;4;11;0;1;:;2;1;:;:;1;29;42;46;14;48;38;38;36;19;17;17;39;0;4;:;7;5;:;:;4
1238;23;19;17;27;10;8;8;7;11;8;7;8;2;3;2;12;0;0;:;0;0;:;:;0;43;42;47;26;48;42;41;30;9;16;12;44;0;0;:;0;0;:;:;0
1241;3;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1243;14;19;19;21;3;11;13;5;10;8;5;12;1;0;1;4;0;0;:;0;0;:;:;0;21;58;68;24;71;42;26;57;7;0;5;19;0;0;:;0;0;:;:;0
1244;7;4;4;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1245;4;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1246;29;28;27;29;12;22;20;15;16;4;4;9;1;2;3;5;0;0;:;0;0;:;:;0;41;79;74;52;55;14;15;31;3;7;11;17;0;0;:;0;0;:;:;0
1247;25;25;24;25;7;16;12;4;16;5;7;13;2;4;4;8;0;0;:;0;0;:;:;0;28;64;50;16;64;20;29;52;8;16;17;32;0;0;:;0;0;:;:;0
1259;7;6;6;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1263;41;40;42;42;11;21;28;13;25;15;6;21;5;4;8;8;0;0;:;0;0;:;:;0;27;52;67;31;61;38;14;50;12;10;19;19;0;0;:;0;0;:;:;0
1401;35;39;39;43;16;15;15;2;11;21;15;22;8;3;8;17;0;0;:;1;0;:;:;1;46;38;38;5;31;54;38;51;23;8;21;40;0;0;:;2;0;:;:;2
1411;9;6;6;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1413;10;7;7;7;3;:;:;:;6;:;:;:;1;:;:;:;0;:;:;:;0;:;:;:;30;:;:;:;60;:;:;:;10;:;:;:;0;:;:;:;0;:;:;:
1416;7;7;8;7;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1420;20;19;20;22;6;10;10;4;10;4;4;6;3;5;6;11;0;0;:;1;1;:;:;0;30;53;50;18;50;21;20;27;15;26;30;50;0;0;:;5;5;:;:;0
1424;9;9;10;9;:;:;9;:;:;:;1;:;:;:;0;:;:;:;:;:;:;:;:;:;:;:;90;:;:;:;10;:;:;:;0;:;:;:;:;:;:;:;:;:
1428;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1432;15;15;12;16;10;5;10;3;5;10;2;12;0;0;0;0;0;0;:;1;0;:;:;0;67;33;83;19;33;67;17;75;0;0;0;0;0;0;:;6;0;:;:;0
1439;8;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1443;11;12;13;12;5;6;6;3;6;4;3;5;0;2;4;2;0;0;:;1;0;:;:;1;45;50;46;25;55;33;23;42;0;17;31;17;0;0;:;8;0;:;:;8
1445;7;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1449;16;16;16;16;13;8;8;1;3;8;7;8;0;0;1;7;0;0;:;0;0;:;:;0;81;50;50;6;19;50;44;50;0;0;6;44;0;0;:;0;0;:;:;0
1502;49;51;51;51;10;33;33;8;37;12;12;28;2;6;5;13;0;0;:;2;0;:;:;0;20;65;65;16;76;24;24;55;4;12;10;25;0;0;:;4;0;:;:;0
1504;75;76;75;85;28;43;44;24;44;24;17;41;3;8;12;18;0;1;:;1;0;:;:;1;37;57;59;28;59;32;23;48;4;11;16;21;0;1;:;1;0;:;:;1
1505;9;12;12;13;:;8;6;5;:;4;4;6;:;0;2;2;:;0;:;0;:;:;:;0;:;67;50;38;:;33;33;46;:;0;17;15;:;0;:;0;:;:;:;0
1514;8;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1515;18;17;16;17;10;10;10;6;7;5;2;7;1;2;4;4;0;0;:;0;0;:;:;0;56;59;62;35;39;29;12;41;6;12;25;24;0;0;:;0;0;:;:;0
1516;9;8;8;9;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1517;6;4;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1519;10;11;11;11;2;7;5;0;7;4;4;7;1;0;2;4;0;0;:;0;0;:;:;0;20;64;45;0;70;36;36;64;10;0;18;36;0;0;:;0;0;:;:;0
1520;17;18;18;19;2;6;5;1;12;9;9;9;3;3;4;9;0;0;:;0;0;:;:;0;12;33;28;5;71;50;50;47;18;17;22;47;0;0;:;0;0;:;:;0
1525;:;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1528;22;22;25;27;10;10;11;5;9;10;10;13;3;2;3;9;0;0;:;0;0;:;:;0;45;45;44;19;41;45;40;48;14;9;12;33;0;0;:;0;0;:;:;0
1534;26;27;27;28;14;17;19;12;12;10;6;12;0;0;2;4;0;0;:;0;0;:;:;0;54;63;70;43;46;37;22;43;0;0;7;14;0;0;:;0;0;:;:;0
1535;26;26;26;28;9;11;9;2;15;9;7;11;2;6;10;13;0;0;:;1;0;:;:;1;35;42;35;7;58;35;27;39;8;23;38;46;0;0;:;4;0;:;:;4
1539;1;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1548;4;4;3;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1551;3;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1557;2;2;3;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1560;18;10;5;15;10;5;:;3;8;4;:;7;0;1;:;5;0;0;:;0;0;:;:;0;56;50;:;20;44;40;:;47;0;10;:;33;0;0;:;0;0;:;:;0
1563;28;29;28;30;13;13;12;2;13;14;11;20;2;2;5;6;0;0;:;1;0;:;:;1;46;45;43;7;46;48;39;67;7;7;18;20;0;0;:;3;0;:;:;3
1566;5;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1571;1;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1601;246;250;249;262;69;145;149;60;145;83;65;136;30;23;32;60;0;0;:;5;0;:;:;0;28;58;60;23;59;33;26;52;12;9;13;23;0;0;:;2;0;:;:;0
1612;6;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1617;8;10;11;12;:;4;6;1;:;5;3;9;:;1;2;2;:;0;:;0;:;:;:;0;:;40;55;8;:;50;27;75;:;10;18;17;:;0;:;0;:;:;:;0
1621;:;14;14;14;:;3;5;2;:;7;6;5;:;4;3;7;:;0;:;0;:;:;:;0;:;21;36;14;:;50;43;36;:;29;21;50;:;0;:;0;:;:;:;0
1624;18;16;16;17;2;4;5;2;10;7;3;2;6;5;6;13;0;0;:;0;0;:;:;0;11;25;31;12;56;44;19;12;33;31;38;76;0;0;:;0;0;:;:;0
1630;4;12;12;13;:;7;10;2;:;5;2;5;:;0;0;6;:;0;:;0;:;:;:;0;:;58;83;15;:;42;17;38;:;0;0;46;:;0;:;0;:;:;:;0
1635;19;17;18;17;4;4;3;0;11;11;8;7;4;2;6;10;0;0;:;0;0;:;:;0;21;24;17;0;58;65;44;41;21;12;33;59;0;0;:;0;0;:;:;0
1638;21;19;18;18;7;9;10;3;11;9;5;11;2;0;2;3;0;0;:;0;1;:;:;1;33;47;56;17;52;47;28;61;10;0;11;17;0;0;0;0;5;5;6;6
