fylke_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
0;283744;41120;56694;59813;62396;63721;90,20030454;68,42271661;91,31968494;95,4381542;96,94389634;97,49831691;40967;4177;8129;9249;9666;9746;78,94057345;39,85687023;76,58031088;89,54400232;93,23815954;96,44730332;242777;36943;48565;50564;52730;53975;92,42485962;74,45633553;94,35960208;96,60126473;97,65538188;97,69053954;314571;60097;62083;62672;64363;65356;100;100;100;100;100;100;51896;10480;10615;10329;10367;10105;16,49738851;17,43847447;17,09807838;16,48104417;16,10708015;15,46147255;262675;49617;51468;52343;53996;55251;83,50261149;82,56152553;82,90192162;83,51895583;83,89291985;84,53852745
1;14300;1911;2695;3018;3197;3479;88,16819779;64,3651061;86,51685393;93,49442379;96,00600601;97,26027397;2147;163;365;482;518;619;71,11626366;27,86324786;60,43046358;82,11243612;87,05882353;95,52469136;12153;1748;2330;2536;2679;2860;92,06818182;73,32214765;92,79171645;96,02423324;97,95246801;97,64424718;16219;2969;3115;3228;3330;3577;100;100;100;100;100;100;3019;585;604;587;595;648;18,61397127;19,70360391;19,39004815;18,18463445;17,86786787;18,11573945;13200;2384;2511;2641;2735;2929;81,38602873;80,29639609;80,60995185;81,81536555;82,13213213;81,88426055
2;34883;4987;6845;7280;7792;7979;91,75390604;72,78166959;92,41258269;95,95360485;97,4365387;97,60244648;5266;515;1052;1169;1227;1303;82,92913386;40,39215686;82,70440252;92,70420301;97,07278481;101,9561815;29617;4472;5793;6111;6565;6676;93,52343059;80,18648019;94,42542787;96,60132785;97,50482697;96,79570828;38018;6852;7407;7587;7997;8175;100;100;100;100;100;100;6350;1275;1272;1261;1264;1278;16,70261455;18,60770578;17,17294451;16,62053513;15,80592722;15,63302752;31668;5577;6135;6326;6733;6897;83,29738545;81,39229422;82,82705549;83,37946487;84,19407278;84,36697248
3;36345;5708;7651;7656;7691;7639;85,70114834;63,52103272;86,40316206;91,48046362;94,05649994;95,22562952;10118;818;1927;2290;2476;2607;79,46905435;32,65469062;75,06817296;88,89751553;97,13613182;102,8402367;26227;4890;5724;5366;5215;5032;88,37483573;75,45131924;91,03053435;92,62903504;92,66169154;91,70767268;42409;8986;8855;8369;8177;8022;100;100;100;100;100;100;12732;2505;2567;2576;2549;2535;30,02192931;27,87669708;28,9892716;30,78026049;31,17280176;31,60059835;29677;6481;6288;5793;5628;5487;69,97807069;72,12330292;71,0107284;69,21973951;68,82719824;68,39940165
4;9085;1286;1809;1881;1974;2135;91,67507568;71,56371731;91,96746314;97,20930233;97,33727811;97,80119102;914;103;180;202;210;219;79,82532751;49,51923077;74,38016529;87,44588745;92,10526316;92,79661017;8171;1183;1629;1679;1764;1916;93,22304621;74,44933921;94,43478261;98,53286385;98;98,40780688;9910;1797;1967;1935;2028;2183;100;100;100;100;100;100;1145;208;242;231;228;236;11,55398587;11,57484697;12,30299949;11,9379845;11,24260355;10,81081081;8765;1589;1725;1704;1800;1947;88,44601413;88,42515303;87,69700051;88,0620155;88,75739645;89,18918919
5;8652;1165;1731;1795;1985;1976;91,09286166;66,57142857;93,66883117;95,88675214;98,21870361;98,45540608;906;98;197;201;200;210;76,97536109;40,16393443;79,75708502;84,10041841;88,88888889;94,59459459;7746;1067;1534;1594;1785;1766;93,08977286;70,8499336;95,81511555;97,6117575;99,38752784;98,93557423;9498;1750;1848;1872;2021;2007;100;100;100;100;100;100;1177;244;247;239;225;222;12,39208254;13,94285714;13,36580087;12,76709402;11,13310242;11,0612855;8321;1506;1601;1633;1796;1785;87,60791746;86,05714286;86,63419913;87,23290598;88,86689758;88,9387145
6;14386;1969;2858;3099;3190;3270;90,06448382;67,17843739;91,04810449;95,47134935;96,60811629;97,46646796;2783;270;573;646;680;614;84,46130501;40,54054054;85,14115899;100,1550388;98,4081042;99,03225806;11603;1699;2285;2453;2510;2656;91,5207446;75,01103753;92,66017843;94,30988082;96,13175029;97,11151737;15973;2931;3139;3246;3302;3355;100;100;100;100;100;100;3295;666;673;645;691;620;20,6285607;22,72262027;21,43994903;19,87060998;20,92671108;18,47988077;12678;2265;2466;2601;2611;2735;79,3714393;77,27737973;78,56005097;80,12939002;79,07328892;81,52011923
7;12165;1676;2340;2589;2772;2788;89,50117716;67,41753821;89,89627353;93,97459165;96,51810585;96,94019471;1441;145;281;323;346;346;72,08604302;36,61616162;68,03874092;84,55497382;84,59657702;86,71679198;10724;1531;2059;2266;2426;2442;92,5040973;73,25358852;94,01826484;95,49093974;98,49776695;98,5870004;13592;2486;2603;2755;2872;2876;100;100;100;100;100;100;1999;396;413;382;409;399;14,70718069;15,92920354;15,86630811;13,86569873;14,24094708;13,87343533;11593;2090;2190;2373;2463;2477;85,29281931;84,07079646;84,13369189;86,13430127;85,75905292;86,12656467
8;8364;1194;1655;1774;1871;1870;90,47052461;68,66014951;91,63898117;94,81560663;96,64256198;98,78499736;1111;120;230;234;270;257;81,03574034;45,97701149;80,41958042;89,3129771;94,07665505;93,45454545;7253;1074;1425;1540;1601;1613;92,11328423;72,66576455;93,75;95,71162213;97,08914494;99,69097651;9245;1739;1806;1871;1936;1893;100;100;100;100;100;100;1371;261;286;262;287;275;14,82963764;15,00862565;15,83610188;14,00320684;14,82438017;14,52720549;7874;1478;1520;1609;1649;1618;85,17036236;84,99137435;84,16389812;85,99679316;85,17561983;85,47279451
9;6394;832;1266;1370;1436;1490;90,4768643;64,69673406;92,34135667;96,75141243;97,82016349;97,64089122;685;73;132;142;170;168;77,48868778;41,95402299;74,15730337;85,02994012;92,89617486;92,30769231;5709;759;1134;1228;1266;1322;92,33381853;68,25539568;95,05448449;98,31865492;98,52140078;98,36309524;7067;1286;1371;1416;1468;1526;100;100;100;100;100;100;884;174;178;167;183;182;12,50884392;13,53032659;12,98322392;11,79378531;12,46594005;11,9266055;6183;1112;1193;1249;1285;1344;87,49115608;86,46967341;87,01677608;88,20621469;87,53405995;88,0733945
