bydel_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2014
030101;20,6;22,5;41,1;35,5;14,8
030102;18,5;25,6;37,7;32,7;13,5
030103;15,3;19,8;37,2;30,3;11,9
030104;17,4;22,0;39,0;30,0;14,2
030105;13,8;16,6;30,0;22,0;11,6
030106;6,7;14,7;25,5;19,0;4,8
030107;7,7;18,7;31,8;23,8;5,4
030108;8,5;21,8;39,3;30,0;5,6
030109;16,6;26,8;33,0;31,4;10,6
030110;16,9;23,7;27,9;27,2;12,1
030111;18,7;23,3;30,6;29,5;13,3
030112;16,1;18,0;26,0;24,7;11,8
030113;9,2;17,0;26,9;23,8;6,3
030114;7,5;17,9;30,4;23,9;5,3
030115;18,4;22,8;28,9;27,7;13,7
030116;29,7;31,0;49,4;39,4;20,9
030117;9,2;30,6;:;28,1;7,5
030199;30,5;:;56,6;53,0;18,9
