kommune_nr;bosatt_2014;anmodning_2014;vedtak_2014
1636;11;10;10
1638;20;30;20
1640;16;15;5
1644;.;10;0
1648;8;15;8
1653;7;35;15
1657;7;20;6
1662;9;15;10
1663;7;30;15
1664;10;10;10
1665;9;10;10
1702;34;45;35
1703;41;40;40
1711;13;15;10
1714;50;45;45
1717;10;10;10
1718;6;10;10
1719;48;45;45
1721;35;35;35
1724;10;10;10
1725;.;10;0
1736;11;10;10
1738;14;10;10
1739;.;10;0
1740;.;10;0
1742;15;15;15
1743;.;10;0
1744;9;10;10
1748;.;10;0
1749;.;10;0
1750;16;15;15
1751;18;20;20
1755;.;10;0
1756;13;20;13
1804;78;90;90
1805;36;40;40
1811;.;10;0
1812;8;15;10
1813;25;30;20
1815;.;15;.
1816;10;10;7
1818;.;10;0
1820;29;35;30
1822;20;20;20
1824;26;30;30
1825;.;15;.
1826;8;15;15
1827;.;10;0
1828;20;20;20
1832;.;10;.
1833;33;50;50
1834;.;15;.
1835;.;10;.
1836;.;15;0
1837;17;15;15
1838;7;15;15
1839;6;10;5
1840;14;20;15
1841;23;25;30
1845;.;10;.
1848;9;10;10
1849;21;20;16
1850;.;15;.
1851;9;15;10
1852;.;15;.
1853;15;15;15
1854;13;15;10
1856;.;10;.
1857;.;10;.
1859;.;15;.
1860;40;40;42
1865;45;40;50
1866;17;25;15
1867;17;15;15
1868;1;15;.
1870;31;35;25
1871;20;30;30
1874;.;15;0
1902;112;120;120
1903;60;70;60
1911;6;10;5
1913;7;10;10
1917;5;15;2
1919;5;10;6
1920;4;15;15
1922;11;15;15
1923;22;20;20
1924;12;20;10
1925;12;20;18
1926;.;15;.
1927;21;15;15
1928;10;10;10
1929;10;10;10
1931;27;40;40
1933;.;20;20
1936;.;10;0
1938;.;15;0
1939;1;10;2
1940;.;10;10
1941;5;10;10
1942;11;20;10
1943;.;15;.
2002;.;20;.
2003;93;90;90
2004;34;30;32
2011;.;20;0
2012;40;40;40
2014;.;15;.
2015;.;15;0
2017;.;10;0
2018;.;15;0
2019;12;10;10
2020;13;20;15
2021;.;20;0
2022;.;15;.
2023;.;15;.
2024;.;15;0
2025;14;15;15
2027;11;10;10
2028;.;10;0
2030;34;40;30
9999;65;.;.
