naringsregion_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2014
01;11,7;24,5;45,4;35,7;9,3
02;10,0;22,0;34,1;28,0;7,8
03;9,1;22,1;33,4;28,0;6,6
04;11,2;22,3;41,7;34,5;8,2
05;6,7;17,8;25,4;21,4;4,2
06;6,7;16,1;25,9;20,7;5,0
07;7,1;19,0;22,6;21,1;4,7
08;7,2;18,3;24,0;20,9;5,5
09;13,9;20,6;32,0;28,1;9,9
10;10,1;26,1;47,4;34,0;8,4
11;11,0;23,2;40,2;31,5;9,7
12;9,2;23,5;42,6;33,1;7,3
13;10,9;29,9;45,9;37,6;9,0
14;9,6;22,9;40,8;32,5;7,9
15;8,2;24,5;41,4;33,0;6,3
16;9,8;22,6;43,6;33,8;7,8
17;10,8;29,2;58,8;38,6;9,1
18;9,8;32,0;49,9;39,7;8,4
19;11,1;34,3;45,4;37,8;9,1
20;9,2;19,2;31,5;25,9;6,4
21;9,6;23,0;38,8;27,6;7,5
22;7,2;18,1;30,1;23,9;5,3
23;9,3;27,6;41,7;33,0;7,4
24;9,7;23,4;32,5;27,7;7,7
25;9,1;23,6;35,7;29,2;7,1
26;10,4;23,7;37,1;30,7;8,1
27;10,2;23,6;43,0;35,3;7,7
28;12,6;32,7;52,3;42,1;10,0
29;10,4;26,4;48,3;37,2;8,2
30;8,5;27,5;35,0;29,5;7,0
31;9,7;24,6;49,2;37,5;6,9
32;9,8;24,9;40,3;32,0;7,6
33;7,7;20,0;34,7;26,2;6,2
34;9,2;21,9;42,4;31,0;7,3
35;9,4;18,0;33,7;27,6;7,2
36;5,6;10,5;24,0;16,2;4,7
37;8,0;23,0;32,3;27,0;6,1
38;6,2;15,3;30,3;20,5;4,8
39;5,8;12,5;21,7;16,9;4,1
40;9,3;19,1;31,4;25,6;7,2
41;6,2;18,4;20,1;19,0;5,1
42;6,7;16,6;29,1;21,3;5,6
43;7,7;20,4;42,0;29,7;6,4
44;5,8;17,5;21,7;18,9;4,9
45;7,2;18,5;26,8;20,6;6,3
46;6,6;19,1;32,1;24,0;5,2
47;5,3;16,0;26,3;20,2;4,2
48;7,9;21,0;16,4;19,9;7,2
49;7,9;19,3;35,7;24,3;6,4
50;6,8;19,7;33,3;24,2;5,6
51;6,4;16,3;31,7;23,1;5,1
52;8,2;24,2;34,8;28,7;6,7
53;6,7;19,3;26,8;22,1;5,4
54;7,0;16,5;21,7;17,9;5,7
55;7,2;15,7;31,5;21,8;5,9
56;7,1;19,5;25,6;21,8;5,6
57;8,7;25,7;24,0;25,1;8,0
58;9,0;16,5;15,5;16,3;7,8
59;8,7;23,4;42,8;30,6;7,5
60;7,8;27,0;35,8;31,5;6,5
61;9,1;18,6;33,6;27,1;7,5
62;7,3;21,6;31,1;24,9;6,4
63;7,8;25,5;39,4;33,7;6,3
64;8,5;23,7;48,4;36,7;7,1
65;8,6;16,9;56,1;30,7;7,5
66;7,7;26,3;36,9;30,6;6,3
67;8,1;23,1;47,8;35,7;6,6
68;9,4;20,9;42,3;32,3;8,3
69;8,7;25,4;45,5;36,5;6,7
70;9,3;17,9;:;16,8;8,9
71;7,0;18,8;38,3;29,2;6,0
72;7,1;20,5;42,6;31,8;5,9
73;6,8;19,4;33,8;27,1;5,6
74;7,6;23,0;38,9;31,1;5,9
75;9,5;25,3;39,9;31,9;7,7
76;9,8;28,3;41,5;35,7;8,0
77;7,8;17,1;45,1;33,8;6,0
78;7,1;17,8;39,1;28,1;6,0
79;7,7;20,3;28,7;24,2;6,3
80;8,3;17,8;32,9;24,1;7,5
81;6,3;14,5;25,3;19,7;5,1
82;10,1;17,1;17,4;17,2;9,7
83;7,6;22,1;29,1;26,0;5,2
