kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0101 Halden;101;Halden;12788516;8195800;1495000;6700800;0;3756500;676316;68700;0;91200
0104 Moss;104;Moss;42105918;25694200;6368000;19326200;1169935;12030300;2334383;114500;295200;467400
0105 Sarpsborg;105;Sarpsborg;51798462;38218000;12615000;25603000;605000;10627500;1468762;198400;0;680800
0106 Fredrikstad;106;Fredrikstad;60230491;38240700;9031500;29209200;614600;17436300;2737991;136300;585800;478800
0111 Hvaler;111;Hvaler;11410999;6515300;2989500;3525800;0;1249600;3555099;45800;0;45200
0118 Aremark;118;Aremark;1375800;653600;0;653600;0;710800;0;0;0;11400
0119 Marker;119;Marker;2804500;1534000;210000;1324000;0;1236300;0;0;0;34200
0121 Rømskog;121;Rømskog;0;0;0;0;0;0;0;0;0;0
0122 Trøgstad;122;Trøgstad;7358200;4324000;1505000;2819000;800100;1249400;916300;0;0;68400
0123 Spydeberg;123;Spydeberg;6748400;4914800;1440000;3474800;0;1822200;0;0;0;11400
0124 Askim;124;Askim;13248800;7386200;1720000;5666200;0;4588800;785400;0;442800;45600
0125 Eidsberg;125;Eidsberg;10826200;7063000;2130000;4933000;0;3484000;130900;22900;0;125400
0127 Skiptvet;127;Skiptvet;5587345;3403900;739500;2664400;147605;1259000;675640;21800;0;79400
0128 Rakkestad;128;Rakkestad;4384200;2320000;1000000;1320000;0;1460600;523600;45800;0;34200
0135 Råde;135;Råde;7053915;5273400;310000;4963400;27815;1650000;0;22900;0;79800
0136 Rygge;136;Rygge;6563204;2167200;330000;1837200;761191;1978100;1656713;0;0;0
0137 Våler (Østfold);137;Våler (Østf.);2016500;0;0;0;0;2016500;0;0;0;0
0138 Hobøl;138;Hobøl;4200100;475000;475000;0;0;3702200;0;22900;0;0
0211 Vestby;211;Vestby;19323750;12007100;4666500;7340600;0;6021800;1112650;45800;0;136400
0213 Ski;213;Ski;35342040;27733300;10244500;17488800;0;6376100;675640;91600;0;465400
0214 Ås;214;Ås;20890300;12592200;5443000;7149200;340000;6826100;916300;68700;0;147000
0215 Frogn;215;Frogn;18227229;10070800;4105000;5965800;2729537;3826500;1428992;91600;0;79800
0216 Nesodden;216;Nesodden;17124668;10951600;1578000;9373600;993618;3075800;1767150;86100;0;250400
0217 Oppegård;217;Oppegård;29129700;23075400;4116500;18958900;0;3880200;1570800;91600;0;511700
0219 Bærum;219;Bærum;125568808;78871300;25679000;53192300;11466102;25192100;7895306;272600;438200;1433200
0220 Asker;220;Asker;56887308;36505000;7907000;28598000;1024044;12794700;5847364;113400;147600;455200
0221 Aurskog Høland;221;Aurskog-Høland;10225448;6981200;2360000;4621200;623848;2437700;0;68700;0;114000
0226 Sørum;226;Sørum;10429100;7496200;1480000;6016200;0;2750300;0;45800;0;136800
0227 Fet;227;Fet;9294200;6827400;3454000;3373400;0;2321300;0;66500;0;79000
0228 Rælingen;228;Rælingen;19415900;13646000;2675000;10971000;0;4722300;785400;0;0;262200
0229 Enebakk;229;Enebakk;7350325;4621500;1245000;3376500;0;2417000;163625;0;0;148200
0230 Lørenskog;230;Lørenskog;29294342;17620100;5131500;12488600;0;8201200;3301842;45800;0;125400
0231 Skedsmo;231;Skedsmo;70570257;47482500;15283500;32199000;4374965;15147600;2476192;229000;143000;717000
0233 Nittedal;233;Nittedal;11467525;8356300;3756500;4599800;0;2896900;32725;67600;0;114000
0234 Gjerdrum;234;Gjerdrum;4882100;3374000;1380000;1994000;0;1360900;0;45800;0;101400
0235 Ullensaker;235;Ullensaker;16196299;8549100;2642500;5906600;0;5872800;1502299;44700;147600;79800
0236 Nes (Akershus);236;Nes (Ak.);20444675;14146000;3785000;10361000;0;4179200;1799875;91600;0;228000
0237 Eidsvoll;237;Eidsvoll;10469900;5876200;0;5876200;400000;3942900;0;0;0;250800
0238 Nannestad;238;Nannestad;8084500;5370400;1166000;4204400;0;2555300;0;0;0;158800
0239 Hurdal;239;Hurdal;1704900;725000;165000;560000;0;849000;130900;0;0;0
0301 Oslo;301;Oslo kommune;689577091;427991800;122889850;305101950;9494093;212375900;30896098;1660700;1914200;5244300
0402 Kongsvinger;402;Kongsvinger;23965106;13172900;2355500;10817400;4326006;6040200;130900;44700;0;250400
0403 Hamar;403;Hamar;48099572;32224200;10182500;22041700;3374348;9145700;2650724;181000;0;523600
0412 Ringsaker;412;Ringsaker;25783810;17182300;4731500;12450800;0;6731500;1209810;91600;147600;421000
0415 Løten;415;Løten;11705602;9000400;3043000;5957400;555502;1588400;130900;111200;0;319200
0417 Stange;417;Stange;31055985;24017100;6954500;17062600;1239985;4306900;1047200;45800;0;399000
0418 Nord-Odal;418;Nord-Odal;1671250;815550;215000;600550;0;821500;0;0;0;34200
0419 Sør-Odal;419;Sør-Odal;6188700;4650800;2260000;2390800;0;1470400;0;44700;0;22800
0420 Eidskog;420;Eidskog;5693400;3803600;835000;2968600;490000;1320000;0;0;0;79800
0423 Grue;423;Grue;6297750;4337600;330000;4007600;0;1137600;719950;0;0;102600
0425 Åsnes;425;Åsnes;17343580;8841300;2212500;6628800;0;7949600;304080;21800;0;226800
0426 Våler (Hedm.);426;Våler (Hedm.);4838400;0;0;0;0;4838400;0;0;0;0
0427 Elverum;427;Elverum;36022691;26233900;8099500;18134400;1027425;4794100;3228866;248600;0;489800
0428 Trysil;428;Trysil;11449492;8648000;2655000;5993000;0;2009700;643592;0;0;148200
0429 Åmot;429;Åmot;2495675;935000;545000;390000;0;808000;752675;0;0;0
0430 Stor-Elvdal;430;Stor-Elvdal;11621800;4315900;1501500;2814400;0;7238300;0;0;0;67600
