kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0237 Eidsvoll;237;Eidsvoll;10652810;10328000;3505500;6822500;0;0;31710;0;0;293100
0238 Nannestad;238;Nannestad;3445710;3326000;0;3326000;0;0;31710;0;0;88000
0239 Hurdal;239;Hurdal;1401040;640000;0;640000;0;0;761040;0;0;0
0301 Oslo;301;Oslo kommune;171372286;452681750;127852400;0;4996597;0;29245289;1582400;1976500;5719100
0402 Kongsvinger;402;Kongsvinger;16646820;13771000;2986000;10785000;2046900;0;380520;41400;143000;264000
0403 Hamar;403;Hamar;36636335;29591500;5741500;23850000;3342829;0;2948106;192900;0;561000
0412 Ringsaker;412;Ringsaker;18075560;15951000;3924500;12026500;0;0;1564360;87200;143000;330000
0415 Løten;415;Løten;8155110;6885000;501500;6383500;923470;0;126840;21800;0;198000
0417 Stange;417;Stange;25485808;21303000;5058500;16244500;2593848;0;1141560;128600;0;318800
0418 Nord-Odal;418;Nord-Odal;1190340;1041500;210000;831500;0;0;126840;0;0;22000
0419 Sør-Odal;419;Sør-Odal;2835800;2814000;868000;1946000;0;0;0;21800;0;0
0420 Eidskog;420;Eidskog;5009500;4505500;345000;4160500;460000;0;0;0;0;44000
0423 Grue;423;Grue;6025340;5176500;1516500;3660000;0;0;761040;21800;0;66000
0425 Åsnes;425;Åsnes;6558600;6372000;1138000;5234000;0;0;0;43600;0;143000
0426 Våler (Hedm.);426;Våler (Hedm.);0;0;0;0;0;0;0;0;0;0
0427 Elverum;427;Elverum;25990670;21730500;3761500;17969000;410920;0;3223850;174400;0;451000
0428 Trysil;428;Trysil;8890008;8188000;1791500;6396500;0;0;548408;43600;0;110000
0429 Åmot;429;Åmot;1127360;620000;0;620000;0;0;507360;0;0;0
0430 Stor-Elvdal;430;Stor-Elvdal;3871940;3602500;696500;2906000;0;0;126840;43600;0;99000
0432 Rendalen;432;Rendalen;0;0;0;0;0;0;0;0;0;0
0434 Engerdal;434;Engerdal;3350661;2410500;0;2410500;896161;0;0;0;0;44000
0436 Tolga;436;Tolga;3236800;3182000;711500;2470500;0;0;0;21800;0;33000
0437 Tynset;437;Tynset;10284179;7725500;1479000;6246500;599129;0;1849750;21800;0;88000
0438 Alvdal;438;Alvdal;3133500;3078500;0;3078500;0;0;0;0;0;55000
0439 Folldal;439;Folldal;1442000;1398000;0;1398000;0;0;0;0;0;44000
0441 Os (Hedm.);441;Os (Hedm.);3581490;2880000;0;2880000;0;0;602490;0;0;99000
0501 Lillehammer;501;Lillehammer;56745957;37016500;14674500;22342000;16513907;0;2166850;170000;138700;740000
0502 Gjøvik;502;Gjøvik;54439067;35021000;11380500;23640500;15204763;0;3245704;129700;138700;699200
0511 Dovre;511;Dovre;3130300;3086500;1316000;1770500;0;0;0;21800;0;22000
0512 Lesja;512;Lesja;0;0;0;0;0;0;0;0;0;0
0513 Skjåk;513;Skjåk;3739200;3643500;1041500;2602000;0;0;0;63200;0;32500
0514 Lom;514;Lom;4073000;3996000;156500;3839500;0;0;0;0;0;77000
0515 Vågå;515;Vågå;5392200;5294500;863000;4431500;0;0;0;20700;0;77000
0516 Nord-Fron;516;Nord-Fron;7465080;6391000;3009500;3381500;0;0;887880;87200;0;99000
0517 Sel;517;Sel;6756488;5167000;2471000;2696000;0;0;1436288;87200;0;66000
0519 Sør-Fron;519;Sør-Fron;1074000;1063000;210000;853000;0;0;0;0;0;11000
0520 Ringebu;520;Ringebu;3638500;3528500;1457500;2071000;0;0;0;0;0;110000
0521 Øyer;521;Øyer;11311890;10076500;2865500;7211000;800100;0;73990;21800;143000;196500
0522 Gausdal;522;Gausdal;2284500;2262500;360000;1902500;0;0;0;0;0;22000
0528 Østre Toten;528;Østre Toten;10030400;9545000;2250500;7294500;155400;0;0;0;143000;187000
0529 Vestre Toten;529;Vestre Toten;13584840;13052500;2576000;10476500;0;0;126840;42500;143000;220000
0532 Jevnaker;532;Jevnaker;2795840;2636000;630000;2006000;0;0;126840;0;0;33000
0533 Lunner;533;Lunner;18755520;17402000;6138000;11264000;0;0;1014720;64300;0;274500
0534 Gran;534;Gran;28023873;24959900;7021000;17938900;1057343;0;1469230;174400;0;363000
0536 Søndre Land;536;Søndre Land;3053800;3010000;1320000;1690000;0;0;0;21800;0;22000
0538 Nordre Land;538;Nordre Land;13202552;10224000;3998500;6225500;996706;0;1806546;21800;0;153500
0540 Sør-Aurdal;540;Sør-Aurdal;4219000;3702000;1409000;2293000;0;0;0;0;429000;88000
0541 Etnedal;541;Etnedal;2750340;2612500;1020000;1592500;0;0;126840;0;0;11000
0542 Nord-Aurdal;542;Nord-Aurdal;7107100;7019500;2668000;4351500;0;0;0;43600;0;44000
0543 Vestre Slidre;543;Vestre Slidre;4743860;4159500;0;4159500;0;0;507360;0;0;77000
0544 Øystre Slidre;544;Øystre Slidre;1760840;1623000;555000;1068000;0;0;126840;0;0;11000
0545 Vang;545;Vang;2388600;2279000;426500;1852500;0;0;0;43600;0;66000
0602 Drammen;602;Drammen;81845314;66895700;22583500;44312200;5859900;0;6773214;558000;572000;1186500
0604 Kongsberg;604;Kongsberg;23683144;20955000;5849000;15106000;597694;0;1638350;152600;0;339500
0605 Ringerike;605;Ringerike;19705190;18240500;3924000;14316500;352250;0;761040;65400;0;286000
0612 Hole;612;Hole;2199140;1984500;583000;1401500;0;0;126840;21800;0;66000
0615 Flå;615;Flå;533680;280000;0;280000;0;0;253680;0;0;0
0616 Nes (Busk.);616;Nes (Busk.);4025500;3992500;1836500;2156000;0;0;0;0;0;33000
0617 Gol;617;Gol;4819640;4550000;1824500;2725500;0;0;126840;21800;0;121000
0618 Hemsedal;618;Hemsedal;3596500;3519500;1213000;2306500;0;0;0;0;0;77000
0619 Ål;619;Ål;4385100;3630500;1824000;1806500;0;0;634200;65400;0;55000
0620 Hol;620;Hol;4826880;4529200;1139500;3389700;0;0;253680;0;0;44000
0621 Sigdal;621;Sigdal;2629541;2079000;820000;1259000;485541;0;0;0;0;65000
0622 Krødsherad;622;Krødsherad;582000;560000;0;560000;0;0;0;0;0;22000
0623 Modum;623;Modum;14236750;11935500;3718000;8217500;0;0;2061150;86100;0;154000
0624 Øvre Eiker;624;Øvre Eiker;15154286;13899500;4577000;9322500;0;0;664986;151500;143000;295300
0625 Nedre Eiker;625;Nedre Eiker;13727112;12563250;2582000;9981250;0;0;855862;0;143000;165000
0626 Lier;626;Lier;21613330;19520500;4887000;14633500;0;0;1786330;109000;0;197500
0627 Røyken;627;Røyken;10768920;10399000;891500;9507500;0;0;63420;0;0;306500
0628 Hurum;628;Hurum;14274042;12883000;2642500;10240500;0;0;1109542;85000;0;196500
0631 Flesberg;631;Flesberg;5931100;5781000;1536500;4244500;0;0;0;62100;0;88000
0632 Rollag;632;Rollag;2740000;2718000;840000;1878000;0;0;0;0;0;22000
0633 Nore og Uvdal;633;Nore og Uvdal;7136520;5192500;1381500;3811000;820000;0;1014720;21800;0;87500
0701 Horten;701;Horten;20230739;15656500;3857000;11799500;952423;0;3097416;150400;143000;231000
0702 Holmestrand;702;Holmestrand;10351060;6786000;2397500;4388500;2294200;0;1141560;64300;0;65000
0704 Tønsberg;704;Tønsberg;20836302;18318400;5443500;12874900;0;0;2145402;109000;0;263500
0706 Sandefjord;706;Sandefjord;20170171;17633000;4641500;12991500;499523;0;1520848;21800;0;495000
0709 Larvik;709;Larvik;38330946;30515500;7317000;23198500;2497234;0;4627812;107900;0;582500
0711 Svelvik;711;Svelvik;931500;931500;0;931500;0;0;0;0;0;0
0713 Sande (Vestf.);713;Sande (Vestf.);8132278;7793000;2399500;5393500;-144264;0;263942;43600;0;176000
0714 Hof;714;Hof;0;0;0;0;0;0;0;0;0;0
0716 Re;716;Re (f.o.m. 2002);5935800;5848000;1904500;3943500;0;0;0;21800;0;66000
0719 Andebu;719;Andebu;2375040;1614000;0;1614000;0;0;761040;0;0;0
0720 Stokke;720;Stokke;15255360;13316500;4342500;8974000;0;0;1141560;152600;424700;220000
0722 Nøtterøy;722;Nøtterøy;15783267;12173000;4703500;7469500;910415;0;2515352;42500;0;142000
0723 Tjøme;723;Tjøme;3976000;3899000;570000;3329000;0;0;0;0;0;77000
0728 Lardal;728;Lardal;1826300;1716500;696500;1020000;0;0;0;21800;0;88000
0805 Porsgrunn;805;Porsgrunn;22225978;19301000;3624000;15677000;800100;0;1721678;63200;143000;197000
0806 Skien;806;Skien;90437737;75179500;18915000;56264500;5682527;0;8104110;239800;143000;1088800
0807 Notodden;807;Notodden;22076364;18892200;7676500;11215700;776800;0;2102764;43600;0;261000
0811 Siljan;811;Siljan;5704100;5462500;2197000;3265500;0;0;0;43600;0;198000
0814 Bamble;814;Bamble;27588875;23207188;6239000;16968188;1163900;0;2833887;65400;0;318500
0815 Kragerø;815;Kragerø;27349216;23384500;7289500;16095000;1083356;0;2409960;174400;0;297000
0817 Drangedal;817;Drangedal;6724800;6604000;793000;5811000;0;0;0;21800;0;99000
0819 Nome;819;Nome;9062700;7287000;2524000;4763000;1589200;0;0;0;0;186500
0821 Bø (Telemark);821;Bø (Telem.);12984386;9310500;1816000;7494500;150900;0;3413186;21800;0;88000
0822 Sauherad;822;Sauherad;15577581;10234000;2593000;7641000;3144981;0;1902600;109000;0;187000
0826 Tinn;826;Tinn;6125200;4813000;961000;3852000;0;0;1268400;21800;0;22000
0827 Hjartdal;827;Hjartdal;0;0;0;0;0;0;0;0;0;0
0828 Seljord;828;Seljord;6021061;5226500;1090000;4136500;718061;0;0;0;0;76500
0829 Kviteseid;829;Kviteseid;0;0;0;0;0;0;0;0;0;0
0830 Nissedal;830;Nissedal;0;0;0;0;0;0;0;0;0;0
0831 Fyresdal;831;Fyresdal;5225500;5020000;1798000;3222000;0;0;0;42500;0;163000
0833 Tokke;833;Tokke;0;0;0;0;0;0;0;0;0;0
0834 Vinje;834;Vinje;3502840;3332000;1260000;2072000;0;0;126840;0;0;44000
0901 Risør;901;Risør;13885071;10999000;3221500;7777500;836941;0;1786330;130800;0;132000
0904 Grimstad;904;Grimstad;31775490;24906000;6876000;18030000;3386100;0;2822190;85000;138700;437500
0906 Arendal;906;Arendal;56671567;45770000;13438000;32332000;3876127;0;5623240;172200;429000;801000
0911 Gjerstad;911;Gjerstad;9421020;7771500;2461000;5310500;800100;0;380520;83900;286000;99000
0912 Vegårshei;912;Vegårshei;1367000;1290000;0;1290000;0;0;0;0;0;77000
0914 Tvedestrand;914;Tvedestrand;6176500;6088500;1321500;4767000;0;0;0;11000;0;77000
0919 Froland;919;Froland;2623600;2325000;1635500;689500;0;0;211400;87200;0;0
0926 Lillesand;926;Lillesand;12175900;10471500;3586000;6885500;776800;0;634200;41400;0;252000
0928 Birkenes;928;Birkenes;4530700;4444000;593000;3851000;0;0;0;20700;0;66000
0929 Åmli;929;Åmli;2349800;2119000;1009500;1109500;0;0;0;21800;143000;66000
0935 Iveland;935;Iveland;2591600;2471000;1031000;1440000;0;0;0;43600;0;77000
0937 Evje og Hornnes;937;Evje og Hornnes;6409900;5031500;270000;4761500;0;0;1268400;0;0;110000
0938 Bygland;938;Bygland;0;0;0;0;0;0;0;0;0;0
0940 Valle;940;Valle;4214040;3934500;700000;3234500;0;0;126840;20700;0;132000
0941 Bykle;941;Bykle;793500;782500;0;782500;0;0;0;0;0;11000
1001 Kristiansand;1001;Kristiansand;112496497;93835000;20079500;73755500;4415113;0;11963084;348800;429000;1505500
1002 Mandal;1002;Mandal;25139057;20615000;6013500;14601500;2353543;0;1633114;65400;0;472000
1003 Farsund;1003;Farsund;9504710;8933500;3272000;5661500;0;0;243110;86100;0;242000
1004 Flekkefjord;1004;Flekkefjord;20511124;12684900;4371500;8313400;6572454;0;558670;85000;269400;340700
1014 Vennesla;1014;Vennesla;12147600;11450000;3097000;8353000;401000;0;0;43600;0;253000
1017 Songdalen;1017;Songdalen;10012800;9771000;2833500;6937500;0;0;0;21800;0;220000
1018 Søgne;1018;Søgne;15578510;13779500;5038000;8741500;820070;0;761040;107900;0;110000
1021 Marnardal;1021;Marnardal;3433640;3219000;426500;2792500;0;0;126840;21800;0;66000
1026 Åseral;1026;Åseral;1730000;1675000;0;1675000;0;0;0;0;0;55000
1027 Audnedal;1027;Audnedal;0;0;0;0;0;0;0;0;0;0
1029 Lindesnes;1029;Lindesnes;6448560;5201000;874500;4326500;978120;0;126840;43600;0;99000
1032 Lyngdal;1032;Lyngdal;12474490;10780500;2850500;7930000;0;0;1342390;43600;0;308000
1034 Hægebostad;1034;Hægebostad;3110000;3077000;313000;2764000;0;0;0;0;0;33000
1037 Kvinesdal;1037;Kvinesdal;7996080;6955500;1881000;5074500;0;0;887880;20700;0;132000
1046 Sirdal;1046;Sirdal;1683000;1650000;1050000;600000;0;0;0;0;0;33000
1101 Eigersund;1101;Eigersund;15439022;13719000;4214000;9505000;0;0;1468922;86100;0;165000
1102 Sandnes;1102;Sandnes;48158686;42018400;10747000;31271400;1297000;0;3683386;301900;286000;572000
1103 Stavanger;1103;Stavanger;78949717;65276750;19000500;46276250;5722495;0;6509272;366200;143000;932000
1106 Haugesund;1106;Haugesund;32768426;29839500;7782000;22057500;2020396;0;306530;151500;0;450500
1111 Sokndal;1111;Sokndal;0;0;0;0;0;0;0;0;0;0
1112 Lund;1112;Lund;5387480;5036500;1472500;3564000;0;0;253680;64300;0;33000
1114 Bjerkreim;1114;Bjerkreim;156500;156500;0;156500;0;0;0;0;0;0
1119 Hå;1119;Hå;5518400;5312000;2341000;2971000;0;0;0;107900;0;98500
1120 Klepp;1120;Klepp;12669270;11623000;3109500;8513500;391350;0;380520;65400;0;209000
1121 Time;1121;Time;16443800;15982000;3572500;12409500;0;0;0;21800;0;440000
1122 Gjesdal;1122;Gjesdal;11412220;10715000;3612500;7102500;0;0;380520;109000;0;207700
1124 Sola;1124;Sola;9763680;9389000;2368500;7020500;0;0;253680;0;0;121000
1127 Randaberg;1127;Randaberg;15721510;13862500;4423000;9439500;0;0;1617210;21800;0;220000
1129 Forsand;1129;Forsand;0;0;0;0;0;0;0;0;0;0
1130 Strand;1130;Strand;13297370;11898750;3602500;8296250;892340;0;253680;43600;0;209000
1133 Hjelmeland;1133;Hjelmeland;5102340;4865500;1564500;3301000;0;0;126840;0;0;110000
1134 Suldal;1134;Suldal;15326075;9845000;3570000;6275000;5120525;0;178150;41400;0;141000
1135 Sauda;1135;Sauda;13115890;12538250;4858000;7680250;0;0;126840;234300;0;216500
1141 Finnøy;1141;Finnøy;126840;0;0;0;0;0;126840;0;0;0
1142 Rennesøy;1142;Rennesøy;5392300;4441000;2076000;2365000;0;0;951300;0;0;0
1144 Kvitsøy;1144;Kvitsøy;0;0;0;0;0;0;0;0;0;0
1145 Bokn;1145;Bokn;0;0;0;0;0;0;0;0;0;0
1146 Tysvær;1146;Tysvær;13450820;11215000;3108000;8107000;1470700;0;380520;43600;143000;198000
1149 Karmøy;1149;Karmøy;28494994;25627000;9842500;15784500;1474754;0;761040;214700;0;417500
1151 Utsira;1151;Utsira;0;0;0;0;0;0;0;0;0;0
1160 Vindafjord;1160;Vindafjord;8027900;7654500;3463500;4191000;0;0;0;65400;143000;165000
1201 Bergen;1201;Bergen;227756813;207270775;65447875;141822900;768770;0;15137168;756400;286000;3537700
1211 Etne;1211;Etne;0;0;0;0;0;0;0;0;0;0
1216 Sveio;1216;Sveio;7654600;7446000;1789500;5656500;0;0;0;43600;0;165000
1219 Bømlo;1219;Bømlo;18660058;16920500;4135000;12785500;0;0;1235458;43600;0;460500
1221 Stord;1221;Stord;9426740;8875500;2427500;6448000;150900;0;126840;109000;0;164500
1222 Fitjar;1222;Fitjar;0;0;0;0;0;0;0;0;0;0
1223 Tysnes;1223;Tysnes;0;0;0;0;0;0;0;0;0;0
1224 Kvinnherad;1224;Kvinnherad;11501740;10433500;3373000;7060500;0;0;761040;87200;0;220000
1227 Jondal;1227;Jondal;0;0;0;0;0;0;0;0;0;0
1228 Odda;1228;Odda;87500;87500;0;87500;0;0;0;0;0;0
