kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0101 Halden;101;Halden;15282886;10902800;3302000;7600800;731586;2937800;710700;0;0;0
0104 Moss;104;Moss;39699721;26592000;6732000;19860000;840221;9601700;2595600;70200;0;0
0105 Sarpsborg;105;Sarpsborg;53856850;42959450;16273000;26686450;430100;8748500;1305100;209100;147600;57000
0106 Fredrikstad;106;Fredrikstad;57761083;39261300;8683000;30578300;0;13367400;4740483;70200;299800;21900
0111 Hvaler;111;Hvaler;14062720;7230600;2305000;4925600;1194970;1195100;4372350;69700;0;0
0118 Aremark;118;Aremark;352200;0;0;0;0;352200;0;0;0;0
0119 Marker;119;Marker;2832500;1924000;981000;943000;0;861700;0;46800;0;0
0121 Rømskog;121;Rømskog;211900;0;0;0;0;211900;0;0;0;0
0122 Trøgstad;122;Trøgstad;6445800;3193000;0;3193000;825700;1314700;1112400;0;0;0
0123 Spydeberg;123;Spydeberg;10657700;6959600;2961000;3998600;0;3674700;0;23400;0;0
0124 Askim;124;Askim;11238760;6770900;1860000;4910900;3210;3425900;992450;46300;0;0
0125 Eidsberg;125;Eidsberg;10943650;8259700;2835000;5424700;0;2614200;46350;23400;0;0
0127 Skiptvet;127;Skiptvet;3727800;1860800;0;1860800;0;940000;927000;0;0;0
0128 Rakkestad;128;Rakkestad;4460000;2635650;900000;1735650;0;1407200;417150;0;0;0
0135 Råde;135;Råde;5522400;4399800;756000;3643800;0;1122600;0;0;0;0
0136 Rygge;136;Rygge;9080407;4585400;2425000;2160400;772691;1800300;1875816;23400;0;22800
0137 Våler (Østfold);137;Våler (Østf.);3910500;1643000;1243000;400000;0;2244600;0;22900;0;0
0138 Hobøl;138;Hobøl;4388900;680000;0;680000;0;3708900;0;0;0;0
0211 Vestby;211;Vestby;20616450;13745800;4169000;9576800;0;5758800;1066050;45800;0;0
0213 Ski;213;Ski;34356500;28813600;9557000;19256600;0;4684300;741600;117000;0;0
0214 Ås;214;Ås;19192600;11357000;2058000;9299000;0;7256000;556200;23400;0;0
0215 Frogn;215;Frogn;15487700;10633600;2208000;8425600;0;2675200;2132100;46800;0;0
0216 Nesodden;216;Nesodden;20108950;14514400;4845000;9669400;1502250;2320300;1668600;69200;0;34200
0217 Oppegård;217;Oppegård;35866550;29553800;10282000;19271800;330200;4084200;1548650;163300;152200;34200
0219 Bærum;219;Bærum;134069145;88454800;25819000;62635800;11981480;22010450;11098615;303200;152200;68400
0220 Asker;220;Asker;66045353;43341700;14014500;29327200;2492152;11477400;8437201;186200;0;110700
0221 Aurskog Høland;221;Aurskog-Høland;11683600;8526400;3153000;5373400;739800;2417400;0;0;0;0
0226 Sørum;226;Sørum;15536400;12320600;4492000;7828600;0;3077100;0;93100;0;45600
0227 Fet;227;Fet;7552700;5468800;615000;4853800;0;2083900;0;0;0;0
0228 Rælingen;228;Rælingen;19876300;15243000;5441000;9802000;0;3497500;1112400;23400;0;0
0229 Enebakk;229;Enebakk;7679600;5341000;1598000;3743000;0;2315200;0;23400;0;0
0230 Lørenskog;230;Lørenskog;35471350;21942200;7582000;14360200;0;8101050;5253000;22900;152200;0
0231 Skedsmo;231;Skedsmo;71392221;50079300;13549500;36529800;4183721;13417500;3244500;162800;304400;0
0233 Nittedal;233;Nittedal;14591702;10131000;3555000;6576000;784702;3467200;185400;23400;0;0
0234 Gjerdrum;234;Gjerdrum;4889200;3616000;1303000;2313000;0;1250300;0;22900;0;0
0235 Ullensaker;235;Ullensaker;19436400;11748200;4927000;6821200;0;6423800;927000;185200;152200;0
0236 Nes (Akershus);236;Nes (Ak.);25527567;18308000;5826000;12482000;0;3825700;3196367;163300;0;34200
0237 Eidsvoll;237;Eidsvoll;20961996;16345400;7663000;8682400;786496;3461000;0;115500;152200;101400
0238 Nannestad;238;Nannestad;8326300;6060800;1790000;4270800;0;2196800;0;68700;0;0
0239 Hurdal;239;Hurdal;1736800;956000;756000;200000;0;780800;0;0;0;0
0301 Oslo;301;Oslo kommune;649739586;443818600;125984000;317834600;9458095;159893300;32726791;1807400;1651200;384200
0402 Kongsvinger;402;Kongsvinger;25344484;11667600;4076000;7591600;1439484;12190600;0;46800;0;0
0403 Hamar;403;Hamar;47703982;31002000;6885000;24117000;4269274;8196000;4213308;23400;0;0
0412 Ringsaker;412;Ringsaker;29712108;19930600;6180000;13750600;355100;7161700;2019408;93100;152200;0
0415 Løten;415;Løten;10531062;8052400;1689000;6363400;278062;1945000;185400;70200;0;0
0417 Stange;417;Stange;42779526;28907900;9006000;19901900;3979276;8227000;1467750;186200;0;11400
0418 Nord-Odal;418;Nord-Odal;2987200;2005600;1593000;412600;0;888000;0;93600;0;0
0419 Sør-Odal;419;Sør-Odal;7442100;5773600;2058000;3715600;0;1492900;0;23400;152200;0
0420 Eidskog;420;Eidskog;4131900;3184600;1062000;2122600;0;900500;0;46800;0;0
0423 Grue;423;Grue;5723225;3563200;615000;2948200;0;818100;1330525;0;0;11400
0425 Åsnes;425;Åsnes;18128300;7444200;1285000;6159200;0;10290500;370800;0;0;22800
0426 Våler (Hedm.);426;Våler (Hedm.);1925800;0;0;0;0;1925800;0;0;0;0
0427 Elverum;427;Elverum;35850450;27813450;7172000;20641450;160000;3820100;3800700;92600;152200;11400
0428 Trysil;428;Trysil;11760300;9050000;2144000;6906000;0;1725600;927000;46300;0;11400
