kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0101 Halden;101;Halden;6015532;5563000;2590000;2973000;0;0;369432;62100;0;21000
0104 Moss;104;Moss;29715819;26066000;7322500;18743500;622000;0;2398019;62100;138700;429000
0105 Sarpsborg;105;Sarpsborg;46163744;41316500;14280000;27036500;2082448;0;1350996;124200;412100;877500
0106 Fredrikstad;106;Fredrikstad;46094634;40939400;8365000;32574400;2408080;0;1794654;82800;0;869700
0111 Hvaler;111;Hvaler;8005646;5070000;847500;4222500;0;0;2904146;0;0;31500
0118 Aremark;118;Aremark;610500;600000;0;600000;0;0;0;0;0;10500
0119 Marker;119;Marker;1353500;1343000;400000;943000;0;0;0;0;0;10500
0121 Rømskog;121;Rømskog;0;0;0;0;0;0;0;0;0;0
0122 Trøgstad;122;Trøgstad;5567668;3399000;600000;2799000;1510948;0;615720;0;0;42000
0123 Spydeberg;123;Spydeberg;3302144;3147500;730000;2417500;0;0;123144;0;0;31500
0124 Askim;124;Askim;7862028;7242500;1100000;6142500;0;0;451528;0;0;168000
0125 Eidsberg;125;Eidsberg;9071532;8503500;2675000;5828500;0;0;369432;41400;0;157200
0127 Skiptvet;127;Skiptvet;4082558;3349000;1080000;2269000;639958;0;0;0;0;93600
0128 Rakkestad;128;Rakkestad;5463364;4766500;0;4766500;-34356;0;615720;0;0;115500
0135 Råde;135;Råde;5813314;4395000;480000;3915000;1200970;0;123144;20700;0;73500
0136 Rygge;136;Rygge;3571752;2073500;600000;1473500;0;0;1498252;0;0;0
0137 Våler (Østfold);137;Våler (Østf.);80500;70000;0;70000;0;0;0;0;0;10500
0138 Hobøl;138;Hobøl;0;0;0;0;0;0;0;0;0;0
0211 Vestby;211;Vestby;8640460;8111000;2770000;5341000;-27896;0;389956;41400;0;126000
0213 Ski;213;Ski;25435501;22395625;8442500;13953125;1531000;0;1005676;62100;138700;302400
0214 Ås;214;Ås;10589240;9289675;2657500;6632175;570377;0;624188;0;0;105000
0215 Frogn;215;Frogn;12114440;10042900;3882500;6160400;1270105;0;665535;41400;0;94500
