kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
1742;;10;12;17;27;;18;15;;;100;120;100;158,8235294;;100;83,33333333;
1743;;10;10;12;5;;12;.;;;100;100;100;41,66666667;;100;.;
1744;;10;17;17;17;;18;.;;;100;170;100;100;;100;.;
1748;;10;0;10;.;;10;.;;;100;0;100;.;;100;.;
1749;;10;0;10;14;;10;12;;;100;0;100;140;;100;120;
1750;;15;10;20;20;;20;.;;;100;66,66666667;100;100;;100;.;
1751;;20;32;56;43;;56;.;;;100;160;100;76,78571429;;100;.;
1755;;10;.;10;10;;10;.;;;100;.;100;100;;100;.;
1756;;20;32;32;32;;32;.;;;100;160;100;100;;100;.;
1804;;90;112;140;140;;160;90;;;100;124,4444444;100;100;;100;56,25;
1805;;45;30;75;50;;100;.;;;100;66,66666667;100;66,66666667;;100;.;
1811;;10;0;20;15;;25;15;;;100;0;100;75;;100;60;
1812;;15;10;20;15;;25;15;;;100;66,66666667;100;75;;100;60;
1813;;30;20;50;35;;60;35;;;100;66,66666667;100;70;;100;58,33333333;
1815;;15;5;20;5;;25;5;;;100;33,33333333;100;25;;100;20;
1816;;10;7;20;10;;25;10;;;100;70;100;50;;100;40;
1818;;10;20;25;20;;30;15;;;100;200;100;80;;100;50;
1820;;35;38;60;40;;60;.;;;100;108,5714286;100;66,66666667;;100;.;
