"kommune_nr","aar","bosatt.anmodede","bosatt.vedtak","bosatt.bosatt"
1445,2015,15,"24","."
1449,2015,20,"32","."
1502,2015,60,"95","."
1504,2015,90,"90","."
1505,2015,50,"60","."
1511,2015,15,"11","."
1514,2015,10,"10","."
1515,2015,30,"20","."
1516,2015,20,"32","."
1517,2015,15,"13","."
1519,2015,30,"40","."
1520,2015,30,"15","."
1523,2015,10,"5","."
1524,2015,10,"5","."
1525,2015,17,"0","."
1526,2015,10,"0","."
1528,2015,20,"10","."
1529,2015,10,"5","."
1531,2015,25,"12","."
1532,2015,15,"20","."
1534,2015,30,"22","."
1535,2015,15,"10","."
1539,2015,15,"10","."
1543,2015,10,"10","."
1545,2015,10,"0","."
1546,2015,10,"0","."
1547,2015,15,"24","."
1548,2015,30,"15","."
1551,2015,10,".","."
1554,2015,15,"10","."
1557,2015,15,"10","."
1560,2015,10,"11","."
1563,2015,25,"40","."
1566,2015,15,"24","."
1567,2015,10,"10","."
1571,2015,17,"17","."
1573,2015,10,"13","."
1576,2015,10,"17","."
1601,2015,300,"450","."
1612,2015,10,"10","."
1613,2015,10,".","."
1617,2015,15,"10","."
1620,2015,15,"10","."
1621,2015,15,"4","."
1622,2015,10,"0","."
1624,2015,20,"18","."
1627,2015,15,"10","."
1630,2015,10,"12","."
1632,2015,10,"0","."
1633,2015,10,"10","."
1634,2015,20,"32","."
1635,2015,10,"17","."
1636,2015,10,"13","."
1638,2015,30,"40","."
1640,2015,15,"15","."
1644,2015,10,"14","."
1648,2015,15,"15","."
1653,2015,35,"51","."
1657,2015,20,"11","."
1662,2015,15,"18","."
1663,2015,30,"48","."
1664,2015,10,"14","."
1665,2015,10,"10","."
1702,2015,45,"50","."
1703,2015,40,"53","."
1711,2015,15,"17","."
1714,2015,45,"60","."
1717,2015,10,"10","."
1718,2015,10,"17","."
1719,2015,45,"60","."
1721,2015,35,"35","."
1724,2015,10,"17","."
1725,2015,10,".","."
1736,2015,10,"12","."
1738,2015,10,".","."
1739,2015,10,"0","."
1740,2015,10,"13","."
1742,2015,10,"12","."
1743,2015,10,"10","."
1744,2015,10,"17","."
1748,2015,10,"0","."
1749,2015,10,"0","."
1750,2015,15,"10","."
1751,2015,20,"32","."
1755,2015,10,".","."
1756,2015,20,"32","."
1804,2015,90,"112","."
1805,2015,45,"30","."
1811,2015,10,"0","."
1812,2015,15,"10","."
1813,2015,30,"20","."
1815,2015,15,"5","."
1816,2015,10,"7","."
1818,2015,10,"20","."
1820,2015,35,"38","."
1822,2015,20,"25","."
1824,2015,30,"38","."
1825,2015,15,"20","."
1826,2015,15,".","."
1827,2015,10,"17","."
1828,2015,20,"20","."
1832,2015,10,"10","."
1833,2015,50,"50","."
1834,2015,15,".","."
1835,2015,10,".","."
1836,2015,15,"0","."
1837,2015,15,"19","."
1838,2015,15,"15","."
1839,2015,10,"10","."
1840,2015,20,"20","."
1841,2015,30,"48","."
1845,2015,10,".","."
1848,2015,10,"10","."
1849,2015,20,"22","."
1850,2015,15,".","."
1851,2015,15,"10","."
1852,2015,15,".","."
1853,2015,15,"25","."
1854,2015,15,"20","."
1856,2015,10,".","."
1857,2015,10,".","."
1859,2015,15,".","."
1860,2015,40,"40","."
1865,2015,40,"63","."
1866,2015,25,"15","."
1867,2015,15,"25","."
1868,2015,15,"24","."
1870,2015,35,"35","."
1871,2015,30,"48","."
1874,2015,15,"0","."
1902,2015,195,"195","."
1903,2015,70,"83","."
1911,2015,20,"15","."
1913,2015,15,"15","."
1917,2015,15,"5","."
1919,2015,10,"10","."
1920,2015,15,"20","."
1922,2015,15,"19","."
1923,2015,20,"25","."
1924,2015,20,"10","."
1925,2015,20,"17","."
1926,2015,15,".","."
1927,2015,15,"15","."
1928,2015,10,"14","."
1929,2015,10,"10","."
1931,2015,45,"55","."
1933,2015,20,"20","."
1936,2015,10,"7","."
1938,2015,15,"0","."
1939,2015,10,"5","."
1940,2015,10,"10","."
1941,2015,10,"20","."
1942,2015,20,"25","."
1943,2015,15,".","."
2002,2015,20,".","."
2003,2015,90,"70","."
2004,2015,30,"48","."
2011,2015,20,"0","."
2012,2015,40,"50","."
2014,2015,15,".","."
2015,2015,15,"0","."
2017,2015,10,"12","."
2018,2015,15,"0","."
2019,2015,10,"10","."
2020,2015,20,"15","."
2021,2015,20,"10","."
2022,2015,15,".","."
2023,2015,15,".","."
2024,2015,15,"0","."
2025,2015,15,"15","."
2027,2015,10,"10","."
2028,2015,10,"14","."
2030,2015,40,"80","."
101,2016,70,"57","."
104,2016,80,"80","."
105,2016,130,"130","."
106,2016,180,"180","."
111,2016,30,"15","."
118,2016,20,"24","."
119,2016,15,"15","."
121,2016,10,"10","."
122,2016,15,"15","."
123,2016,30,".","."
124,2016,40,"30","."
125,2016,40,"36","."
127,2016,20,"5","."
128,2016,20,"20","."
135,2016,20,"20","."
136,2016,30,"30","."
137,2016,15,"12","."
138,2016,15,"10","."
211,2016,35,"25","."
213,2016,95,"76","."
214,2016,40,"23","."
215,2016,35,"35","."
216,2016,35,".","."
217,2016,75,"75","."
219,2016,280,"280","."
220,2016,135,"135","."
221,2016,35,"21","."
226,2016,35,"35","."
227,2016,25,"25","."
228,2016,40,"40","."
229,2016,25,".","."
230,2016,85,"75","."
231,2016,130,"100","."
233,2016,55,"55","."
234,2016,20,"14","."
235,2016,80,"25","."
236,2016,50,"15","."
237,2016,55,"20","."
238,2016,25,"20","."
239,2016,20,"20","."
301,2016,1000,"1000","."
402,2016,65,"25","."
403,2016,105,"75","."
