"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0123","asia","person","183"
"befolkning_verdensregion_9","2015","0123","afrika","person","82"
"befolkning_verdensregion_9","2015","0123","sor_og_mellom_amerika","person","14"
"befolkning_verdensregion_9","2015","0123","alle","person","601"
"befolkning_verdensregion_9","2015","0124","norden","person","222"
"befolkning_verdensregion_9","2015","0124","vest_europa","person","114"
"befolkning_verdensregion_9","2015","0124","eu_ost_europa","person","577"
"befolkning_verdensregion_9","2015","0124","ost_europa_ellers","person","361"
"befolkning_verdensregion_9","2015","0124","nord_amerika_oseania","person","16"
"befolkning_verdensregion_9","2015","0124","asia","person","869"
"befolkning_verdensregion_9","2015","0124","afrika","person","151"
"befolkning_verdensregion_9","2015","0124","sor_og_mellom_amerika","person","58"
"befolkning_verdensregion_9","2015","0124","alle","person","2368"
"befolkning_verdensregion_9","2015","0125","norden","person","126"
"befolkning_verdensregion_9","2015","0125","vest_europa","person","103"
"befolkning_verdensregion_9","2015","0125","eu_ost_europa","person","546"
"befolkning_verdensregion_9","2015","0125","ost_europa_ellers","person","206"
"befolkning_verdensregion_9","2015","0125","nord_amerika_oseania","person","8"
"befolkning_verdensregion_9","2015","0125","asia","person","320"
"befolkning_verdensregion_9","2015","0125","afrika","person","141"
"befolkning_verdensregion_9","2015","0125","sor_og_mellom_amerika","person","37"
"befolkning_verdensregion_9","2015","0125","alle","person","1487"
"befolkning_verdensregion_9","2015","0127","norden","person","35"
"befolkning_verdensregion_9","2015","0127","vest_europa","person","20"
"befolkning_verdensregion_9","2015","0127","eu_ost_europa","person","174"
"befolkning_verdensregion_9","2015","0127","ost_europa_ellers","person","26"
"befolkning_verdensregion_9","2015","0127","nord_amerika_oseania","person","6"
"befolkning_verdensregion_9","2015","0127","asia","person","60"
"befolkning_verdensregion_9","2015","0127","afrika","person","10"
"befolkning_verdensregion_9","2015","0127","sor_og_mellom_amerika","person","13"
"befolkning_verdensregion_9","2015","0127","alle","person","344"
"befolkning_verdensregion_9","2015","0128","norden","person","66"
"befolkning_verdensregion_9","2015","0128","vest_europa","person","47"
"befolkning_verdensregion_9","2015","0128","eu_ost_europa","person","349"
"befolkning_verdensregion_9","2015","0128","ost_europa_ellers","person","146"
"befolkning_verdensregion_9","2015","0128","nord_amerika_oseania","person","14"
"befolkning_verdensregion_9","2015","0128","asia","person","149"
"befolkning_verdensregion_9","2015","0128","afrika","person","85"
"befolkning_verdensregion_9","2015","0128","sor_og_mellom_amerika","person","10"
