"aar","kommune_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2015","0542","promille","bosatt_befolkning","bosatt_per_1000","3.557067739"
"2015","0543","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","0544","promille","bosatt_befolkning","bosatt_per_1000","5.314160675"
"2015","0545","promille","bosatt_befolkning","bosatt_per_1000","4.323656578"
"2015","0602","promille","bosatt_befolkning","bosatt_per_1000","2.596394891"
"2015","0604","promille","bosatt_befolkning","bosatt_per_1000","1.684699188"
"2015","0605","promille","bosatt_befolkning","bosatt_per_1000","2.187668282"
"2015","0612","promille","bosatt_befolkning","bosatt_per_1000","2.090176172"
"2015","0615","promille","bosatt_befolkning","bosatt_per_1000","13.55275895"
"2015","0616","promille","bosatt_befolkning","bosatt_per_1000","1.757469244"
"2015","0617","promille","bosatt_befolkning","bosatt_per_1000","3.705318221"
"2015","0618","promille","bosatt_befolkning","bosatt_per_1000","2.986348123"
"2015","0619","promille","bosatt_befolkning","bosatt_per_1000","2.968617472"
"2015","0620","promille","bosatt_befolkning","bosatt_per_1000","2.236636099"
"2015","0621","promille","bosatt_befolkning","bosatt_per_1000","4.829545455"
"2015","0622","promille","bosatt_befolkning","bosatt_per_1000","6.172839506"
"2015","0623","promille","bosatt_befolkning","bosatt_per_1000","1.899890391"
"2015","0624","promille","bosatt_befolkning","bosatt_per_1000","1.552192472"
"2015","0625","promille","bosatt_befolkning","bosatt_per_1000","1.945847479"
"2015","0626","promille","bosatt_befolkning","bosatt_per_1000","1.260934668"
"2015","0627","promille","bosatt_befolkning","bosatt_per_1000","1.521057135"
"2015","0628","promille","bosatt_befolkning","bosatt_per_1000","2.88307528"
"2015","0631","promille","bosatt_befolkning","bosatt_per_1000","4.492699364"
"2015","0632","promille","bosatt_befolkning","bosatt_per_1000","7.272727273"
"2015","0633","promille","bosatt_befolkning","bosatt_per_1000","5.509641873"
"2015","0701","promille","bosatt_befolkning","bosatt_per_1000","2.007211092"
"2015","0702","promille","bosatt_befolkning","bosatt_per_1000","1.782196792"
"2015","0704","promille","bosatt_befolkning","bosatt_per_1000","2.194656489"
"2015","0706","promille","bosatt_befolkning","bosatt_per_1000","1.70049248"
"2015","0709","promille","bosatt_befolkning","bosatt_per_1000","2.022709511"
"2015","0711","promille","bosatt_befolkning","bosatt_per_1000","1.817906378"
"2015","0713","promille","bosatt_befolkning","bosatt_per_1000","2.732539075"
"2015","0714","promille","bosatt_befolkning","bosatt_per_1000","0.963391137"
"2015","0716","promille","bosatt_befolkning","bosatt_per_1000","2.05338809"
"2015","0719","promille","bosatt_befolkning","bosatt_per_1000","2.559726962"
"2015","0720","promille","bosatt_befolkning","bosatt_per_1000","2.43351295"
"2015","0722","promille","bosatt_befolkning","bosatt_per_1000","2.467066983"
"2015","0723","promille","bosatt_befolkning","bosatt_per_1000","3.022974607"
"2015","0728","promille","bosatt_befolkning","bosatt_per_1000","5.278116119"
"2015","0805","promille","bosatt_befolkning","bosatt_per_1000","1.678086981"
"2015","0806","promille","bosatt_befolkning","bosatt_per_1000","1.451297795"
"2015","0807","promille","bosatt_befolkning","bosatt_per_1000","4.8416541"
"2015","0811","promille","bosatt_befolkning","bosatt_per_1000","4.235493435"
"2015","0814","promille","bosatt_befolkning","bosatt_per_1000","3.041018388"
"2015","0815","promille","bosatt_befolkning","bosatt_per_1000","4.606995111"
"2015","0817","promille","bosatt_befolkning","bosatt_per_1000","5.594745804"
"2015","0819","promille","bosatt_befolkning","bosatt_per_1000","3.619909502"
"2015","0821","promille","bosatt_befolkning","bosatt_per_1000","4.517316379"
"2015","0822","promille","bosatt_befolkning","bosatt_per_1000","8.053382421"
"2015","0826","promille","bosatt_befolkning","bosatt_per_1000","4.904447827"
"2015","0827","promille","bosatt_befolkning","bosatt_per_1000","11.2923463"
"2015","0828","promille","bosatt_befolkning","bosatt_per_1000","3.99733511"
"2015","0829","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","0830","promille","bosatt_befolkning","bosatt_per_1000","10.42390549"
"2015","0831","promille","bosatt_befolkning","bosatt_per_1000","14.63790447"
"2015","0833","promille","bosatt_befolkning","bosatt_per_1000","6.660746004"
"2015","0834","promille","bosatt_befolkning","bosatt_per_1000","2.981837896"
"2015","0901","promille","bosatt_befolkning","bosatt_per_1000","4.921117383"
"2015","0904","promille","bosatt_befolkning","bosatt_per_1000","3.122454521"
"2015","0906","promille","bosatt_befolkning","bosatt_per_1000","2.96252742"
"2015","0911","promille","bosatt_befolkning","bosatt_per_1000","1.209189843"
"2015","0912","promille","bosatt_befolkning","bosatt_per_1000","8.424182359"
"2015","0914","promille","bosatt_befolkning","bosatt_per_1000","1.653439153"
"2015","0919","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","0926","promille","bosatt_befolkning","bosatt_per_1000","3.288201161"
"2015","0928","promille","bosatt_befolkning","bosatt_per_1000","3.574975174"
"2015","0929","promille","bosatt_befolkning","bosatt_per_1000","7.641921397"
"2015","0935","promille","bosatt_befolkning","bosatt_per_1000","4.562737643"
"2015","0937","promille","bosatt_befolkning","bosatt_per_1000","1.682085786"
"2015","0938","promille","bosatt_befolkning","bosatt_per_1000","7.569386039"
"2015","0940","promille","bosatt_befolkning","bosatt_per_1000","5.595523581"
"2015","0941","promille","bosatt_befolkning","bosatt_per_1000","4.287245445"
"2015","1001","promille","bosatt_befolkning","bosatt_per_1000","2.538709604"
"2015","1002","promille","bosatt_befolkning","bosatt_per_1000","4.081103841"
"2015","1003","promille","bosatt_befolkning","bosatt_per_1000","5.002084202"
"2015","1004","promille","bosatt_befolkning","bosatt_per_1000","6.395412945"
"2015","1014","promille","bosatt_befolkning","bosatt_per_1000","3.547357219"
"2015","1017","promille","bosatt_befolkning","bosatt_per_1000","6.76739062"
"2015","1018","promille","bosatt_befolkning","bosatt_per_1000","0.891503967"
"2015","1021","promille","bosatt_befolkning","bosatt_per_1000","4.359197908"
"2015","1026","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1027","promille","bosatt_befolkning","bosatt_per_1000","6.857142857"
"2015","1029","promille","bosatt_befolkning","bosatt_per_1000","2.663934426"
"2015","1032","promille","bosatt_befolkning","bosatt_per_1000","6.23875225"
"2015","1034","promille","bosatt_befolkning","bosatt_per_1000","3.544004725"
"2015","1037","promille","bosatt_befolkning","bosatt_per_1000","5.548083389"
"2015","1046","promille","bosatt_befolkning","bosatt_per_1000","7.072905332"
"2015","1101","promille","bosatt_befolkning","bosatt_per_1000","2.949852507"
"2015","1102","promille","bosatt_befolkning","bosatt_per_1000","1.222427469"
"2015","1103","promille","bosatt_befolkning","bosatt_per_1000","0.984088053"
"2015","1106","promille","bosatt_befolkning","bosatt_per_1000","2.600032843"
"2015","1111","promille","bosatt_befolkning","bosatt_per_1000","2.719854941"
"2015","1112","promille","bosatt_befolkning","bosatt_per_1000","3.079765938"
"2015","1114","promille","bosatt_befolkning","bosatt_per_1000","1.398112548"
"2015","1119","promille","bosatt_befolkning","bosatt_per_1000","1.727115717"
"2015","1120","promille","bosatt_befolkning","bosatt_per_1000","1.654127314"
"2015","1121","promille","bosatt_befolkning","bosatt_per_1000","1.420299355"
"2015","1122","promille","bosatt_befolkning","bosatt_per_1000","2.844827586"
"2015","1124","promille","bosatt_befolkning","bosatt_per_1000","1.011358332"
"2015","1127","promille","bosatt_befolkning","bosatt_per_1000","3.220917014"
"2015","1129","promille","bosatt_befolkning","bosatt_per_1000","11.58940397"
"2015","1130","promille","bosatt_befolkning","bosatt_per_1000","3.065752319"
"2015","1133","promille","bosatt_befolkning","bosatt_per_1000","4.667863555"
"2015","1134","promille","bosatt_befolkning","bosatt_per_1000","6.166495375"
"2015","1135","promille","bosatt_befolkning","bosatt_per_1000","2.102607233"
"2015","1141","promille","bosatt_befolkning","bosatt_per_1000","4.130918335"
"2015","1142","promille","bosatt_befolkning","bosatt_per_1000","2.085940759"
"2015","1144","promille","bosatt_befolkning","bosatt_per_1000","3.745318352"
"2015","1145","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1146","promille","bosatt_befolkning","bosatt_per_1000","2.671087777"
"2015","1149","promille","bosatt_befolkning","bosatt_per_1000","0.879653844"
"2015","1151","promille","bosatt_befolkning","bosatt_per_1000","9.708737864"
"2015","1160","promille","bosatt_befolkning","bosatt_per_1000","2.395892755"
"2015","1201","promille","bosatt_befolkning","bosatt_per_1000","1.27584402"
"2015","1211","promille","bosatt_befolkning","bosatt_per_1000","2.924689252"
"2015","1216","promille","bosatt_befolkning","bosatt_per_1000","1.996732619"
"2015","1219","promille","bosatt_befolkning","bosatt_per_1000","2.380749936"
"2015","1221","promille","bosatt_befolkning","bosatt_per_1000","1.498528231"
"2015","1222","promille","bosatt_befolkning","bosatt_per_1000","5.819592629"
"2015","1223","promille","bosatt_befolkning","bosatt_per_1000","1.078360891"
"2015","1224","promille","bosatt_befolkning","bosatt_per_1000","1.435695935"
"2015","1227","promille","bosatt_befolkning","bosatt_per_1000","1.818181818"
"2015","1228","promille","bosatt_befolkning","bosatt_per_1000","3.164556962"
"2015","1231","promille","bosatt_befolkning","bosatt_per_1000","2.638522427"
"2015","1232","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1233","promille","bosatt_befolkning","bosatt_per_1000","5.420054201"
"2015","1234","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1235","promille","bosatt_befolkning","bosatt_per_1000","2.99714226"
"2015","1238","promille","bosatt_befolkning","bosatt_per_1000","2.107975173"
"2015","1241","promille","bosatt_befolkning","bosatt_per_1000","5.471599792"
"2015","1242","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1243","promille","bosatt_befolkning","bosatt_per_1000","0.837827931"
"2015","1244","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1245","promille","bosatt_befolkning","bosatt_per_1000","1.332938389"
"2015","1246","promille","bosatt_befolkning","bosatt_per_1000","2.579113276"
"2015","1247","promille","bosatt_befolkning","bosatt_per_1000","1.579438581"
"2015","1251","promille","bosatt_befolkning","bosatt_per_1000","3.90625"
