"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"34","vedtak","personer","2015","107","bosatt_anmodede"
"35","vedtak","personer","2015","383","bosatt_anmodede"
"36","vedtak","personer","2015","80","bosatt_anmodede"
"37","vedtak","personer","2015","206","bosatt_anmodede"
"38","vedtak","personer","2015","82","bosatt_anmodede"
"39","vedtak","personer","2015","423","bosatt_anmodede"
"40","vedtak","personer","2015","350","bosatt_anmodede"
"41","vedtak","personer","2015","25","bosatt_anmodede"
"42","vedtak","personer","2015","65","bosatt_anmodede"
"43","vedtak","personer","2015","48","bosatt_anmodede"
"44","vedtak","personer","2015","89","bosatt_anmodede"
"45","vedtak","personer","2015","30","bosatt_anmodede"
"46","vedtak","personer","2015","141","bosatt_anmodede"
"47","vedtak","personer","2015","124","bosatt_anmodede"
"48","vedtak","personer","2015","70","bosatt_anmodede"
"49","vedtak","personer","2015","115","bosatt_anmodede"
"50","vedtak","personer","2015","143","bosatt_anmodede"
"51","vedtak","personer","2015","146","bosatt_anmodede"
"52","vedtak","personer","2015","212","bosatt_anmodede"
"53","vedtak","personer","2015","164","bosatt_anmodede"
"54","vedtak","personer","2015","20","bosatt_anmodede"
"55","vedtak","personer","2015","141","bosatt_anmodede"
"56","vedtak","personer","2015","149","bosatt_anmodede"
"57","vedtak","personer","2015","71","bosatt_anmodede"
"58","vedtak","personer","2015","20","bosatt_anmodede"
"59","vedtak","personer","2015","49","bosatt_anmodede"
"60","vedtak","personer","2015","63","bosatt_anmodede"
"61","vedtak","personer","2015","607","bosatt_anmodede"
"62","vedtak","personer","2015","39","bosatt_anmodede"
"63","vedtak","personer","2015","87","bosatt_anmodede"
"64","vedtak","personer","2015","194","bosatt_anmodede"
"65","vedtak","personer","2015","47","bosatt_anmodede"
"66","vedtak","personer","2015","42","bosatt_anmodede"
"67","vedtak","personer","2015","70","bosatt_anmodede"
"68","vedtak","personer","2015","42","bosatt_anmodede"
"69","vedtak","personer","2015","100","bosatt_anmodede"
"70","vedtak","personer","2015","0","bosatt_anmodede"
"71","vedtak","personer","2015","58","bosatt_anmodede"
"72","vedtak","personer","2015","80","bosatt_anmodede"
"73","vedtak","personer","2015","256","bosatt_anmodede"
"74","vedtak","personer","2015","75","bosatt_anmodede"
"75","vedtak","personer","2015","103","bosatt_anmodede"
"76","vedtak","personer","2015","157","bosatt_anmodede"
"77","vedtak","personer","2015","173","bosatt_anmodede"
"78","vedtak","personer","2015","140","bosatt_anmodede"
"79","vedtak","personer","2015","222","bosatt_anmodede"
"80","vedtak","personer","2015","60","bosatt_anmodede"
"81","vedtak","personer","2015","120","bosatt_anmodede"
"82","vedtak","personer","2015","40","bosatt_anmodede"
"83","vedtak","personer","2015","174","bosatt_anmodede"
