"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","35","1","personer","0_4","2559"
"befolkning_botid","2015","35","2","personer","0_4","2651"
"befolkning_botid","2015","35","alle","personer","0_4","5210"
"befolkning_botid","2015","36","1","personer","0_4","588"
"befolkning_botid","2015","36","2","personer","0_4","443"
"befolkning_botid","2015","36","alle","personer","0_4","1031"
"befolkning_botid","2015","37","1","personer","0_4","3387"
"befolkning_botid","2015","37","2","personer","0_4","1497"
"befolkning_botid","2015","37","alle","personer","0_4","4884"
"befolkning_botid","2015","38","1","personer","0_4","767"
"befolkning_botid","2015","38","2","personer","0_4","415"
"befolkning_botid","2015","38","alle","personer","0_4","1182"
"befolkning_botid","2015","39","1","personer","0_4","14595"
"befolkning_botid","2015","39","2","personer","0_4","7644"
"befolkning_botid","2015","39","alle","personer","0_4","22239"
"befolkning_botid","2015","40","1","personer","0_4","10770"
"befolkning_botid","2015","40","2","personer","0_4","5915"
"befolkning_botid","2015","40","alle","personer","0_4","16685"
"befolkning_botid","2015","41","1","personer","0_4","819"
"befolkning_botid","2015","41","2","personer","0_4","221"
"befolkning_botid","2015","41","alle","personer","0_4","1040"
"befolkning_botid","2015","42","1","personer","0_4","645"
"befolkning_botid","2015","42","2","personer","0_4","464"
"befolkning_botid","2015","42","alle","personer","0_4","1109"
"befolkning_botid","2015","43","1","personer","0_4","316"
"befolkning_botid","2015","43","2","personer","0_4","206"
"befolkning_botid","2015","43","alle","personer","0_4","522"
"befolkning_botid","2015","44","1","personer","0_4","896"
"befolkning_botid","2015","44","2","personer","0_4","372"
"befolkning_botid","2015","44","alle","personer","0_4","1268"
"befolkning_botid","2015","45","1","personer","0_4","264"
"befolkning_botid","2015","45","2","personer","0_4","120"
"befolkning_botid","2015","45","alle","personer","0_4","384"
"befolkning_botid","2015","46","1","personer","0_4","1956"
"befolkning_botid","2015","46","2","personer","0_4","853"
"befolkning_botid","2015","46","alle","personer","0_4","2809"
"befolkning_botid","2015","47","1","personer","0_4","1585"
"befolkning_botid","2015","47","2","personer","0_4","734"
"befolkning_botid","2015","47","alle","personer","0_4","2319"
"befolkning_botid","2015","48","1","personer","0_4","333"
"befolkning_botid","2015","48","2","personer","0_4","197"
"befolkning_botid","2015","48","alle","personer","0_4","530"
"befolkning_botid","2015","49","1","personer","0_4","1165"
"befolkning_botid","2015","49","2","personer","0_4","503"
"befolkning_botid","2015","49","alle","personer","0_4","1668"
"befolkning_botid","2015","50","1","personer","0_4","881"
"befolkning_botid","2015","50","2","personer","0_4","548"
"befolkning_botid","2015","50","alle","personer","0_4","1429"
"befolkning_botid","2015","51","1","personer","0_4","905"
"befolkning_botid","2015","51","2","personer","0_4","649"
"befolkning_botid","2015","51","alle","personer","0_4","1554"
"befolkning_botid","2015","52","1","personer","0_4","1553"
"befolkning_botid","2015","52","2","personer","0_4","1120"
"befolkning_botid","2015","52","alle","personer","0_4","2673"
"befolkning_botid","2015","53","1","personer","0_4","1816"
"befolkning_botid","2015","53","2","personer","0_4","982"
"befolkning_botid","2015","53","alle","personer","0_4","2798"
"befolkning_botid","2015","54","1","personer","0_4","750"
"befolkning_botid","2015","54","2","personer","0_4","184"
"befolkning_botid","2015","54","alle","personer","0_4","934"
"befolkning_botid","2015","55","1","personer","0_4","1907"
"befolkning_botid","2015","55","2","personer","0_4","831"
"befolkning_botid","2015","55","alle","personer","0_4","2738"
"befolkning_botid","2015","56","1","personer","0_4","3329"
"befolkning_botid","2015","56","2","personer","0_4","1242"
"befolkning_botid","2015","56","alle","personer","0_4","4571"
"befolkning_botid","2015","57","1","personer","0_4","524"
"befolkning_botid","2015","57","2","personer","0_4","259"
"befolkning_botid","2015","57","alle","personer","0_4","783"
"befolkning_botid","2015","58","1","personer","0_4","777"
"befolkning_botid","2015","58","2","personer","0_4","119"
"befolkning_botid","2015","58","alle","personer","0_4","896"
"befolkning_botid","2015","59","1","personer","0_4","207"
"befolkning_botid","2015","59","2","personer","0_4","105"
"befolkning_botid","2015","59","alle","personer","0_4","312"
"befolkning_botid","2015","60","1","personer","0_4","287"
"befolkning_botid","2015","60","2","personer","0_4","302"
"befolkning_botid","2015","60","alle","personer","0_4","589"
"befolkning_botid","2015","61","1","personer","0_4","6211"
"befolkning_botid","2015","61","2","personer","0_4","4525"
"befolkning_botid","2015","61","alle","personer","0_4","10736"
"befolkning_botid","2015","62","1","personer","0_4","125"
"befolkning_botid","2015","62","2","personer","0_4","71"
"befolkning_botid","2015","62","alle","personer","0_4","196"
"befolkning_botid","2015","63","1","personer","0_4","400"
"befolkning_botid","2015","63","2","personer","0_4","500"
"befolkning_botid","2015","63","alle","personer","0_4","900"
"befolkning_botid","2015","64","1","personer","0_4","1044"
"befolkning_botid","2015","64","2","personer","0_4","1005"
"befolkning_botid","2015","64","alle","personer","0_4","2049"
"befolkning_botid","2015","65","1","personer","0_4","113"
"befolkning_botid","2015","65","2","personer","0_4","198"
"befolkning_botid","2015","65","alle","personer","0_4","311"
"befolkning_botid","2015","66","1","personer","0_4","180"
"befolkning_botid","2015","66","2","personer","0_4","237"
"befolkning_botid","2015","66","alle","personer","0_4","417"
"befolkning_botid","2015","67","1","personer","0_4","283"
"befolkning_botid","2015","67","2","personer","0_4","390"
"befolkning_botid","2015","67","alle","personer","0_4","673"
"befolkning_botid","2015","68","1","personer","0_4","153"
"befolkning_botid","2015","68","2","personer","0_4","259"
"befolkning_botid","2015","68","alle","personer","0_4","412"
"befolkning_botid","2015","69","1","personer","0_4","339"
"befolkning_botid","2015","69","2","personer","0_4","428"
"befolkning_botid","2015","69","alle","personer","0_4","767"
"befolkning_botid","2015","70","1","personer","0_4","112"
"befolkning_botid","2015","70","2","personer","0_4","32"
"befolkning_botid","2015","70","alle","personer","0_4","144"
"befolkning_botid","2015","71","1","personer","0_4","207"
"befolkning_botid","2015","71","2","personer","0_4","368"
"befolkning_botid","2015","71","alle","personer","0_4","575"
"befolkning_botid","2015","72","1","personer","0_4","477"
"befolkning_botid","2015","72","2","personer","0_4","604"
"befolkning_botid","2015","72","alle","personer","0_4","1081"
"befolkning_botid","2015","73","1","personer","0_4","1524"
"befolkning_botid","2015","73","2","personer","0_4","1587"
"befolkning_botid","2015","73","alle","personer","0_4","3111"
"befolkning_botid","2015","74","1","personer","0_4","643"
"befolkning_botid","2015","74","2","personer","0_4","708"
"befolkning_botid","2015","74","alle","personer","0_4","1351"
"befolkning_botid","2015","75","1","personer","0_4","706"
"befolkning_botid","2015","75","2","personer","0_4","578"
"befolkning_botid","2015","75","alle","personer","0_4","1284"
"befolkning_botid","2015","76","1","personer","0_4","785"
"befolkning_botid","2015","76","2","personer","0_4","794"
"befolkning_botid","2015","76","alle","personer","0_4","1579"
"befolkning_botid","2015","77","1","personer","0_4","617"
"befolkning_botid","2015","77","2","personer","0_4","951"
"befolkning_botid","2015","77","alle","personer","0_4","1568"
"befolkning_botid","2015","78","1","personer","0_4","566"
"befolkning_botid","2015","78","2","personer","0_4","772"
"befolkning_botid","2015","78","alle","personer","0_4","1338"
"befolkning_botid","2015","79","1","personer","0_4","2639"
"befolkning_botid","2015","79","2","personer","0_4","1708"
"befolkning_botid","2015","79","alle","personer","0_4","4347"
"befolkning_botid","2015","80","1","personer","0_4","330"
"befolkning_botid","2015","80","2","personer","0_4","204"
"befolkning_botid","2015","80","alle","personer","0_4","534"
"befolkning_botid","2015","81","1","personer","0_4","1397"
"befolkning_botid","2015","81","2","personer","0_4","862"
"befolkning_botid","2015","81","alle","personer","0_4","2259"
"befolkning_botid","2015","82","1","personer","0_4","261"
"befolkning_botid","2015","82","2","personer","0_4","157"
"befolkning_botid","2015","82","alle","personer","0_4","418"
"befolkning_botid","2015","83","1","personer","0_4","1087"
"befolkning_botid","2015","83","2","personer","0_4","934"
"befolkning_botid","2015","83","alle","personer","0_4","2021"
"befolkning_botid","2015","01","1","personer","10+","672"
"befolkning_botid","2015","01","2","personer","10+","1045"
"befolkning_botid","2015","01","alle","personer","10+","1717"
"befolkning_botid","2015","02","1","personer","10+","1199"
"befolkning_botid","2015","02","2","personer","10+","1987"
"befolkning_botid","2015","02","alle","personer","10+","3186"
"befolkning_botid","2015","03","1","personer","10+","1284"
"befolkning_botid","2015","03","2","personer","10+","2369"
"befolkning_botid","2015","03","alle","personer","10+","3653"
"befolkning_botid","2015","04","1","personer","10+","2428"
"befolkning_botid","2015","04","2","personer","10+","6520"
"befolkning_botid","2015","04","alle","personer","10+","8948"
"befolkning_botid","2015","05","1","personer","10+","5922"
"befolkning_botid","2015","05","2","personer","10+","6896"
"befolkning_botid","2015","05","alle","personer","10+","12818"
"befolkning_botid","2015","06","1","personer","10+","3849"
"befolkning_botid","2015","06","2","personer","10+","4269"
"befolkning_botid","2015","06","alle","personer","10+","8118"
"befolkning_botid","2015","07","1","personer","10+","3536"
"befolkning_botid","2015","07","2","personer","10+","9492"
"befolkning_botid","2015","07","alle","personer","10+","13028"
"befolkning_botid","2015","08","1","personer","10+","1863"
"befolkning_botid","2015","08","2","personer","10+","3127"
"befolkning_botid","2015","08","alle","personer","10+","4990"
"befolkning_botid","2015","09","1","personer","10+","17195"
"befolkning_botid","2015","09","2","personer","10+","61004"
"befolkning_botid","2015","09","alle","personer","10+","78199"
"befolkning_botid","2015","10","1","personer","10+","182"
"befolkning_botid","2015","10","2","personer","10+","132"
"befolkning_botid","2015","10","alle","personer","10+","314"
"befolkning_botid","2015","11","1","personer","10+","824"
"befolkning_botid","2015","11","2","personer","10+","892"
"befolkning_botid","2015","11","alle","personer","10+","1716"
