"tabell_navn","aar","kommune_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","0123","alle","0","personer","0_5","187"
"befolkning_alder","2015","0123","alle","1","personer","0_5","209"
"befolkning_alder","2015","0123","alle","alle","personer","0_5","396"
"befolkning_alder","2015","0123","befolkningen_ellers","0","personer","0_5","184"
"befolkning_alder","2015","0123","befolkningen_ellers","1","personer","0_5","209"
"befolkning_alder","2015","0123","befolkningen_ellers","alle","personer","0_5","393"
"befolkning_alder","2015","0123","innvandrere","0","personer","0_5","3"
"befolkning_alder","2015","0123","innvandrere","1","personer","0_5","0"
"befolkning_alder","2015","0123","innvandrere","alle","personer","0_5","3"
"befolkning_alder","2015","0124","alle","0","personer","0_5","500"
"befolkning_alder","2015","0124","alle","1","personer","0_5","580"
"befolkning_alder","2015","0124","alle","alle","personer","0_5","1080"
"befolkning_alder","2015","0124","befolkningen_ellers","0","personer","0_5","486"
"befolkning_alder","2015","0124","befolkningen_ellers","1","personer","0_5","559"
"befolkning_alder","2015","0124","befolkningen_ellers","alle","personer","0_5","1045"
"befolkning_alder","2015","0124","innvandrere","0","personer","0_5","14"
"befolkning_alder","2015","0124","innvandrere","1","personer","0_5","21"
"befolkning_alder","2015","0124","innvandrere","alle","personer","0_5","35"
"befolkning_alder","2015","0125","alle","0","personer","0_5","373"
"befolkning_alder","2015","0125","alle","1","personer","0_5","379"
"befolkning_alder","2015","0125","alle","alle","personer","0_5","752"
"befolkning_alder","2015","0125","befolkningen_ellers","0","personer","0_5","354"
"befolkning_alder","2015","0125","befolkningen_ellers","1","personer","0_5","369"
"befolkning_alder","2015","0125","befolkningen_ellers","alle","personer","0_5","723"
"befolkning_alder","2015","0125","innvandrere","0","personer","0_5","19"
"befolkning_alder","2015","0125","innvandrere","1","personer","0_5","10"
"befolkning_alder","2015","0125","innvandrere","alle","personer","0_5","29"
"befolkning_alder","2015","0127","alle","0","personer","0_5","130"
"befolkning_alder","2015","0127","alle","1","personer","0_5","142"
"befolkning_alder","2015","0127","alle","alle","personer","0_5","272"
"befolkning_alder","2015","0127","befolkningen_ellers","0","personer","0_5","125"
"befolkning_alder","2015","0127","befolkningen_ellers","1","personer","0_5","136"
"befolkning_alder","2015","0127","befolkningen_ellers","alle","personer","0_5","261"
"befolkning_alder","2015","0127","innvandrere","0","personer","0_5","5"
"befolkning_alder","2015","0127","innvandrere","1","personer","0_5","6"
"befolkning_alder","2015","0127","innvandrere","alle","personer","0_5","11"
"befolkning_alder","2015","0128","alle","0","personer","0_5","268"
"befolkning_alder","2015","0128","alle","1","personer","0_5","273"
"befolkning_alder","2015","0128","alle","alle","personer","0_5","541"
"befolkning_alder","2015","0128","befolkningen_ellers","0","personer","0_5","262"
"befolkning_alder","2015","0128","befolkningen_ellers","1","personer","0_5","266"
"befolkning_alder","2015","0128","befolkningen_ellers","alle","personer","0_5","528"
"befolkning_alder","2015","0128","innvandrere","0","personer","0_5","6"
"befolkning_alder","2015","0128","innvandrere","1","personer","0_5","7"
"befolkning_alder","2015","0128","innvandrere","alle","personer","0_5","13"
"befolkning_alder","2015","0135","alle","0","personer","0_5","198"
"befolkning_alder","2015","0135","alle","1","personer","0_5","270"
"befolkning_alder","2015","0135","alle","alle","personer","0_5","468"
"befolkning_alder","2015","0135","befolkningen_ellers","0","personer","0_5","190"
"befolkning_alder","2015","0135","befolkningen_ellers","1","personer","0_5","262"
"befolkning_alder","2015","0135","befolkningen_ellers","alle","personer","0_5","452"
"befolkning_alder","2015","0135","innvandrere","0","personer","0_5","8"
"befolkning_alder","2015","0135","innvandrere","1","personer","0_5","8"
"befolkning_alder","2015","0135","innvandrere","alle","personer","0_5","16"
"befolkning_alder","2015","0136","alle","0","personer","0_5","476"
"befolkning_alder","2015","0136","alle","1","personer","0_5","454"
"befolkning_alder","2015","0136","alle","alle","personer","0_5","930"
"befolkning_alder","2015","0136","befolkningen_ellers","0","personer","0_5","464"
"befolkning_alder","2015","0136","befolkningen_ellers","1","personer","0_5","443"
"befolkning_alder","2015","0136","befolkningen_ellers","alle","personer","0_5","907"
"befolkning_alder","2015","0136","innvandrere","0","personer","0_5","12"
"befolkning_alder","2015","0136","innvandrere","1","personer","0_5","11"
"befolkning_alder","2015","0136","innvandrere","alle","personer","0_5","23"
"befolkning_alder","2015","0137","alle","0","personer","0_5","205"
"befolkning_alder","2015","0137","alle","1","personer","0_5","227"
"befolkning_alder","2015","0137","alle","alle","personer","0_5","432"
"befolkning_alder","2015","0137","befolkningen_ellers","0","personer","0_5","199"
"befolkning_alder","2015","0137","befolkningen_ellers","1","personer","0_5","221"
"befolkning_alder","2015","0137","befolkningen_ellers","alle","personer","0_5","420"
"befolkning_alder","2015","0137","innvandrere","0","personer","0_5","6"
"befolkning_alder","2015","0137","innvandrere","1","personer","0_5","6"
"befolkning_alder","2015","0137","innvandrere","alle","personer","0_5","12"
"befolkning_alder","2015","0138","alle","0","personer","0_5","197"
"befolkning_alder","2015","0138","alle","1","personer","0_5","220"
"befolkning_alder","2015","0138","alle","alle","personer","0_5","417"
"befolkning_alder","2015","0138","befolkningen_ellers","0","personer","0_5","190"
"befolkning_alder","2015","0138","befolkningen_ellers","1","personer","0_5","215"
"befolkning_alder","2015","0138","befolkningen_ellers","alle","personer","0_5","405"
"befolkning_alder","2015","0138","innvandrere","0","personer","0_5","7"
"befolkning_alder","2015","0138","innvandrere","1","personer","0_5","5"
"befolkning_alder","2015","0138","innvandrere","alle","personer","0_5","12"
"befolkning_alder","2015","0211","alle","0","personer","0_5","635"
"befolkning_alder","2015","0211","alle","1","personer","0_5","667"
"befolkning_alder","2015","0211","alle","alle","personer","0_5","1302"
"befolkning_alder","2015","0211","befolkningen_ellers","0","personer","0_5","621"
"befolkning_alder","2015","0211","befolkningen_ellers","1","personer","0_5","649"
"befolkning_alder","2015","0211","befolkningen_ellers","alle","personer","0_5","1270"
"befolkning_alder","2015","0211","innvandrere","0","personer","0_5","14"
"befolkning_alder","2015","0211","innvandrere","1","personer","0_5","18"
"befolkning_alder","2015","0211","innvandrere","alle","personer","0_5","32"
"befolkning_alder","2015","0213","alle","0","personer","0_5","1154"
"befolkning_alder","2015","0213","alle","1","personer","0_5","1148"
"befolkning_alder","2015","0213","alle","alle","personer","0_5","2302"
"befolkning_alder","2015","0213","befolkningen_ellers","0","personer","0_5","1129"
"befolkning_alder","2015","0213","befolkningen_ellers","1","personer","0_5","1114"
"befolkning_alder","2015","0213","befolkningen_ellers","alle","personer","0_5","2243"
"befolkning_alder","2015","0213","innvandrere","0","personer","0_5","25"
"befolkning_alder","2015","0213","innvandrere","1","personer","0_5","34"
"befolkning_alder","2015","0213","innvandrere","alle","personer","0_5","59"
"befolkning_alder","2015","0214","alle","0","personer","0_5","724"
"befolkning_alder","2015","0214","alle","1","personer","0_5","781"
"befolkning_alder","2015","0214","alle","alle","personer","0_5","1505"
"befolkning_alder","2015","0214","befolkningen_ellers","0","personer","0_5","706"
"befolkning_alder","2015","0214","befolkningen_ellers","1","personer","0_5","747"
"befolkning_alder","2015","0214","befolkningen_ellers","alle","personer","0_5","1453"
"befolkning_alder","2015","0214","innvandrere","0","personer","0_5","18"
"befolkning_alder","2015","0214","innvandrere","1","personer","0_5","34"
"befolkning_alder","2015","0214","innvandrere","alle","personer","0_5","52"
"befolkning_alder","2015","0215","alle","0","personer","0_5","482"
"befolkning_alder","2015","0215","alle","1","personer","0_5","494"
"befolkning_alder","2015","0215","alle","alle","personer","0_5","976"
"befolkning_alder","2015","0215","befolkningen_ellers","0","personer","0_5","470"
"befolkning_alder","2015","0215","befolkningen_ellers","1","personer","0_5","486"
"befolkning_alder","2015","0215","befolkningen_ellers","alle","personer","0_5","956"
"befolkning_alder","2015","0215","innvandrere","0","personer","0_5","12"
"befolkning_alder","2015","0215","innvandrere","1","personer","0_5","8"
"befolkning_alder","2015","0215","innvandrere","alle","personer","0_5","20"
"befolkning_alder","2015","0216","alle","0","personer","0_5","627"
"befolkning_alder","2015","0216","alle","1","personer","0_5","706"
"befolkning_alder","2015","0216","alle","alle","personer","0_5","1333"
"befolkning_alder","2015","0216","befolkningen_ellers","0","personer","0_5","614"
"befolkning_alder","2015","0216","befolkningen_ellers","1","personer","0_5","692"
"befolkning_alder","2015","0216","befolkningen_ellers","alle","personer","0_5","1306"
"befolkning_alder","2015","0216","innvandrere","0","personer","0_5","13"
"befolkning_alder","2015","0216","innvandrere","1","personer","0_5","14"
"befolkning_alder","2015","0216","innvandrere","alle","personer","0_5","27"
"befolkning_alder","2015","0217","alle","0","personer","0_5","971"
"befolkning_alder","2015","0217","alle","1","personer","0_5","1003"
