"tabell_navn","aar","bydel_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","030111","sor_og_mellom_amerika","person","192"
"befolkning_verdensregion_9","2015","030111","alle","person","10916"
"befolkning_verdensregion_9","2015","030112","norden","person","555"
"befolkning_verdensregion_9","2015","030112","vest_europa","person","554"
"befolkning_verdensregion_9","2015","030112","eu_ost_europa","person","1860"
"befolkning_verdensregion_9","2015","030112","ost_europa_ellers","person","1628"
"befolkning_verdensregion_9","2015","030112","nord_amerika_oseania","person","68"
"befolkning_verdensregion_9","2015","030112","asia","person","8762"
"befolkning_verdensregion_9","2015","030112","afrika","person","2787"
"befolkning_verdensregion_9","2015","030112","sor_og_mellom_amerika","person","484"
"befolkning_verdensregion_9","2015","030112","alle","person","16698"
"befolkning_verdensregion_9","2015","030113","norden","person","769"
"befolkning_verdensregion_9","2015","030113","vest_europa","person","527"
"befolkning_verdensregion_9","2015","030113","eu_ost_europa","person","1445"
"befolkning_verdensregion_9","2015","030113","ost_europa_ellers","person","1009"
"befolkning_verdensregion_9","2015","030113","nord_amerika_oseania","person","111"
"befolkning_verdensregion_9","2015","030113","asia","person","3172"
"befolkning_verdensregion_9","2015","030113","afrika","person","1312"
"befolkning_verdensregion_9","2015","030113","sor_og_mellom_amerika","person","278"
"befolkning_verdensregion_9","2015","030113","alle","person","8623"
"befolkning_verdensregion_9","2015","030114","norden","person","1078"
"befolkning_verdensregion_9","2015","030114","vest_europa","person","784"
"befolkning_verdensregion_9","2015","030114","eu_ost_europa","person","1515"
"befolkning_verdensregion_9","2015","030114","ost_europa_ellers","person","500"
"befolkning_verdensregion_9","2015","030114","nord_amerika_oseania","person","165"
"befolkning_verdensregion_9","2015","030114","asia","person","1637"
"befolkning_verdensregion_9","2015","030114","afrika","person","741"
"befolkning_verdensregion_9","2015","030114","sor_og_mellom_amerika","person","265"
"befolkning_verdensregion_9","2015","030114","alle","person","6685"
"befolkning_verdensregion_9","2015","030115","norden","person","510"
"befolkning_verdensregion_9","2015","030115","vest_europa","person","592"
"befolkning_verdensregion_9","2015","030115","eu_ost_europa","person","1759"
"befolkning_verdensregion_9","2015","030115","ost_europa_ellers","person","882"
"befolkning_verdensregion_9","2015","030115","nord_amerika_oseania","person","111"
"befolkning_verdensregion_9","2015","030115","asia","person","6725"
"befolkning_verdensregion_9","2015","030115","afrika","person","2104"
"befolkning_verdensregion_9","2015","030115","sor_og_mellom_amerika","person","293"
"befolkning_verdensregion_9","2015","030115","alle","person","12976"
"befolkning_verdensregion_9","2015","030116","norden","person","172"
"befolkning_verdensregion_9","2015","030116","vest_europa","person","71"
"befolkning_verdensregion_9","2015","030116","eu_ost_europa","person","90"
"befolkning_verdensregion_9","2015","030116","ost_europa_ellers","person","38"
"befolkning_verdensregion_9","2015","030116","nord_amerika_oseania","person","7"
"befolkning_verdensregion_9","2015","030116","asia","person","128"
"befolkning_verdensregion_9","2015","030116","afrika","person","53"
"befolkning_verdensregion_9","2015","030116","sor_og_mellom_amerika","person","19"
"befolkning_verdensregion_9","2015","030116","alle","person","578"
"befolkning_verdensregion_9","2015","030117","norden","person","47"
