"tabell_navn","aar","bydel_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","030116","1","personer","10+","46"
"befolkning_botid","2015","030116","2","personer","10+","105"
"befolkning_botid","2015","030116","alle","personer","10+","151"
"befolkning_botid","2015","030117","1","personer","10+","45"
"befolkning_botid","2015","030117","2","personer","10+","12"
"befolkning_botid","2015","030117","alle","personer","10+","57"
"befolkning_botid","2015","030199","1","personer","10+","116"
"befolkning_botid","2015","030199","2","personer","10+","885"
"befolkning_botid","2015","030199","alle","personer","10+","1001"
"befolkning_botid","2015","030101","1","personer","5_9","1109"
"befolkning_botid","2015","030101","2","personer","5_9","1488"
"befolkning_botid","2015","030101","alle","personer","5_9","2597"
"befolkning_botid","2015","030102","1","personer","5_9","1680"
"befolkning_botid","2015","030102","2","personer","5_9","1533"
"befolkning_botid","2015","030102","alle","personer","5_9","3213"
"befolkning_botid","2015","030103","1","personer","5_9","800"
"befolkning_botid","2015","030103","2","personer","5_9","809"
"befolkning_botid","2015","030103","alle","personer","5_9","1609"
"befolkning_botid","2015","030104","1","personer","5_9","1031"
"befolkning_botid","2015","030104","2","personer","5_9","671"
"befolkning_botid","2015","030104","alle","personer","5_9","1702"
"befolkning_botid","2015","030105","1","personer","5_9","1463"
"befolkning_botid","2015","030105","2","personer","5_9","817"
"befolkning_botid","2015","030105","alle","personer","5_9","2280"
"befolkning_botid","2015","030106","1","personer","5_9","611"
"befolkning_botid","2015","030106","2","personer","5_9","374"
"befolkning_botid","2015","030106","alle","personer","5_9","985"
"befolkning_botid","2015","030107","1","personer","5_9","863"
"befolkning_botid","2015","030107","2","personer","5_9","456"
"befolkning_botid","2015","030107","alle","personer","5_9","1319"
"befolkning_botid","2015","030108","1","personer","5_9","748"
"befolkning_botid","2015","030108","2","personer","5_9","635"
"befolkning_botid","2015","030108","alle","personer","5_9","1383"
"befolkning_botid","2015","030109","1","personer","5_9","713"
"befolkning_botid","2015","030109","2","personer","5_9","1076"
"befolkning_botid","2015","030109","alle","personer","5_9","1789"
"befolkning_botid","2015","030110","1","personer","5_9","505"
"befolkning_botid","2015","030110","2","personer","5_9","1215"
"befolkning_botid","2015","030110","alle","personer","5_9","1720"
"befolkning_botid","2015","030111","1","personer","5_9","492"
"befolkning_botid","2015","030111","2","personer","5_9","1287"
"befolkning_botid","2015","030111","alle","personer","5_9","1779"
"befolkning_botid","2015","030112","1","personer","5_9","832"
"befolkning_botid","2015","030112","2","personer","5_9","2166"
"befolkning_botid","2015","030112","alle","personer","5_9","2998"
"befolkning_botid","2015","030113","1","personer","5_9","725"
"befolkning_botid","2015","030113","2","personer","5_9","949"
"befolkning_botid","2015","030113","alle","personer","5_9","1674"
"befolkning_botid","2015","030114","1","personer","5_9","796"
"befolkning_botid","2015","030114","2","personer","5_9","552"
"befolkning_botid","2015","030114","alle","personer","5_9","1348"
"befolkning_botid","2015","030115","1","personer","5_9","719"
"befolkning_botid","2015","030115","2","personer","5_9","1343"
"befolkning_botid","2015","030115","alle","personer","5_9","2062"
