"naringsregion_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"01","anmodning","2015","personer","30","bosatt_anmodede"
"02","anmodning","2015","personer","145","bosatt_anmodede"
"03","anmodning","2015","personer","90","bosatt_anmodede"
"04","anmodning","2015","personer","170","bosatt_anmodede"
"05","anmodning","2015","personer","245","bosatt_anmodede"
"06","anmodning","2015","personer","187","bosatt_anmodede"
"07","anmodning","2015","personer","220","bosatt_anmodede"
"08","anmodning","2015","personer","125","bosatt_anmodede"
"09","anmodning","2015","personer","720","bosatt_anmodede"
"10","anmodning","2015","personer","80","bosatt_anmodede"
"11","anmodning","2015","personer","110","bosatt_anmodede"
"12","anmodning","2015","personer","160","bosatt_anmodede"
"13","anmodning","2015","personer","95","bosatt_anmodede"
"14","anmodning","2015","personer","130","bosatt_anmodede"
"15","anmodning","2015","personer","85","bosatt_anmodede"
"16","anmodning","2015","personer","85","bosatt_anmodede"
"17","anmodning","2015","personer","40","bosatt_anmodede"
"18","anmodning","2015","personer","67","bosatt_anmodede"
"19","anmodning","2015","personer","65","bosatt_anmodede"
"20","anmodning","2015","personer","345","bosatt_anmodede"
"21","anmodning","2015","personer","60","bosatt_anmodede"
"22","anmodning","2015","personer","84","bosatt_anmodede"
"23","anmodning","2015","personer","45","bosatt_anmodede"
"24","anmodning","2015","personer","60","bosatt_anmodede"
"25","anmodning","2015","personer","238","bosatt_anmodede"
"26","anmodning","2015","personer","125","bosatt_anmodede"
"27","anmodning","2015","personer","335","bosatt_anmodede"
"28","anmodning","2015","personer","77","bosatt_anmodede"
"29","anmodning","2015","personer","75","bosatt_anmodede"
"30","anmodning","2015","personer","65","bosatt_anmodede"
"31","anmodning","2015","personer","50","bosatt_anmodede"
"32","anmodning","2015","personer","275","bosatt_anmodede"
"33","anmodning","2015","personer","170","bosatt_anmodede"
"34","anmodning","2015","personer","90","bosatt_anmodede"
"35","anmodning","2015","personer","405","bosatt_anmodede"
"36","anmodning","2015","personer","75","bosatt_anmodede"
"37","anmodning","2015","personer","202","bosatt_anmodede"
"38","anmodning","2015","personer","86","bosatt_anmodede"
"39","anmodning","2015","personer","411","bosatt_anmodede"
"40","anmodning","2015","personer","350","bosatt_anmodede"
"41","anmodning","2015","personer","40","bosatt_anmodede"
"42","anmodning","2015","personer","100","bosatt_anmodede"
"43","anmodning","2015","personer","30","bosatt_anmodede"
"44","anmodning","2015","personer","81","bosatt_anmodede"
"45","anmodning","2015","personer","36","bosatt_anmodede"
"46","anmodning","2015","personer","145","bosatt_anmodede"
"47","anmodning","2015","personer","115","bosatt_anmodede"
"48","anmodning","2015","personer","46","bosatt_anmodede"
"49","anmodning","2015","personer","106","bosatt_anmodede"
"50","anmodning","2015","personer","115","bosatt_anmodede"
"51","anmodning","2015","personer","100","bosatt_anmodede"
"52","anmodning","2015","personer","187","bosatt_anmodede"
"53","anmodning","2015","personer","155","bosatt_anmodede"
"54","anmodning","2015","personer","67","bosatt_anmodede"
"55","anmodning","2015","personer","150","bosatt_anmodede"
"56","anmodning","2015","personer","180","bosatt_anmodede"
"57","anmodning","2015","personer","90","bosatt_anmodede"
"58","anmodning","2015","personer","30","bosatt_anmodede"
"59","anmodning","2015","personer","30","bosatt_anmodede"
"60","anmodning","2015","personer","70","bosatt_anmodede"
"61","anmodning","2015","personer","425","bosatt_anmodede"
"62","anmodning","2015","personer","35","bosatt_anmodede"
"63","anmodning","2015","personer","70","bosatt_anmodede"
"64","anmodning","2015","personer","155","bosatt_anmodede"
"65","anmodning","2015","personer","60","bosatt_anmodede"
"66","anmodning","2015","personer","45","bosatt_anmodede"
"67","anmodning","2015","personer","80","bosatt_anmodede"
"68","anmodning","2015","personer","80","bosatt_anmodede"
"69","anmodning","2015","personer","75","bosatt_anmodede"
"70","anmodning","2015","personer","40","bosatt_anmodede"
"71","anmodning","2015","personer","60","bosatt_anmodede"
"72","anmodning","2015","personer","80","bosatt_anmodede"
"73","anmodning","2015","personer","220","bosatt_anmodede"
"74","anmodning","2015","personer","105","bosatt_anmodede"
"75","anmodning","2015","personer","130","bosatt_anmodede"
"76","anmodning","2015","personer","135","bosatt_anmodede"
"77","anmodning","2015","personer","165","bosatt_anmodede"
"78","anmodning","2015","personer","150","bosatt_anmodede"
"79","anmodning","2015","personer","225","bosatt_anmodede"
"80","anmodning","2015","personer","80","bosatt_anmodede"
"81","anmodning","2015","personer","135","bosatt_anmodede"
"82","anmodning","2015","personer","90","bosatt_anmodede"
"83","anmodning","2015","personer","200","bosatt_anmodede"
"99","anmodning","2015","personer","0","bosatt_anmodede"
"01","vedtak","2015","personer","48","bosatt_anmodede"
"02","vedtak","2015","personer","91","bosatt_anmodede"
"03","vedtak","2015","personer","85","bosatt_anmodede"
"04","vedtak","2015","personer","190","bosatt_anmodede"
"05","vedtak","2015","personer","279","bosatt_anmodede"
"06","vedtak","2015","personer","250","bosatt_anmodede"
"07","vedtak","2015","personer","274","bosatt_anmodede"
"08","vedtak","2015","personer","107","bosatt_anmodede"
"09","vedtak","2015","personer","811","bosatt_anmodede"
"10","vedtak","2015","personer","86","bosatt_anmodede"
"11","vedtak","2015","personer","73","bosatt_anmodede"
"12","vedtak","2015","personer","128","bosatt_anmodede"
"13","vedtak","2015","personer","90","bosatt_anmodede"
"14","vedtak","2015","personer","165","bosatt_anmodede"
"15","vedtak","2015","personer","89","bosatt_anmodede"
"16","vedtak","2015","personer","93","bosatt_anmodede"
"17","vedtak","2015","personer","55","bosatt_anmodede"
"18","vedtak","2015","personer","71","bosatt_anmodede"
"19","vedtak","2015","personer","73","bosatt_anmodede"
