"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0545","alle","1_5","personer","83","2013","barnehagedeltakelse"
"0602","alle","1_5","personer","4078","2013","barnehagedeltakelse"
"0604","alle","1_5","personer","1662","2013","barnehagedeltakelse"
"0605","alle","1_5","personer","1568","2013","barnehagedeltakelse"
"0612","alle","1_5","personer","444","2013","barnehagedeltakelse"
"0615","alle","1_5","personer","42","2013","barnehagedeltakelse"
"0616","alle","1_5","personer","145","2013","barnehagedeltakelse"
"0617","alle","1_5","personer","237","2013","barnehagedeltakelse"
"0618","alle","1_5","personer","151","2013","barnehagedeltakelse"
"0619","alle","1_5","personer","253","2013","barnehagedeltakelse"
"0620","alle","1_5","personer","187","2013","barnehagedeltakelse"
"0621","alle","1_5","personer","173","2013","barnehagedeltakelse"
"0622","alle","1_5","personer","129","2013","barnehagedeltakelse"
"0623","alle","1_5","personer","762","2013","barnehagedeltakelse"
"0624","alle","1_5","personer","1083","2013","barnehagedeltakelse"
"0625","alle","1_5","personer","1535","2013","barnehagedeltakelse"
"0626","alle","1_5","personer","1631","2013","barnehagedeltakelse"
"0627","alle","1_5","personer","1345","2013","barnehagedeltakelse"
"0628","alle","1_5","personer","513","2013","barnehagedeltakelse"
"0631","alle","1_5","personer","160","2013","barnehagedeltakelse"
"0632","alle","1_5","personer","54","2013","barnehagedeltakelse"
"0633","alle","1_5","personer","104","2013","barnehagedeltakelse"
"0701","alle","1_5","personer","1524","2013","barnehagedeltakelse"
"0702","alle","1_5","personer","587","2013","barnehagedeltakelse"
"0704","alle","1_5","personer","2362","2013","barnehagedeltakelse"
"0706","alle","1_5","personer","2518","2013","barnehagedeltakelse"
"0709","alle","1_5","personer","2470","2013","barnehagedeltakelse"
"0711","alle","1_5","personer","328","2013","barnehagedeltakelse"
"0713","alle","1_5","personer","563","2013","barnehagedeltakelse"
"0714","alle","1_5","personer","155","2013","barnehagedeltakelse"
"0716","alle","1_5","personer","568","2013","barnehagedeltakelse"
"0719","alle","1_5","personer","358","2013","barnehagedeltakelse"
"0720","alle","1_5","personer","708","2013","barnehagedeltakelse"
"0722","alle","1_5","personer","1255","2013","barnehagedeltakelse"
"0723","alle","1_5","personer","220","2013","barnehagedeltakelse"
"0728","alle","1_5","personer","143","2013","barnehagedeltakelse"
"0805","alle","1_5","personer","1891","2013","barnehagedeltakelse"
"0806","alle","1_5","personer","3094","2013","barnehagedeltakelse"
"0807","alle","1_5","personer","679","2013","barnehagedeltakelse"
"0811","alle","1_5","personer","149","2013","barnehagedeltakelse"
"0814","alle","1_5","personer","727","2013","barnehagedeltakelse"
"0815","alle","1_5","personer","512","2013","barnehagedeltakelse"
"0817","alle","1_5","personer","203","2013","barnehagedeltakelse"
"0819","alle","1_5","personer","326","2013","barnehagedeltakelse"
"0821","alle","1_5","personer","342","2013","barnehagedeltakelse"
"0822","alle","1_5","personer","229","2013","barnehagedeltakelse"
"0826","alle","1_5","personer","312","2013","barnehagedeltakelse"
"0827","alle","1_5","personer","72","2013","barnehagedeltakelse"
"0828","alle","1_5","personer","172","2013","barnehagedeltakelse"
"0829","alle","1_5","personer","103","2013","barnehagedeltakelse"
"0830","alle","1_5","personer","89","2013","barnehagedeltakelse"
"0831","alle","1_5","personer","62","2013","barnehagedeltakelse"
"0833","alle","1_5","personer","116","2013","barnehagedeltakelse"
"0834","alle","1_5","personer","211","2013","barnehagedeltakelse"
"0901","alle","1_5","personer","340","2013","barnehagedeltakelse"
"0904","alle","1_5","personer","1407","2013","barnehagedeltakelse"
"0906","alle","1_5","personer","2654","2013","barnehagedeltakelse"
"0911","alle","1_5","personer","115","2013","barnehagedeltakelse"
"0912","alle","1_5","personer","134","2013","barnehagedeltakelse"
"0914","alle","1_5","personer","340","2013","barnehagedeltakelse"
"0919","alle","1_5","personer","433","2013","barnehagedeltakelse"
"0926","alle","1_5","personer","721","2013","barnehagedeltakelse"
"0928","alle","1_5","personer","384","2013","barnehagedeltakelse"
