"tabell_navn","aar","bydel_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","030109","innvandrere","alle","personer","0_5","122"
"befolkning_alder","2015","030110","alle","0","personer","0_5","1139"
"befolkning_alder","2015","030110","alle","1","personer","0_5","1113"
"befolkning_alder","2015","030110","alle","alle","personer","0_5","2252"
"befolkning_alder","2015","030110","befolkningen_ellers","0","personer","0_5","1092"
"befolkning_alder","2015","030110","befolkningen_ellers","1","personer","0_5","1072"
"befolkning_alder","2015","030110","befolkningen_ellers","alle","personer","0_5","2164"
"befolkning_alder","2015","030110","innvandrere","0","personer","0_5","47"
"befolkning_alder","2015","030110","innvandrere","1","personer","0_5","41"
"befolkning_alder","2015","030110","innvandrere","alle","personer","0_5","88"
"befolkning_alder","2015","030111","alle","0","personer","0_5","1127"
"befolkning_alder","2015","030111","alle","1","personer","0_5","1358"
"befolkning_alder","2015","030111","alle","alle","personer","0_5","2485"
"befolkning_alder","2015","030111","befolkningen_ellers","0","personer","0_5","1084"
"befolkning_alder","2015","030111","befolkningen_ellers","1","personer","0_5","1286"
"befolkning_alder","2015","030111","befolkningen_ellers","alle","personer","0_5","2370"
"befolkning_alder","2015","030111","innvandrere","0","personer","0_5","43"
"befolkning_alder","2015","030111","innvandrere","1","personer","0_5","72"
"befolkning_alder","2015","030111","innvandrere","alle","personer","0_5","115"
"befolkning_alder","2015","030112","alle","0","personer","0_5","2091"
"befolkning_alder","2015","030112","alle","1","personer","0_5","2116"
"befolkning_alder","2015","030112","alle","alle","personer","0_5","4207"
"befolkning_alder","2015","030112","befolkningen_ellers","0","personer","0_5","2027"
"befolkning_alder","2015","030112","befolkningen_ellers","1","personer","0_5","2048"
"befolkning_alder","2015","030112","befolkningen_ellers","alle","personer","0_5","4075"
"befolkning_alder","2015","030112","innvandrere","0","personer","0_5","64"
"befolkning_alder","2015","030112","innvandrere","1","personer","0_5","68"
"befolkning_alder","2015","030112","innvandrere","alle","personer","0_5","132"
"befolkning_alder","2015","030113","alle","0","personer","0_5","2119"
"befolkning_alder","2015","030113","alle","1","personer","0_5","2242"
"befolkning_alder","2015","030113","alle","alle","personer","0_5","4361"
"befolkning_alder","2015","030113","befolkningen_ellers","0","personer","0_5","2074"
"befolkning_alder","2015","030113","befolkningen_ellers","1","personer","0_5","2180"
"befolkning_alder","2015","030113","befolkningen_ellers","alle","personer","0_5","4254"
"befolkning_alder","2015","030113","innvandrere","0","personer","0_5","45"
"befolkning_alder","2015","030113","innvandrere","1","personer","0_5","62"
"befolkning_alder","2015","030113","innvandrere","alle","personer","0_5","107"
"befolkning_alder","2015","030114","alle","0","personer","0_5","1961"
"befolkning_alder","2015","030114","alle","1","personer","0_5","2028"
"befolkning_alder","2015","030114","alle","alle","personer","0_5","3989"
"befolkning_alder","2015","030114","befolkningen_ellers","0","personer","0_5","1919"
"befolkning_alder","2015","030114","befolkningen_ellers","1","personer","0_5","1971"
"befolkning_alder","2015","030114","befolkningen_ellers","alle","personer","0_5","3890"
"befolkning_alder","2015","030114","innvandrere","0","personer","0_5","42"
"befolkning_alder","2015","030114","innvandrere","1","personer","0_5","57"
"befolkning_alder","2015","030114","innvandrere","alle","personer","0_5","99"
"befolkning_alder","2015","030115","alle","0","personer","0_5","1710"
"befolkning_alder","2015","030115","alle","1","personer","0_5","1772"
"befolkning_alder","2015","030115","alle","alle","personer","0_5","3482"
"befolkning_alder","2015","030115","befolkningen_ellers","0","personer","0_5","1628"
"befolkning_alder","2015","030115","befolkningen_ellers","1","personer","0_5","1698"
"befolkning_alder","2015","030115","befolkningen_ellers","alle","personer","0_5","3326"
"befolkning_alder","2015","030115","innvandrere","0","personer","0_5","82"
"befolkning_alder","2015","030115","innvandrere","1","personer","0_5","74"
"befolkning_alder","2015","030115","innvandrere","alle","personer","0_5","156"
"befolkning_alder","2015","030116","alle","0","personer","0_5","9"
"befolkning_alder","2015","030116","alle","1","personer","0_5","8"
"befolkning_alder","2015","030116","alle","alle","personer","0_5","17"
"befolkning_alder","2015","030116","befolkningen_ellers","0","personer","0_5","5"
"befolkning_alder","2015","030116","befolkningen_ellers","1","personer","0_5","8"
"befolkning_alder","2015","030116","befolkningen_ellers","alle","personer","0_5","13"
"befolkning_alder","2015","030116","innvandrere","0","personer","0_5","4"
"befolkning_alder","2015","030116","innvandrere","1","personer","0_5","0"
"befolkning_alder","2015","030116","innvandrere","alle","personer","0_5","4"
"befolkning_alder","2015","030117","alle","0","personer","0_5","51"
"befolkning_alder","2015","030117","alle","1","personer","0_5","40"
"befolkning_alder","2015","030117","alle","alle","personer","0_5","91"
"befolkning_alder","2015","030117","befolkningen_ellers","0","personer","0_5","51"
"befolkning_alder","2015","030117","befolkningen_ellers","1","personer","0_5","37"
"befolkning_alder","2015","030117","befolkningen_ellers","alle","personer","0_5","88"
"befolkning_alder","2015","030117","innvandrere","0","personer","0_5","0"
"befolkning_alder","2015","030117","innvandrere","1","personer","0_5","3"
"befolkning_alder","2015","030117","innvandrere","alle","personer","0_5","3"
"befolkning_alder","2015","030199","alle","0","personer","0_5","122"
"befolkning_alder","2015","030199","alle","1","personer","0_5","121"
"befolkning_alder","2015","030199","alle","alle","personer","0_5","243"
"befolkning_alder","2015","030199","befolkningen_ellers","0","personer","0_5","106"
"befolkning_alder","2015","030199","befolkningen_ellers","1","personer","0_5","108"
"befolkning_alder","2015","030199","befolkningen_ellers","alle","personer","0_5","214"
"befolkning_alder","2015","030199","innvandrere","0","personer","0_5","16"
"befolkning_alder","2015","030199","innvandrere","1","personer","0_5","13"
"befolkning_alder","2015","030199","innvandrere","alle","personer","0_5","29"
"befolkning_alder","2015","030101","alle","0","personer","16_19","600"
"befolkning_alder","2015","030101","alle","1","personer","16_19","611"
"befolkning_alder","2015","030101","alle","alle","personer","16_19","1211"
"befolkning_alder","2015","030101","befolkningen_ellers","0","personer","16_19","463"
"befolkning_alder","2015","030101","befolkningen_ellers","1","personer","16_19","453"
"befolkning_alder","2015","030101","befolkningen_ellers","alle","personer","16_19","916"
"befolkning_alder","2015","030101","innvandrere","0","personer","16_19","137"
"befolkning_alder","2015","030101","innvandrere","1","personer","16_19","158"
"befolkning_alder","2015","030101","innvandrere","alle","personer","16_19","295"
"befolkning_alder","2015","030102","alle","0","personer","16_19","609"
"befolkning_alder","2015","030102","alle","1","personer","16_19","558"
"befolkning_alder","2015","030102","alle","alle","personer","16_19","1167"
"befolkning_alder","2015","030102","befolkningen_ellers","0","personer","16_19","465"
"befolkning_alder","2015","030102","befolkningen_ellers","1","personer","16_19","403"
"befolkning_alder","2015","030102","befolkningen_ellers","alle","personer","16_19","868"
"befolkning_alder","2015","030102","innvandrere","0","personer","16_19","144"
"befolkning_alder","2015","030102","innvandrere","1","personer","16_19","155"
"befolkning_alder","2015","030102","innvandrere","alle","personer","16_19","299"
"befolkning_alder","2015","030103","alle","0","personer","16_19","387"
"befolkning_alder","2015","030103","alle","1","personer","16_19","316"
"befolkning_alder","2015","030103","alle","alle","personer","16_19","703"
"befolkning_alder","2015","030103","befolkningen_ellers","0","personer","16_19","307"
"befolkning_alder","2015","030103","befolkningen_ellers","1","personer","16_19","247"
"befolkning_alder","2015","030103","befolkningen_ellers","alle","personer","16_19","554"
"befolkning_alder","2015","030103","innvandrere","0","personer","16_19","80"
"befolkning_alder","2015","030103","innvandrere","1","personer","16_19","69"
"befolkning_alder","2015","030103","innvandrere","alle","personer","16_19","149"
"befolkning_alder","2015","030104","alle","0","personer","16_19","384"
"befolkning_alder","2015","030104","alle","1","personer","16_19","372"
"befolkning_alder","2015","030104","alle","alle","personer","16_19","756"
"befolkning_alder","2015","030104","befolkningen_ellers","0","personer","16_19","305"
"befolkning_alder","2015","030104","befolkningen_ellers","1","personer","16_19","287"
"befolkning_alder","2015","030104","befolkningen_ellers","alle","personer","16_19","592"
"befolkning_alder","2015","030104","innvandrere","0","personer","16_19","79"
"befolkning_alder","2015","030104","innvandrere","1","personer","16_19","85"
"befolkning_alder","2015","030104","innvandrere","alle","personer","16_19","164"
"befolkning_alder","2015","030105","alle","0","personer","16_19","705"
"befolkning_alder","2015","030105","alle","1","personer","16_19","630"
"befolkning_alder","2015","030105","alle","alle","personer","16_19","1335"
"befolkning_alder","2015","030105","befolkningen_ellers","0","personer","16_19","613"
"befolkning_alder","2015","030105","befolkningen_ellers","1","personer","16_19","537"
"befolkning_alder","2015","030105","befolkningen_ellers","alle","personer","16_19","1150"
"befolkning_alder","2015","030105","innvandrere","0","personer","16_19","92"
"befolkning_alder","2015","030105","innvandrere","1","personer","16_19","93"
"befolkning_alder","2015","030105","innvandrere","alle","personer","16_19","185"
"befolkning_alder","2015","030106","alle","0","personer","16_19","582"
"befolkning_alder","2015","030106","alle","1","personer","16_19","623"
"befolkning_alder","2015","030106","alle","alle","personer","16_19","1205"
"befolkning_alder","2015","030106","befolkningen_ellers","0","personer","16_19","548"
"befolkning_alder","2015","030106","befolkningen_ellers","1","personer","16_19","591"
"befolkning_alder","2015","030106","befolkningen_ellers","alle","personer","16_19","1139"
"befolkning_alder","2015","030106","innvandrere","0","personer","16_19","34"
"befolkning_alder","2015","030106","innvandrere","1","personer","16_19","32"
"befolkning_alder","2015","030106","innvandrere","alle","personer","16_19","66"
"befolkning_alder","2015","030107","alle","0","personer","16_19","1058"
"befolkning_alder","2015","030107","alle","1","personer","16_19","1105"
"befolkning_alder","2015","030107","alle","alle","personer","16_19","2163"
"befolkning_alder","2015","030107","befolkningen_ellers","0","personer","16_19","990"
"befolkning_alder","2015","030107","befolkningen_ellers","1","personer","16_19","1042"
"befolkning_alder","2015","030107","befolkningen_ellers","alle","personer","16_19","2032"
"befolkning_alder","2015","030107","innvandrere","0","personer","16_19","68"
"befolkning_alder","2015","030107","innvandrere","1","personer","16_19","63"
"befolkning_alder","2015","030107","innvandrere","alle","personer","16_19","131"
"befolkning_alder","2015","030108","alle","0","personer","16_19","1066"
"befolkning_alder","2015","030108","alle","1","personer","16_19","1131"
"befolkning_alder","2015","030108","alle","alle","personer","16_19","2197"
"befolkning_alder","2015","030108","befolkningen_ellers","0","personer","16_19","1002"
"befolkning_alder","2015","030108","befolkningen_ellers","1","personer","16_19","1069"
"befolkning_alder","2015","030108","befolkningen_ellers","alle","personer","16_19","2071"
"befolkning_alder","2015","030108","innvandrere","0","personer","16_19","64"
"befolkning_alder","2015","030108","innvandrere","1","personer","16_19","62"
"befolkning_alder","2015","030108","innvandrere","alle","personer","16_19","126"
"befolkning_alder","2015","030109","alle","0","personer","16_19","598"
"befolkning_alder","2015","030109","alle","1","personer","16_19","629"
"befolkning_alder","2015","030109","alle","alle","personer","16_19","1227"
"befolkning_alder","2015","030109","befolkningen_ellers","0","personer","16_19","460"
"befolkning_alder","2015","030109","befolkningen_ellers","1","personer","16_19","489"
"befolkning_alder","2015","030109","befolkningen_ellers","alle","personer","16_19","949"
"befolkning_alder","2015","030109","innvandrere","0","personer","16_19","138"
"befolkning_alder","2015","030109","innvandrere","1","personer","16_19","140"
"befolkning_alder","2015","030109","innvandrere","alle","personer","16_19","278"
"befolkning_alder","2015","030110","alle","0","personer","16_19","628"
"befolkning_alder","2015","030110","alle","1","personer","16_19","695"
"befolkning_alder","2015","030110","alle","alle","personer","16_19","1323"
"befolkning_alder","2015","030110","befolkningen_ellers","0","personer","16_19","491"
"befolkning_alder","2015","030110","befolkningen_ellers","1","personer","16_19","535"
"befolkning_alder","2015","030110","befolkningen_ellers","alle","personer","16_19","1026"
"befolkning_alder","2015","030110","innvandrere","0","personer","16_19","137"
"befolkning_alder","2015","030110","innvandrere","1","personer","16_19","160"
"befolkning_alder","2015","030110","innvandrere","alle","personer","16_19","297"
"befolkning_alder","2015","030111","alle","0","personer","16_19","827"
"befolkning_alder","2015","030111","alle","1","personer","16_19","962"
"befolkning_alder","2015","030111","alle","alle","personer","16_19","1789"
"befolkning_alder","2015","030111","befolkningen_ellers","0","personer","16_19","676"
"befolkning_alder","2015","030111","befolkningen_ellers","1","personer","16_19","779"
"befolkning_alder","2015","030111","befolkningen_ellers","alle","personer","16_19","1455"
"befolkning_alder","2015","030111","innvandrere","0","personer","16_19","151"
"befolkning_alder","2015","030111","innvandrere","1","personer","16_19","183"
"befolkning_alder","2015","030111","innvandrere","alle","personer","16_19","334"
"befolkning_alder","2015","030112","alle","0","personer","16_19","1053"
"befolkning_alder","2015","030112","alle","1","personer","16_19","1162"
