"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"06","bosatt","prosent","2016",".","bosatt_anmodede"
"07","bosatt","prosent","2016",".","bosatt_anmodede"
"08","bosatt","prosent","2016",".","bosatt_anmodede"
"09","bosatt","prosent","2016",".","bosatt_anmodede"
"10","bosatt","prosent","2016",".","bosatt_anmodede"
"11","bosatt","prosent","2016",".","bosatt_anmodede"
"12","bosatt","prosent","2016",".","bosatt_anmodede"
"14","bosatt","prosent","2016",".","bosatt_anmodede"
"15","bosatt","prosent","2016",".","bosatt_anmodede"
"16","bosatt","prosent","2016",".","bosatt_anmodede"
"17","bosatt","prosent","2016",".","bosatt_anmodede"
"18","bosatt","prosent","2016",".","bosatt_anmodede"
"19","bosatt","prosent","2016",".","bosatt_anmodede"
"20","bosatt","prosent","2016",".","bosatt_anmodede"
"99","bosatt","prosent","2016",".","bosatt_anmodede"
"00","bosatt","prosent","2016",".","bosatt_anmodede"
