"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"12","innvandrere","1","kroner","2014","263900","gjennomsnittsinntekt"
"13","innvandrere","1","kroner","2014","262000","gjennomsnittsinntekt"
"14","innvandrere","1","kroner","2014","273100","gjennomsnittsinntekt"
"15","innvandrere","1","kroner","2014","267100","gjennomsnittsinntekt"
"16","innvandrere","1","kroner","2014","276600","gjennomsnittsinntekt"
"17","innvandrere","1","kroner","2014","244300","gjennomsnittsinntekt"
"18","innvandrere","1","kroner","2014","239100","gjennomsnittsinntekt"
"19","innvandrere","1","kroner","2014","238000","gjennomsnittsinntekt"
"20","innvandrere","1","kroner","2014","280100","gjennomsnittsinntekt"
"21","innvandrere","1","kroner","2014","268100","gjennomsnittsinntekt"
"22","innvandrere","1","kroner","2014","314000","gjennomsnittsinntekt"
"23","innvandrere","1","kroner","2014","263000","gjennomsnittsinntekt"
"24","innvandrere","1","kroner","2014","275600","gjennomsnittsinntekt"
"25","innvandrere","1","kroner","2014","274000","gjennomsnittsinntekt"
"26","innvandrere","1","kroner","2014","273500","gjennomsnittsinntekt"
"27","innvandrere","1","kroner","2014","271000","gjennomsnittsinntekt"
"28","innvandrere","1","kroner","2014","226300","gjennomsnittsinntekt"
"29","innvandrere","1","kroner","2014","273900","gjennomsnittsinntekt"
"30","innvandrere","1","kroner","2014","255400","gjennomsnittsinntekt"
"31","innvandrere","1","kroner","2014","260100","gjennomsnittsinntekt"
"32","innvandrere","1","kroner","2014","271500","gjennomsnittsinntekt"
"33","innvandrere","1","kroner","2014","283600","gjennomsnittsinntekt"
"34","innvandrere","1","kroner","2014","271000","gjennomsnittsinntekt"
"35","innvandrere","1","kroner","2014","292700","gjennomsnittsinntekt"
"36","innvandrere","1","kroner","2014","312300","gjennomsnittsinntekt"
"37","innvandrere","1","kroner","2014","270800","gjennomsnittsinntekt"
"38","innvandrere","1","kroner","2014","287500","gjennomsnittsinntekt"
"39","innvandrere","1","kroner","2014","331500","gjennomsnittsinntekt"
"40","innvandrere","1","kroner","2014","293200","gjennomsnittsinntekt"
"41","innvandrere","1","kroner","2014","280000","gjennomsnittsinntekt"
"42","innvandrere","1","kroner","2014","275200","gjennomsnittsinntekt"
"43","innvandrere","1","kroner","2014","261900","gjennomsnittsinntekt"
"44","innvandrere","1","kroner","2014","285600","gjennomsnittsinntekt"
"45","innvandrere","1","kroner","2014","281600","gjennomsnittsinntekt"
"46","innvandrere","1","kroner","2014","284400","gjennomsnittsinntekt"
"47","innvandrere","1","kroner","2014","291600","gjennomsnittsinntekt"
"48","innvandrere","1","kroner","2014","276200","gjennomsnittsinntekt"
"49","innvandrere","1","kroner","2014","279400","gjennomsnittsinntekt"
"50","innvandrere","1","kroner","2014","278900","gjennomsnittsinntekt"
"51","innvandrere","1","kroner","2014","292300","gjennomsnittsinntekt"
"52","innvandrere","1","kroner","2014","270300","gjennomsnittsinntekt"
"53","innvandrere","1","kroner","2014","283500","gjennomsnittsinntekt"
"54","innvandrere","1","kroner","2014","277100","gjennomsnittsinntekt"
"55","innvandrere","1","kroner","2014","288300","gjennomsnittsinntekt"
"56","innvandrere","1","kroner","2014","276800","gjennomsnittsinntekt"
"57","innvandrere","1","kroner","2014","273800","gjennomsnittsinntekt"
"58","innvandrere","1","kroner","2014","287700","gjennomsnittsinntekt"
"59","innvandrere","1","kroner","2014","270500","gjennomsnittsinntekt"
"60","innvandrere","1","kroner","2014","268000","gjennomsnittsinntekt"
"61","innvandrere","1","kroner","2014","289800","gjennomsnittsinntekt"
"62","innvandrere","1","kroner","2014","277500","gjennomsnittsinntekt"
"63","innvandrere","1","kroner","2014","277200","gjennomsnittsinntekt"
"64","innvandrere","1","kroner","2014","256000","gjennomsnittsinntekt"
"65","innvandrere","1","kroner","2014","264900","gjennomsnittsinntekt"
"66","innvandrere","1","kroner","2014","254800","gjennomsnittsinntekt"
"67","innvandrere","1","kroner","2014","277200","gjennomsnittsinntekt"
"68","innvandrere","1","kroner","2014","263500","gjennomsnittsinntekt"
"69","innvandrere","1","kroner","2014","272900","gjennomsnittsinntekt"
"70","innvandrere","1","kroner","2014","274300","gjennomsnittsinntekt"
"71","innvandrere","1","kroner","2014","280200","gjennomsnittsinntekt"
"72","innvandrere","1","kroner","2014","289600","gjennomsnittsinntekt"
"73","innvandrere","1","kroner","2014","294100","gjennomsnittsinntekt"
"74","innvandrere","1","kroner","2014","273300","gjennomsnittsinntekt"
"75","innvandrere","1","kroner","2014","265700","gjennomsnittsinntekt"
"76","innvandrere","1","kroner","2014","251300","gjennomsnittsinntekt"
"77","innvandrere","1","kroner","2014","287000","gjennomsnittsinntekt"
"78","innvandrere","1","kroner","2014","277800","gjennomsnittsinntekt"
"79","innvandrere","1","kroner","2014","291300","gjennomsnittsinntekt"
"80","innvandrere","1","kroner","2014","289200","gjennomsnittsinntekt"
"81","innvandrere","1","kroner","2014","299100","gjennomsnittsinntekt"
"82","innvandrere","1","kroner","2014","288300","gjennomsnittsinntekt"
"83","innvandrere","1","kroner","2014","286200","gjennomsnittsinntekt"
"01","innvandrere","2","kroner","2014","217100","gjennomsnittsinntekt"
