"fylke_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"06","bosatt","prosent","68.6666666666667","bosatt_anmodede","2014"
"07","bosatt","prosent","75.2","bosatt_anmodede","2014"
"08","bosatt","prosent","71.8518518518519","bosatt_anmodede","2014"
"09","bosatt","prosent","72.6315789473684","bosatt_anmodede","2014"
"10","bosatt","prosent","80","bosatt_anmodede","2014"
"11","bosatt","prosent","68.6131386861314","bosatt_anmodede","2014"
"12","bosatt","prosent","69.6581196581197","bosatt_anmodede","2014"
"14","bosatt","prosent","56.4039408866995","bosatt_anmodede","2014"
"15","bosatt","prosent","61.3605442176871","bosatt_anmodede","2014"
"16","bosatt","prosent","74.0298507462687","bosatt_anmodede","2014"
"17","bosatt","prosent","80.7058823529412","bosatt_anmodede","2014"
"18","bosatt","prosent","65.3551912568306","bosatt_anmodede","2014"
"19","bosatt","prosent","64.9523809523809","bosatt_anmodede","2014"
"20","bosatt","prosent","59.0588235294118","bosatt_anmodede","2014"
"99","bosatt","prosent","Inf","bosatt_anmodede","2014"
"00","bosatt","prosent","70.937756310945","bosatt_anmodede","2014"
