"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","10","alle","1","personer","0_5","463"
"befolkning_alder","2015","10","alle","alle","personer","0_5","929"
"befolkning_alder","2015","10","befolkningen_ellers","0","personer","0_5","454"
"befolkning_alder","2015","10","befolkningen_ellers","1","personer","0_5","449"
"befolkning_alder","2015","10","befolkningen_ellers","alle","personer","0_5","903"
"befolkning_alder","2015","10","innvandrere","0","personer","0_5","12"
"befolkning_alder","2015","10","innvandrere","1","personer","0_5","14"
"befolkning_alder","2015","10","innvandrere","alle","personer","0_5","26"
"befolkning_alder","2015","11","alle","0","personer","0_5","1380"
"befolkning_alder","2015","11","alle","1","personer","0_5","1414"
"befolkning_alder","2015","11","alle","alle","personer","0_5","2794"
"befolkning_alder","2015","11","befolkningen_ellers","0","personer","0_5","1351"
"befolkning_alder","2015","11","befolkningen_ellers","1","personer","0_5","1379"
"befolkning_alder","2015","11","befolkningen_ellers","alle","personer","0_5","2730"
"befolkning_alder","2015","11","innvandrere","0","personer","0_5","29"
"befolkning_alder","2015","11","innvandrere","1","personer","0_5","35"
"befolkning_alder","2015","11","innvandrere","alle","personer","0_5","64"
"befolkning_alder","2015","12","alle","0","personer","0_5","2702"
"befolkning_alder","2015","12","alle","1","personer","0_5","3056"
"befolkning_alder","2015","12","alle","alle","personer","0_5","5758"
"befolkning_alder","2015","12","befolkningen_ellers","0","personer","0_5","2634"
"befolkning_alder","2015","12","befolkningen_ellers","1","personer","0_5","2964"
"befolkning_alder","2015","12","befolkningen_ellers","alle","personer","0_5","5598"
"befolkning_alder","2015","12","innvandrere","0","personer","0_5","68"
"befolkning_alder","2015","12","innvandrere","1","personer","0_5","92"
"befolkning_alder","2015","12","innvandrere","alle","personer","0_5","160"
"befolkning_alder","2015","13","alle","0","personer","0_5","1048"
"befolkning_alder","2015","13","alle","1","personer","0_5","1087"
"befolkning_alder","2015","13","alle","alle","personer","0_5","2135"
"befolkning_alder","2015","13","befolkningen_ellers","0","personer","0_5","1017"
