"kommune_nr","aar","bosetting","enhet","tabellvariabel","tabell_navn"
"0617",2015,"anmodning","personer","10","bosatt_anmodede"
"0618",2015,"anmodning","personer","10","bosatt_anmodede"
"0619",2015,"anmodning","personer","10","bosatt_anmodede"
"0620",2015,"anmodning","personer","10","bosatt_anmodede"
"0621",2015,"anmodning","personer","10","bosatt_anmodede"
"0622",2015,"anmodning","personer","10","bosatt_anmodede"
"0623",2015,"anmodning","personer","25","bosatt_anmodede"
"0624",2015,"anmodning","personer","35","bosatt_anmodede"
"0625",2015,"anmodning","personer","45","bosatt_anmodede"
"0626",2015,"anmodning","personer","45","bosatt_anmodede"
"0627",2015,"anmodning","personer","40","bosatt_anmodede"
"0628",2015,"anmodning","personer","20","bosatt_anmodede"
"0631",2015,"anmodning","personer","14","bosatt_anmodede"
"0632",2015,"anmodning","personer","10","bosatt_anmodede"
"0633",2015,"anmodning","personer","10","bosatt_anmodede"
"0701",2015,"anmodning","personer","40","bosatt_anmodede"
"0702",2015,"anmodning","personer","18","bosatt_anmodede"
"0704",2015,"anmodning","personer","55","bosatt_anmodede"
"0706",2015,"anmodning","personer","55","bosatt_anmodede"
"0709",2015,"anmodning","personer","55","bosatt_anmodede"
"0711",2015,"anmodning","personer","15","bosatt_anmodede"
"0713",2015,"anmodning","personer","15","bosatt_anmodede"
"0714",2015,"anmodning","personer","15","bosatt_anmodede"
"0716",2015,"anmodning","personer","25","bosatt_anmodede"
"0719",2015,"anmodning","personer","15","bosatt_anmodede"
"0720",2015,"anmodning","personer","25","bosatt_anmodede"
"0722",2015,"anmodning","personer","30","bosatt_anmodede"
"0723",2015,"anmodning","personer","15","bosatt_anmodede"
"0728",2015,"anmodning","personer","15","bosatt_anmodede"
"0805",2015,"anmodning","personer","90","bosatt_anmodede"
"0806",2015,"anmodning","personer","120","bosatt_anmodede"
"0807",2015,"anmodning","personer","45","bosatt_anmodede"
"0811",2015,"anmodning","personer","10","bosatt_anmodede"
"0814",2015,"anmodning","personer","50","bosatt_anmodede"
"0815",2015,"anmodning","personer","50","bosatt_anmodede"
"0817",2015,"anmodning","personer","15","bosatt_anmodede"
"0819",2015,"anmodning","personer","25","bosatt_anmodede"
"0821",2015,"anmodning","personer","25","bosatt_anmodede"
"0822",2015,"anmodning","personer","27","bosatt_anmodede"
"0826",2015,"anmodning","personer","20","bosatt_anmodede"
"0827",2015,"anmodning","personer","10","bosatt_anmodede"
"0828",2015,"anmodning","personer","15","bosatt_anmodede"
"0829",2015,"anmodning","personer","10","bosatt_anmodede"
"0830",2015,"anmodning","personer","10","bosatt_anmodede"
"0831",2015,"anmodning","personer","10","bosatt_anmodede"
"0833",2015,"anmodning","personer","10","bosatt_anmodede"
"0834",2015,"anmodning","personer","10","bosatt_anmodede"
"0901",2015,"anmodning","personer","30","bosatt_anmodede"
"0904",2015,"anmodning","personer","45","bosatt_anmodede"
"0906",2015,"anmodning","personer","125","bosatt_anmodede"
"0911",2015,"anmodning","personer","15","bosatt_anmodede"
"0912",2015,"anmodning","personer","10","bosatt_anmodede"
"0914",2015,"anmodning","personer","20","bosatt_anmodede"
"0919",2015,"anmodning","personer","15","bosatt_anmodede"
"0926",2015,"anmodning","personer","40","bosatt_anmodede"
"0928",2015,"anmodning","personer","20","bosatt_anmodede"
"0929",2015,"anmodning","personer","15","bosatt_anmodede"
"0935",2015,"anmodning","personer","10","bosatt_anmodede"
"0937",2015,"anmodning","personer","20","bosatt_anmodede"
"0938",2015,"anmodning","personer","10","bosatt_anmodede"
"0940",2015,"anmodning","personer","10","bosatt_anmodede"
"0941",2015,"anmodning","personer","10","bosatt_anmodede"
"1001",2015,"anmodning","personer","210","bosatt_anmodede"
"1002",2015,"anmodning","personer","40","bosatt_anmodede"
"1003",2015,"anmodning","personer","45","bosatt_anmodede"
"1004",2015,"anmodning","personer","40","bosatt_anmodede"
"1014",2015,"anmodning","personer","45","bosatt_anmodede"
"1017",2015,"anmodning","personer","35","bosatt_anmodede"
"1018",2015,"anmodning","personer","45","bosatt_anmodede"
"1021",2015,"anmodning","personer","10","bosatt_anmodede"
"1026",2015,"anmodning","personer","10","bosatt_anmodede"
"1027",2015,"anmodning","personer","10","bosatt_anmodede"
"1029",2015,"anmodning","personer","20","bosatt_anmodede"
"1032",2015,"anmodning","personer","35","bosatt_anmodede"
"1034",2015,"anmodning","personer","10","bosatt_anmodede"
"1037",2015,"anmodning","personer","30","bosatt_anmodede"
"1046",2015,"anmodning","personer","10","bosatt_anmodede"
"1101",2015,"anmodning","personer","35","bosatt_anmodede"
"1102",2015,"anmodning","personer","70","bosatt_anmodede"
"1103",2015,"anmodning","personer","120","bosatt_anmodede"
"1106",2015,"anmodning","personer","60","bosatt_anmodede"
"1111",2015,"anmodning","personer","10","bosatt_anmodede"
"1112",2015,"anmodning","personer","20","bosatt_anmodede"
"1114",2015,"anmodning","personer","10","bosatt_anmodede"
"1119",2015,"anmodning","personer","30","bosatt_anmodede"
"1120",2015,"anmodning","personer","35","bosatt_anmodede"
"1121",2015,"anmodning","personer","35","bosatt_anmodede"
"1122",2015,"anmodning","personer","30","bosatt_anmodede"
"1124",2015,"anmodning","personer","35","bosatt_anmodede"
"1127",2015,"anmodning","personer","30","bosatt_anmodede"
"1129",2015,"anmodning","personer","6","bosatt_anmodede"
"1130",2015,"anmodning","personer","30","bosatt_anmodede"
"1133",2015,"anmodning","personer","20","bosatt_anmodede"
"1134",2015,"anmodning","personer","20","bosatt_anmodede"
"1135",2015,"anmodning","personer","20","bosatt_anmodede"
"1141",2015,"anmodning","personer","10","bosatt_anmodede"
"1142",2015,"anmodning","personer","20","bosatt_anmodede"
"1144",2015,"anmodning","personer","6","bosatt_anmodede"
"1145",2015,"anmodning","personer","6","bosatt_anmodede"
"1146",2015,"anmodning","personer","30","bosatt_anmodede"
"1149",2015,"anmodning","personer","60","bosatt_anmodede"
"1151",2015,"anmodning","personer","6","bosatt_anmodede"
