"tabell_navn","aar","naringsregion_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","10","afrika","person","175"
"befolkning_verdensregion_9","2015","10","sor_og_mellom_amerika","person","21"
"befolkning_verdensregion_9","2015","10","alle","person","1168"
"befolkning_verdensregion_9","2015","11","norden","person","726"
"befolkning_verdensregion_9","2015","11","vest_europa","person","307"
"befolkning_verdensregion_9","2015","11","eu_ost_europa","person","863"
"befolkning_verdensregion_9","2015","11","ost_europa_ellers","person","334"
"befolkning_verdensregion_9","2015","11","nord_amerika_oseania","person","40"
"befolkning_verdensregion_9","2015","11","asia","person","1048"
"befolkning_verdensregion_9","2015","11","afrika","person","489"
"befolkning_verdensregion_9","2015","11","sor_og_mellom_amerika","person","103"
"befolkning_verdensregion_9","2015","11","alle","person","3910"
"befolkning_verdensregion_9","2015","12","norden","person","859"
"befolkning_verdensregion_9","2015","12","vest_europa","person","738"
"befolkning_verdensregion_9","2015","12","eu_ost_europa","person","2180"
"befolkning_verdensregion_9","2015","12","ost_europa_ellers","person","661"
"befolkning_verdensregion_9","2015","12","nord_amerika_oseania","person","114"
"befolkning_verdensregion_9","2015","12","asia","person","1854"
"befolkning_verdensregion_9","2015","12","afrika","person","1103"
"befolkning_verdensregion_9","2015","12","sor_og_mellom_amerika","person","121"
"befolkning_verdensregion_9","2015","12","alle","person","7630"
"befolkning_verdensregion_9","2015","13","norden","person","491"
"befolkning_verdensregion_9","2015","13","vest_europa","person","353"
"befolkning_verdensregion_9","2015","13","eu_ost_europa","person","675"
"befolkning_verdensregion_9","2015","13","ost_europa_ellers","person","279"
"befolkning_verdensregion_9","2015","13","nord_amerika_oseania","person","47"
"befolkning_verdensregion_9","2015","13","asia","person","625"
"befolkning_verdensregion_9","2015","13","afrika","person","547"
"befolkning_verdensregion_9","2015","13","sor_og_mellom_amerika","person","54"
"befolkning_verdensregion_9","2015","13","alle","person","3071"
"befolkning_verdensregion_9","2015","14","norden","person","505"
"befolkning_verdensregion_9","2015","14","vest_europa","person","476"
"befolkning_verdensregion_9","2015","14","eu_ost_europa","person","1715"
"befolkning_verdensregion_9","2015","14","ost_europa_ellers","person","608"
"befolkning_verdensregion_9","2015","14","nord_amerika_oseania","person","69"
"befolkning_verdensregion_9","2015","14","asia","person","1651"
"befolkning_verdensregion_9","2015","14","afrika","person","916"
"befolkning_verdensregion_9","2015","14","sor_og_mellom_amerika","person","84"
"befolkning_verdensregion_9","2015","14","alle","person","6024"
"befolkning_verdensregion_9","2015","15","norden","person","277"
"befolkning_verdensregion_9","2015","15","vest_europa","person","204"
"befolkning_verdensregion_9","2015","15","eu_ost_europa","person","665"
"befolkning_verdensregion_9","2015","15","ost_europa_ellers","person","186"
"befolkning_verdensregion_9","2015","15","nord_amerika_oseania","person","23"
"befolkning_verdensregion_9","2015","15","asia","person","520"
"befolkning_verdensregion_9","2015","15","afrika","person","449"
"befolkning_verdensregion_9","2015","15","sor_og_mellom_amerika","person","69"
"befolkning_verdensregion_9","2015","15","alle","person","2393"
"befolkning_verdensregion_9","2015","16","norden","person","517"
"befolkning_verdensregion_9","2015","16","vest_europa","person","372"
"befolkning_verdensregion_9","2015","16","eu_ost_europa","person","782"
"befolkning_verdensregion_9","2015","16","ost_europa_ellers","person","404"
"befolkning_verdensregion_9","2015","16","nord_amerika_oseania","person","55"
"befolkning_verdensregion_9","2015","16","asia","person","860"
"befolkning_verdensregion_9","2015","16","afrika","person","492"
"befolkning_verdensregion_9","2015","16","sor_og_mellom_amerika","person","28"
"befolkning_verdensregion_9","2015","16","alle","person","3510"
"befolkning_verdensregion_9","2015","17","norden","person","83"
"befolkning_verdensregion_9","2015","17","vest_europa","person","147"
"befolkning_verdensregion_9","2015","17","eu_ost_europa","person","401"
"befolkning_verdensregion_9","2015","17","ost_europa_ellers","person","59"
"befolkning_verdensregion_9","2015","17","nord_amerika_oseania","person","10"
"befolkning_verdensregion_9","2015","17","asia","person","154"
"befolkning_verdensregion_9","2015","17","afrika","person","99"
"befolkning_verdensregion_9","2015","17","sor_og_mellom_amerika","person","3"
"befolkning_verdensregion_9","2015","17","alle","person","956"
"befolkning_verdensregion_9","2015","18","norden","person","77"
"befolkning_verdensregion_9","2015","18","vest_europa","person","140"
"befolkning_verdensregion_9","2015","18","eu_ost_europa","person","341"
