"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"04","vedtak","personer","2015","377","bosatt_anmodede"
"05","vedtak","personer","2015","546","bosatt_anmodede"
"06","vedtak","personer","2015","648","bosatt_anmodede"
"07","vedtak","personer","2015","553","bosatt_anmodede"
"08","vedtak","personer","2015","500","bosatt_anmodede"
"09","vedtak","personer","2015","401","bosatt_anmodede"
"10","vedtak","personer","2015","647","bosatt_anmodede"
"11","vedtak","personer","2015","791","bosatt_anmodede"
"12","vedtak","personer","2015","872","bosatt_anmodede"
"14","vedtak","personer","2015","474","bosatt_anmodede"
"15","vedtak","personer","2015","686","bosatt_anmodede"
"16","vedtak","personer","2015","832","bosatt_anmodede"
"17","vedtak","personer","2015","457","bosatt_anmodede"
"18","vedtak","personer","2015","871","bosatt_anmodede"
"19","vedtak","personer","2015","595","bosatt_anmodede"
"20","vedtak","personer","2015","334","bosatt_anmodede"
"99","vedtak","personer","2015","0","bosatt_anmodede"
"00","vedtak","personer","2015","11719","bosatt_anmodede"
"01","vedtak","personer","2016","689","bosatt_anmodede"
"02","vedtak","personer","2016","1114","bosatt_anmodede"
"03","vedtak","personer","2016","1000","bosatt_anmodede"
"04","vedtak","personer","2016","510","bosatt_anmodede"
"05","vedtak","personer","2016","617","bosatt_anmodede"
"06","vedtak","personer","2016","781","bosatt_anmodede"
"07","vedtak","personer","2016","672","bosatt_anmodede"
"08","vedtak","personer","2016","697","bosatt_anmodede"
"09","vedtak","personer","2016","502","bosatt_anmodede"
"10","vedtak","personer","2016","728","bosatt_anmodede"
"11","vedtak","personer","2016","1273","bosatt_anmodede"
"12","vedtak","personer","2016","1491","bosatt_anmodede"
"14","vedtak","personer","2016","560","bosatt_anmodede"
"15","vedtak","personer","2016","812","bosatt_anmodede"
"16","vedtak","personer","2016","1048","bosatt_anmodede"
"17","vedtak","personer","2016","541","bosatt_anmodede"
"18","vedtak","personer","2016","926","bosatt_anmodede"
"19","vedtak","personer","2016","658","bosatt_anmodede"
"20","vedtak","personer","2016","417","bosatt_anmodede"
"99","vedtak","personer","2016","0","bosatt_anmodede"
"00","vedtak","personer","2016","15036","bosatt_anmodede"
"01","bosatt","personer","2015",".","bosatt_anmodede"
"02","bosatt","personer","2015",".","bosatt_anmodede"
"03","bosatt","personer","2015",".","bosatt_anmodede"
"04","bosatt","personer","2015",".","bosatt_anmodede"
"05","bosatt","personer","2015",".","bosatt_anmodede"
"06","bosatt","personer","2015",".","bosatt_anmodede"
"07","bosatt","personer","2015",".","bosatt_anmodede"
"08","bosatt","personer","2015",".","bosatt_anmodede"
"09","bosatt","personer","2015",".","bosatt_anmodede"
"10","bosatt","personer","2015",".","bosatt_anmodede"
"11","bosatt","personer","2015",".","bosatt_anmodede"
"12","bosatt","personer","2015",".","bosatt_anmodede"
"14","bosatt","personer","2015",".","bosatt_anmodede"
"15","bosatt","personer","2015",".","bosatt_anmodede"
"16","bosatt","personer","2015",".","bosatt_anmodede"
"17","bosatt","personer","2015",".","bosatt_anmodede"
"18","bosatt","personer","2015",".","bosatt_anmodede"
"19","bosatt","personer","2015",".","bosatt_anmodede"
"20","bosatt","personer","2015",".","bosatt_anmodede"
"99","bosatt","personer","2015",".","bosatt_anmodede"
"00","bosatt","personer","2015",".","bosatt_anmodede"
"01","bosatt","personer","2016",".","bosatt_anmodede"
"02","bosatt","personer","2016",".","bosatt_anmodede"
"03","bosatt","personer","2016",".","bosatt_anmodede"
