"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","10","alle","1","personer","0_5","506"
"befolkning_alder","2006","10","alle","alle","personer","0_5","975"
"befolkning_alder","2006","10","befolkningen_ellers","0","personer","0_5","461"
"befolkning_alder","2006","10","befolkningen_ellers","1","personer","0_5","491"
"befolkning_alder","2006","10","befolkningen_ellers","alle","personer","0_5","952"
"befolkning_alder","2006","10","innvandrere","0","personer","0_5","8"
"befolkning_alder","2006","10","innvandrere","1","personer","0_5","15"
"befolkning_alder","2006","10","innvandrere","alle","personer","0_5","23"
"befolkning_alder","2006","11","alle","0","personer","0_5","1548"
"befolkning_alder","2006","11","alle","1","personer","0_5","1594"
"befolkning_alder","2006","11","alle","alle","personer","0_5","3142"
"befolkning_alder","2006","11","befolkningen_ellers","0","personer","0_5","1533"
"befolkning_alder","2006","11","befolkningen_ellers","1","personer","0_5","1582"
"befolkning_alder","2006","11","befolkningen_ellers","alle","personer","0_5","3115"
"befolkning_alder","2006","11","innvandrere","0","personer","0_5","15"
"befolkning_alder","2006","11","innvandrere","1","personer","0_5","12"
"befolkning_alder","2006","11","innvandrere","alle","personer","0_5","27"
"befolkning_alder","2006","12","alle","0","personer","0_5","2731"
"befolkning_alder","2006","12","alle","1","personer","0_5","2835"
"befolkning_alder","2006","12","alle","alle","personer","0_5","5566"
"befolkning_alder","2006","12","befolkningen_ellers","0","personer","0_5","2703"
"befolkning_alder","2006","12","befolkningen_ellers","1","personer","0_5","2805"
"befolkning_alder","2006","12","befolkningen_ellers","alle","personer","0_5","5508"
"befolkning_alder","2006","12","innvandrere","0","personer","0_5","28"
"befolkning_alder","2006","12","innvandrere","1","personer","0_5","30"
"befolkning_alder","2006","12","innvandrere","alle","personer","0_5","58"
"befolkning_alder","2006","13","alle","0","personer","0_5","1111"
"befolkning_alder","2006","13","alle","1","personer","0_5","1136"
"befolkning_alder","2006","13","alle","alle","personer","0_5","2247"
"befolkning_alder","2006","13","befolkningen_ellers","0","personer","0_5","1089"
"befolkning_alder","2006","13","befolkningen_ellers","1","personer","0_5","1114"
"befolkning_alder","2006","13","befolkningen_ellers","alle","personer","0_5","2203"
"befolkning_alder","2006","13","innvandrere","0","personer","0_5","22"
"befolkning_alder","2006","13","innvandrere","1","personer","0_5","22"
"befolkning_alder","2006","13","innvandrere","alle","personer","0_5","44"
"befolkning_alder","2006","14","alle","0","personer","0_5","2122"
"befolkning_alder","2006","14","alle","1","personer","0_5","2268"
"befolkning_alder","2006","14","alle","alle","personer","0_5","4390"
"befolkning_alder","2006","14","befolkningen_ellers","0","personer","0_5","2095"
"befolkning_alder","2006","14","befolkningen_ellers","1","personer","0_5","2232"
"befolkning_alder","2006","14","befolkningen_ellers","alle","personer","0_5","4327"
"befolkning_alder","2006","14","innvandrere","0","personer","0_5","27"
"befolkning_alder","2006","14","innvandrere","1","personer","0_5","36"
"befolkning_alder","2006","14","innvandrere","alle","personer","0_5","63"
"befolkning_alder","2006","15","alle","0","personer","0_5","990"
"befolkning_alder","2006","15","alle","1","personer","0_5","952"
"befolkning_alder","2006","15","alle","alle","personer","0_5","1942"
"befolkning_alder","2006","15","befolkningen_ellers","0","personer","0_5","978"
"befolkning_alder","2006","15","befolkningen_ellers","1","personer","0_5","938"
"befolkning_alder","2006","15","befolkningen_ellers","alle","personer","0_5","1916"
"befolkning_alder","2006","15","innvandrere","0","personer","0_5","12"
