"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"06","bosatt","prosent","2015","110.815602836879","bosatt_anmodede"
"07","bosatt","prosent","2015","130.534351145038","bosatt_anmodede"
"08","bosatt","prosent","2015","95.8333333333333","bosatt_anmodede"
"09","bosatt","prosent","2015","91.6455696202532","bosatt_anmodede"
"10","bosatt","prosent","2015","106.386554621849","bosatt_anmodede"
"11","bosatt","prosent","2015","100.387596899225","bosatt_anmodede"
"12","bosatt","prosent","2015","94.4258639910814","bosatt_anmodede"
"14","bosatt","prosent","2015","121.25340599455","bosatt_anmodede"
"15","bosatt","prosent","2015","92.1515561569689","bosatt_anmodede"
"16","bosatt","prosent","2015","121.492537313433","bosatt_anmodede"
"17","bosatt","prosent","2015","110.47619047619","bosatt_anmodede"
"18","bosatt","prosent","2015","92.5405405405405","bosatt_anmodede"
"19","bosatt","prosent","2015","92.5806451612903","bosatt_anmodede"
"20","bosatt","prosent","2015","73.1764705882353","bosatt_anmodede"
"99","bosatt","prosent","2015","Inf","bosatt_anmodede"
"00","bosatt","prosent","2015","101.403665623603","bosatt_anmodede"
