"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"0612","alle","alle","kroner","2014","370400","gjennomsnittsinntekt"
"0615","alle","alle","kroner","2014","339600","gjennomsnittsinntekt"
"0616","alle","alle","kroner","2014","324000","gjennomsnittsinntekt"
"0617","alle","alle","kroner","2014","328300","gjennomsnittsinntekt"
"0618","alle","alle","kroner","2014","331500","gjennomsnittsinntekt"
"0619","alle","alle","kroner","2014","334200","gjennomsnittsinntekt"
"0620","alle","alle","kroner","2014","342000","gjennomsnittsinntekt"
"0621","alle","alle","kroner","2014","328300","gjennomsnittsinntekt"
"0622","alle","alle","kroner","2014","335800","gjennomsnittsinntekt"
"0623","alle","alle","kroner","2014","326700","gjennomsnittsinntekt"
"0624","alle","alle","kroner","2014","338600","gjennomsnittsinntekt"
"0625","alle","alle","kroner","2014","338100","gjennomsnittsinntekt"
"0626","alle","alle","kroner","2014","372100","gjennomsnittsinntekt"
"0627","alle","alle","kroner","2014","374300","gjennomsnittsinntekt"
"0628","alle","alle","kroner","2014","353500","gjennomsnittsinntekt"
"0631","alle","alle","kroner","2014","342400","gjennomsnittsinntekt"
"0632","alle","alle","kroner","2014","337000","gjennomsnittsinntekt"
"0633","alle","alle","kroner","2014","326100","gjennomsnittsinntekt"
"0701","alle","alle","kroner","2014","331700","gjennomsnittsinntekt"
"0702","alle","alle","kroner","2014","344200","gjennomsnittsinntekt"
"0704","alle","alle","kroner","2014","347100","gjennomsnittsinntekt"
"0706","alle","alle","kroner","2014","332000","gjennomsnittsinntekt"
"0709","alle","alle","kroner","2014","328500","gjennomsnittsinntekt"
"0711","alle","alle","kroner","2014","343600","gjennomsnittsinntekt"
"0713","alle","alle","kroner","2014","349800","gjennomsnittsinntekt"
"0714","alle","alle","kroner","2014","337000","gjennomsnittsinntekt"
"0716","alle","alle","kroner","2014","339800","gjennomsnittsinntekt"
"0719","alle","alle","kroner","2014","329600","gjennomsnittsinntekt"
"0720","alle","alle","kroner","2014","340000","gjennomsnittsinntekt"
"0722","alle","alle","kroner","2014","358300","gjennomsnittsinntekt"
"0723","alle","alle","kroner","2014","340400","gjennomsnittsinntekt"
"0728","alle","alle","kroner","2014","336500","gjennomsnittsinntekt"
"0805","alle","alle","kroner","2014","340100","gjennomsnittsinntekt"
"0806","alle","alle","kroner","2014","329400","gjennomsnittsinntekt"
"0807","alle","alle","kroner","2014","322600","gjennomsnittsinntekt"
"0811","alle","alle","kroner","2014","345500","gjennomsnittsinntekt"
"0814","alle","alle","kroner","2014","348300","gjennomsnittsinntekt"
"0815","alle","alle","kroner","2014","320000","gjennomsnittsinntekt"
"0817","alle","alle","kroner","2014","312500","gjennomsnittsinntekt"
"0819","alle","alle","kroner","2014","322600","gjennomsnittsinntekt"
"0821","alle","alle","kroner","2014","319300","gjennomsnittsinntekt"
"0822","alle","alle","kroner","2014","325700","gjennomsnittsinntekt"
"0826","alle","alle","kroner","2014","327400","gjennomsnittsinntekt"
"0827","alle","alle","kroner","2014","325500","gjennomsnittsinntekt"
"0828","alle","alle","kroner","2014","321800","gjennomsnittsinntekt"
"0829","alle","alle","kroner","2014","322200","gjennomsnittsinntekt"
"0830","alle","alle","kroner","2014","320400","gjennomsnittsinntekt"
"0831","alle","alle","kroner","2014","314900","gjennomsnittsinntekt"
"0833","alle","alle","kroner","2014","333900","gjennomsnittsinntekt"
"0834","alle","alle","kroner","2014","341300","gjennomsnittsinntekt"
"0901","alle","alle","kroner","2014","325900","gjennomsnittsinntekt"
"0904","alle","alle","kroner","2014","332300","gjennomsnittsinntekt"
"0906","alle","alle","kroner","2014","334200","gjennomsnittsinntekt"
"0911","alle","alle","kroner","2014","309500","gjennomsnittsinntekt"
"0912","alle","alle","kroner","2014","313700","gjennomsnittsinntekt"
"0914","alle","alle","kroner","2014","318800","gjennomsnittsinntekt"
"0919","alle","alle","kroner","2014","322600","gjennomsnittsinntekt"
"0926","alle","alle","kroner","2014","351000","gjennomsnittsinntekt"
"0928","alle","alle","kroner","2014","325100","gjennomsnittsinntekt"
"0929","alle","alle","kroner","2014","311200","gjennomsnittsinntekt"
"0935","alle","alle","kroner","2014","316700","gjennomsnittsinntekt"
"0937","alle","alle","kroner","2014","321000","gjennomsnittsinntekt"
"0938","alle","alle","kroner","2014","339300","gjennomsnittsinntekt"
"0940","alle","alle","kroner","2014","342600","gjennomsnittsinntekt"
"0941","alle","alle","kroner","2014","354300","gjennomsnittsinntekt"
"1001","alle","alle","kroner","2014","339900","gjennomsnittsinntekt"
"1002","alle","alle","kroner","2014","332400","gjennomsnittsinntekt"
"1003","alle","alle","kroner","2014","339400","gjennomsnittsinntekt"
"1004","alle","alle","kroner","2014","345200","gjennomsnittsinntekt"
"1014","alle","alle","kroner","2014","323700","gjennomsnittsinntekt"
"1017","alle","alle","kroner","2014","323300","gjennomsnittsinntekt"
"1018","alle","alle","kroner","2014","342500","gjennomsnittsinntekt"
"1021","alle","alle","kroner","2014","325100","gjennomsnittsinntekt"
"1026","alle","alle","kroner","2014","333800","gjennomsnittsinntekt"
"1027","alle","alle","kroner","2014","325300","gjennomsnittsinntekt"
"1029","alle","alle","kroner","2014","316900","gjennomsnittsinntekt"
"1032","alle","alle","kroner","2014","322500","gjennomsnittsinntekt"
"1034","alle","alle","kroner","2014","347000","gjennomsnittsinntekt"
"1037","alle","alle","kroner","2014","331300","gjennomsnittsinntekt"
"1046","alle","alle","kroner","2014","364300","gjennomsnittsinntekt"
"1101","alle","alle","kroner","2014","354100","gjennomsnittsinntekt"
"1102","alle","alle","kroner","2014","379200","gjennomsnittsinntekt"
"1103","alle","alle","kroner","2014","400000","gjennomsnittsinntekt"
"1106","alle","alle","kroner","2014","348400","gjennomsnittsinntekt"
"1111","alle","alle","kroner","2014","348600","gjennomsnittsinntekt"
"1112","alle","alle","kroner","2014","332100","gjennomsnittsinntekt"
"1114","alle","alle","kroner","2014","363500","gjennomsnittsinntekt"
"1119","alle","alle","kroner","2014","352000","gjennomsnittsinntekt"
"1120","alle","alle","kroner","2014","371700","gjennomsnittsinntekt"
"1121","alle","alle","kroner","2014","373900","gjennomsnittsinntekt"
"1122","alle","alle","kroner","2014","365700","gjennomsnittsinntekt"
"1124","alle","alle","kroner","2014","419700","gjennomsnittsinntekt"
"1127","alle","alle","kroner","2014","398200","gjennomsnittsinntekt"
"1129","alle","alle","kroner","2014","352600","gjennomsnittsinntekt"
"1130","alle","alle","kroner","2014","358900","gjennomsnittsinntekt"
"1133","alle","alle","kroner","2014","359200","gjennomsnittsinntekt"
"1134","alle","alle","kroner","2014","346200","gjennomsnittsinntekt"
"1135","alle","alle","kroner","2014","346800","gjennomsnittsinntekt"
"1141","alle","alle","kroner","2014","368800","gjennomsnittsinntekt"
"1142","alle","alle","kroner","2014","399300","gjennomsnittsinntekt"
"1144","alle","alle","kroner","2014","360000","gjennomsnittsinntekt"
"1145","alle","alle","kroner","2014","358500","gjennomsnittsinntekt"
"1146","alle","alle","kroner","2014","357700","gjennomsnittsinntekt"
"1149","alle","alle","kroner","2014","348100","gjennomsnittsinntekt"
"1151","alle","alle","kroner","2014","382000","gjennomsnittsinntekt"
"1160","alle","alle","kroner","2014","352300","gjennomsnittsinntekt"
"1201","alle","alle","kroner","2014","360000","gjennomsnittsinntekt"
"1211","alle","alle","kroner","2014","355200","gjennomsnittsinntekt"
"1216","alle","alle","kroner","2014","344000","gjennomsnittsinntekt"
"1219","alle","alle","kroner","2014","354000","gjennomsnittsinntekt"
"1221","alle","alle","kroner","2014","357200","gjennomsnittsinntekt"
"1222","alle","alle","kroner","2014","347400","gjennomsnittsinntekt"
"1223","alle","alle","kroner","2014","336400","gjennomsnittsinntekt"
"1224","alle","alle","kroner","2014","342300","gjennomsnittsinntekt"
"1227","alle","alle","kroner","2014","340700","gjennomsnittsinntekt"
"1228","alle","alle","kroner","2014","341600","gjennomsnittsinntekt"
"1231","alle","alle","kroner","2014","349600","gjennomsnittsinntekt"
"1232","alle","alle","kroner","2014","345600","gjennomsnittsinntekt"
"1233","alle","alle","kroner","2014","331000","gjennomsnittsinntekt"
"1234","alle","alle","kroner","2014","343600","gjennomsnittsinntekt"
"1235","alle","alle","kroner","2014","341000","gjennomsnittsinntekt"
"1238","alle","alle","kroner","2014","346700","gjennomsnittsinntekt"
"1241","alle","alle","kroner","2014","361400","gjennomsnittsinntekt"
"1242","alle","alle","kroner","2014","361700","gjennomsnittsinntekt"
"1243","alle","alle","kroner","2014","357600","gjennomsnittsinntekt"
"1244","alle","alle","kroner","2014","389500","gjennomsnittsinntekt"
"1245","alle","alle","kroner","2014","355600","gjennomsnittsinntekt"
