"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"19","vedtak","personer","2016","55","bosatt_anmodede"
"20","vedtak","personer","2016","455","bosatt_anmodede"
"21","vedtak","personer","2016","88","bosatt_anmodede"
"22","vedtak","personer","2016","123","bosatt_anmodede"
"23","vedtak","personer","2016","50","bosatt_anmodede"
"24","vedtak","personer","2016","120","bosatt_anmodede"
"25","vedtak","personer","2016","393","bosatt_anmodede"
"26","vedtak","personer","2016","230","bosatt_anmodede"
"27","vedtak","personer","2016","441","bosatt_anmodede"
"28","vedtak","personer","2016","100","bosatt_anmodede"
"29","vedtak","personer","2016","78","bosatt_anmodede"
"30","vedtak","personer","2016","78","bosatt_anmodede"
"31","vedtak","personer","2016","58","bosatt_anmodede"
"32","vedtak","personer","2016","375","bosatt_anmodede"
"33","vedtak","personer","2016","218","bosatt_anmodede"
"34","vedtak","personer","2016","145","bosatt_anmodede"
"35","vedtak","personer","2016","439","bosatt_anmodede"
"36","vedtak","personer","2016","80","bosatt_anmodede"
"37","vedtak","personer","2016","288","bosatt_anmodede"
"38","vedtak","personer","2016","109","bosatt_anmodede"
"39","vedtak","personer","2016","801","bosatt_anmodede"
"40","vedtak","personer","2016","720","bosatt_anmodede"
"41","vedtak","personer","2016","85","bosatt_anmodede"
"42","vedtak","personer","2016","113","bosatt_anmodede"
"43","vedtak","personer","2016","50","bosatt_anmodede"
"44","vedtak","personer","2016","91","bosatt_anmodede"
"45","vedtak","personer","2016","50","bosatt_anmodede"
"46","vedtak","personer","2016","229","bosatt_anmodede"
"47","vedtak","personer","2016","153","bosatt_anmodede"
"48","vedtak","personer","2016","70","bosatt_anmodede"
"49","vedtak","personer","2016","180","bosatt_anmodede"
"50","vedtak","personer","2016","178","bosatt_anmodede"
"51","vedtak","personer","2016","132","bosatt_anmodede"
"52","vedtak","personer","2016","207","bosatt_anmodede"
"53","vedtak","personer","2016","198","bosatt_anmodede"
"54","vedtak","personer","2016","57","bosatt_anmodede"
"55","vedtak","personer","2016","145","bosatt_anmodede"
"56","vedtak","personer","2016","205","bosatt_anmodede"
"57","vedtak","personer","2016","76","bosatt_anmodede"
"58","vedtak","personer","2016","25","bosatt_anmodede"
"59","vedtak","personer","2016","44","bosatt_anmodede"
"60","vedtak","personer","2016","56","bosatt_anmodede"
"61","vedtak","personer","2016","816","bosatt_anmodede"
"62","vedtak","personer","2016","41","bosatt_anmodede"
"63","vedtak","personer","2016","80","bosatt_anmodede"
"64","vedtak","personer","2016","201","bosatt_anmodede"
"65","vedtak","personer","2016","79","bosatt_anmodede"
"66","vedtak","personer","2016","73","bosatt_anmodede"
"67","vedtak","personer","2016","98","bosatt_anmodede"
"68","vedtak","personer","2016","80","bosatt_anmodede"
"69","vedtak","personer","2016","102","bosatt_anmodede"
"70","vedtak","personer","2016","10","bosatt_anmodede"
"71","vedtak","personer","2016","40","bosatt_anmodede"
"72","vedtak","personer","2016","85","bosatt_anmodede"
"73","vedtak","personer","2016","295","bosatt_anmodede"
"74","vedtak","personer","2016","95","bosatt_anmodede"
"75","vedtak","personer","2016","123","bosatt_anmodede"
"76","vedtak","personer","2016","96","bosatt_anmodede"
"77","vedtak","personer","2016","202","bosatt_anmodede"
"78","vedtak","personer","2016","171","bosatt_anmodede"
"79","vedtak","personer","2016","225","bosatt_anmodede"
"80","vedtak","personer","2016","60","bosatt_anmodede"
"81","vedtak","personer","2016","142","bosatt_anmodede"
"82","vedtak","personer","2016","70","bosatt_anmodede"
"83","vedtak","personer","2016","217","bosatt_anmodede"
"99","vedtak","personer","2016","0","bosatt_anmodede"
"01","bosatt","personer","2016",".","bosatt_anmodede"
"02","bosatt","personer","2016",".","bosatt_anmodede"
"03","bosatt","personer","2016",".","bosatt_anmodede"
"04","bosatt","personer","2016",".","bosatt_anmodede"
"05","bosatt","personer","2016",".","bosatt_anmodede"
"06","bosatt","personer","2016",".","bosatt_anmodede"
"07","bosatt","personer","2016",".","bosatt_anmodede"
"08","bosatt","personer","2016",".","bosatt_anmodede"
"09","bosatt","personer","2016",".","bosatt_anmodede"
"10","bosatt","personer","2016",".","bosatt_anmodede"
"11","bosatt","personer","2016",".","bosatt_anmodede"
"12","bosatt","personer","2016",".","bosatt_anmodede"
"13","bosatt","personer","2016",".","bosatt_anmodede"
"14","bosatt","personer","2016",".","bosatt_anmodede"
"15","bosatt","personer","2016",".","bosatt_anmodede"
"16","bosatt","personer","2016",".","bosatt_anmodede"
"17","bosatt","personer","2016",".","bosatt_anmodede"
"18","bosatt","personer","2016",".","bosatt_anmodede"
"19","bosatt","personer","2016",".","bosatt_anmodede"
"20","bosatt","personer","2016",".","bosatt_anmodede"
"21","bosatt","personer","2016",".","bosatt_anmodede"
"22","bosatt","personer","2016",".","bosatt_anmodede"
"23","bosatt","personer","2016",".","bosatt_anmodede"
"24","bosatt","personer","2016",".","bosatt_anmodede"
"25","bosatt","personer","2016",".","bosatt_anmodede"
"26","bosatt","personer","2016",".","bosatt_anmodede"
"27","bosatt","personer","2016",".","bosatt_anmodede"
"28","bosatt","personer","2016",".","bosatt_anmodede"
"29","bosatt","personer","2016",".","bosatt_anmodede"
"30","bosatt","personer","2016",".","bosatt_anmodede"
"31","bosatt","personer","2016",".","bosatt_anmodede"
"32","bosatt","personer","2016",".","bosatt_anmodede"
"33","bosatt","personer","2016",".","bosatt_anmodede"
"34","bosatt","personer","2016",".","bosatt_anmodede"
"35","bosatt","personer","2016",".","bosatt_anmodede"
"36","bosatt","personer","2016",".","bosatt_anmodede"
"37","bosatt","personer","2016",".","bosatt_anmodede"
"38","bosatt","personer","2016",".","bosatt_anmodede"
"39","bosatt","personer","2016",".","bosatt_anmodede"
"40","bosatt","personer","2016",".","bosatt_anmodede"
"41","bosatt","personer","2016",".","bosatt_anmodede"
"42","bosatt","personer","2016",".","bosatt_anmodede"
"43","bosatt","personer","2016",".","bosatt_anmodede"
"44","bosatt","personer","2016",".","bosatt_anmodede"
"45","bosatt","personer","2016",".","bosatt_anmodede"
"46","bosatt","personer","2016",".","bosatt_anmodede"
"47","bosatt","personer","2016",".","bosatt_anmodede"
"48","bosatt","personer","2016",".","bosatt_anmodede"
"49","bosatt","personer","2016",".","bosatt_anmodede"
"50","bosatt","personer","2016",".","bosatt_anmodede"
"51","bosatt","personer","2016",".","bosatt_anmodede"
"52","bosatt","personer","2016",".","bosatt_anmodede"
"53","bosatt","personer","2016",".","bosatt_anmodede"
"54","bosatt","personer","2016",".","bosatt_anmodede"
"55","bosatt","personer","2016",".","bosatt_anmodede"
"56","bosatt","personer","2016",".","bosatt_anmodede"
"57","bosatt","personer","2016",".","bosatt_anmodede"
"58","bosatt","personer","2016",".","bosatt_anmodede"
"59","bosatt","personer","2016",".","bosatt_anmodede"
"60","bosatt","personer","2016",".","bosatt_anmodede"
"61","bosatt","personer","2016",".","bosatt_anmodede"
"62","bosatt","personer","2016",".","bosatt_anmodede"
"63","bosatt","personer","2016",".","bosatt_anmodede"
"64","bosatt","personer","2016",".","bosatt_anmodede"
"65","bosatt","personer","2016",".","bosatt_anmodede"
"66","bosatt","personer","2016",".","bosatt_anmodede"
"67","bosatt","personer","2016",".","bosatt_anmodede"
"68","bosatt","personer","2016",".","bosatt_anmodede"
"69","bosatt","personer","2016",".","bosatt_anmodede"
"70","bosatt","personer","2016",".","bosatt_anmodede"
"71","bosatt","personer","2016",".","bosatt_anmodede"
"72","bosatt","personer","2016",".","bosatt_anmodede"
"73","bosatt","personer","2016",".","bosatt_anmodede"
"74","bosatt","personer","2016",".","bosatt_anmodede"
"75","bosatt","personer","2016",".","bosatt_anmodede"
"76","bosatt","personer","2016",".","bosatt_anmodede"
"77","bosatt","personer","2016",".","bosatt_anmodede"
"78","bosatt","personer","2016",".","bosatt_anmodede"
"79","bosatt","personer","2016",".","bosatt_anmodede"
"80","bosatt","personer","2016",".","bosatt_anmodede"
"81","bosatt","personer","2016",".","bosatt_anmodede"
"82","bosatt","personer","2016",".","bosatt_anmodede"
"83","bosatt","personer","2016",".","bosatt_anmodede"
"99","bosatt","personer","2016",".","bosatt_anmodede"
"01","anmodning","prosent","2016","100","bosatt_anmodede"
"02","anmodning","prosent","2016","100","bosatt_anmodede"
"03","anmodning","prosent","2016","100","bosatt_anmodede"
"04","anmodning","prosent","2016","100","bosatt_anmodede"
"05","anmodning","prosent","2016","100","bosatt_anmodede"
"06","anmodning","prosent","2016","100","bosatt_anmodede"
"07","anmodning","prosent","2016","100","bosatt_anmodede"
"08","anmodning","prosent","2016","100","bosatt_anmodede"
