"kommune_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"0706","bosatt","2015","personer",".","bosetting_anmodede"
"0709","bosatt","2015","personer",".","bosetting_anmodede"
"0711","bosatt","2015","personer",".","bosetting_anmodede"
"0713","bosatt","2015","personer",".","bosetting_anmodede"
"0714","bosatt","2015","personer",".","bosetting_anmodede"
"0716","bosatt","2015","personer",".","bosetting_anmodede"
"0719","bosatt","2015","personer",".","bosetting_anmodede"
"0720","bosatt","2015","personer",".","bosetting_anmodede"
"0722","bosatt","2015","personer",".","bosetting_anmodede"
"0723","bosatt","2015","personer",".","bosetting_anmodede"
"0728","bosatt","2015","personer",".","bosetting_anmodede"
"0805","bosatt","2015","personer",".","bosetting_anmodede"
"0806","bosatt","2015","personer",".","bosetting_anmodede"
"0807","bosatt","2015","personer",".","bosetting_anmodede"
"0811","bosatt","2015","personer",".","bosetting_anmodede"
"0814","bosatt","2015","personer",".","bosetting_anmodede"
"0815","bosatt","2015","personer",".","bosetting_anmodede"
"0817","bosatt","2015","personer",".","bosetting_anmodede"
"0819","bosatt","2015","personer",".","bosetting_anmodede"
"0821","bosatt","2015","personer",".","bosetting_anmodede"
"0822","bosatt","2015","personer",".","bosetting_anmodede"
"0826","bosatt","2015","personer",".","bosetting_anmodede"
"0827","bosatt","2015","personer",".","bosetting_anmodede"
"0828","bosatt","2015","personer",".","bosetting_anmodede"
"0829","bosatt","2015","personer",".","bosetting_anmodede"
"0830","bosatt","2015","personer",".","bosetting_anmodede"
"0831","bosatt","2015","personer",".","bosetting_anmodede"
"0833","bosatt","2015","personer",".","bosetting_anmodede"
"0834","bosatt","2015","personer",".","bosetting_anmodede"
"0901","bosatt","2015","personer",".","bosetting_anmodede"
"0904","bosatt","2015","personer",".","bosetting_anmodede"
"0906","bosatt","2015","personer",".","bosetting_anmodede"
"0911","bosatt","2015","personer",".","bosetting_anmodede"
"0912","bosatt","2015","personer",".","bosetting_anmodede"
"0914","bosatt","2015","personer",".","bosetting_anmodede"
"0919","bosatt","2015","personer",".","bosetting_anmodede"
"0926","bosatt","2015","personer",".","bosetting_anmodede"
"0928","bosatt","2015","personer",".","bosetting_anmodede"
"0929","bosatt","2015","personer",".","bosetting_anmodede"
"0935","bosatt","2015","personer",".","bosetting_anmodede"
"0937","bosatt","2015","personer",".","bosetting_anmodede"
"0938","bosatt","2015","personer",".","bosetting_anmodede"
"0940","bosatt","2015","personer",".","bosetting_anmodede"
"0941","bosatt","2015","personer",".","bosetting_anmodede"
"1001","bosatt","2015","personer",".","bosetting_anmodede"
"1002","bosatt","2015","personer",".","bosetting_anmodede"
"1003","bosatt","2015","personer",".","bosetting_anmodede"
"1004","bosatt","2015","personer",".","bosetting_anmodede"
"1014","bosatt","2015","personer",".","bosetting_anmodede"
"1017","bosatt","2015","personer",".","bosetting_anmodede"
"1018","bosatt","2015","personer",".","bosetting_anmodede"
"1021","bosatt","2015","personer",".","bosetting_anmodede"
"1026","bosatt","2015","personer",".","bosetting_anmodede"
"1027","bosatt","2015","personer",".","bosetting_anmodede"
"1029","bosatt","2015","personer",".","bosetting_anmodede"
"1032","bosatt","2015","personer",".","bosetting_anmodede"
"1034","bosatt","2015","personer",".","bosetting_anmodede"
"1037","bosatt","2015","personer",".","bosetting_anmodede"
"1046","bosatt","2015","personer",".","bosetting_anmodede"
"1101","bosatt","2015","personer",".","bosetting_anmodede"
"1102","bosatt","2015","personer",".","bosetting_anmodede"
"1103","bosatt","2015","personer",".","bosetting_anmodede"
"1106","bosatt","2015","personer",".","bosetting_anmodede"
"1111","bosatt","2015","personer",".","bosetting_anmodede"
"1112","bosatt","2015","personer",".","bosetting_anmodede"
"1114","bosatt","2015","personer",".","bosetting_anmodede"
"1119","bosatt","2015","personer",".","bosetting_anmodede"
"1120","bosatt","2015","personer",".","bosetting_anmodede"
"1121","bosatt","2015","personer",".","bosetting_anmodede"
"1122","bosatt","2015","personer",".","bosetting_anmodede"
"1124","bosatt","2015","personer",".","bosetting_anmodede"
"1127","bosatt","2015","personer",".","bosetting_anmodede"
"1129","bosatt","2015","personer",".","bosetting_anmodede"
"1130","bosatt","2015","personer",".","bosetting_anmodede"
"1133","bosatt","2015","personer",".","bosetting_anmodede"
"1134","bosatt","2015","personer",".","bosetting_anmodede"
"1135","bosatt","2015","personer",".","bosetting_anmodede"
"1141","bosatt","2015","personer",".","bosetting_anmodede"
"1142","bosatt","2015","personer",".","bosetting_anmodede"
"1144","bosatt","2015","personer",".","bosetting_anmodede"
"1145","bosatt","2015","personer",".","bosetting_anmodede"
"1146","bosatt","2015","personer",".","bosetting_anmodede"
"1149","bosatt","2015","personer",".","bosetting_anmodede"
"1151","bosatt","2015","personer",".","bosetting_anmodede"
"1160","bosatt","2015","personer",".","bosetting_anmodede"
"1201","bosatt","2015","personer",".","bosetting_anmodede"
"1211","bosatt","2015","personer",".","bosetting_anmodede"
"1216","bosatt","2015","personer",".","bosetting_anmodede"
"1219","bosatt","2015","personer",".","bosetting_anmodede"
"1221","bosatt","2015","personer",".","bosetting_anmodede"
"1222","bosatt","2015","personer",".","bosetting_anmodede"
"1223","bosatt","2015","personer",".","bosetting_anmodede"
"1224","bosatt","2015","personer",".","bosetting_anmodede"
"1227","bosatt","2015","personer",".","bosetting_anmodede"
"1228","bosatt","2015","personer",".","bosetting_anmodede"
"1231","bosatt","2015","personer",".","bosetting_anmodede"
"1232","bosatt","2015","personer",".","bosetting_anmodede"
"1233","bosatt","2015","personer",".","bosetting_anmodede"
"1234","bosatt","2015","personer",".","bosetting_anmodede"
"1235","bosatt","2015","personer",".","bosetting_anmodede"
"1238","bosatt","2015","personer",".","bosetting_anmodede"
"1241","bosatt","2015","personer",".","bosetting_anmodede"
"1242","bosatt","2015","personer",".","bosetting_anmodede"
"1243","bosatt","2015","personer",".","bosetting_anmodede"
"1244","bosatt","2015","personer",".","bosetting_anmodede"
"1245","bosatt","2015","personer",".","bosetting_anmodede"
"1246","bosatt","2015","personer",".","bosetting_anmodede"
"1247","bosatt","2015","personer",".","bosetting_anmodede"
"1251","bosatt","2015","personer",".","bosetting_anmodede"
"1252","bosatt","2015","personer",".","bosetting_anmodede"
"1253","bosatt","2015","personer",".","bosetting_anmodede"
"1256","bosatt","2015","personer",".","bosetting_anmodede"
"1259","bosatt","2015","personer",".","bosetting_anmodede"
"1260","bosatt","2015","personer",".","bosetting_anmodede"
"1263","bosatt","2015","personer",".","bosetting_anmodede"
"1264","bosatt","2015","personer",".","bosetting_anmodede"
"1265","bosatt","2015","personer",".","bosetting_anmodede"
"1266","bosatt","2015","personer",".","bosetting_anmodede"
"1401","bosatt","2015","personer",".","bosetting_anmodede"
"1411","bosatt","2015","personer",".","bosetting_anmodede"
"1412","bosatt","2015","personer",".","bosetting_anmodede"
"1413","bosatt","2015","personer",".","bosetting_anmodede"
"1416","bosatt","2015","personer",".","bosetting_anmodede"
"1417","bosatt","2015","personer",".","bosetting_anmodede"
"1418","bosatt","2015","personer",".","bosetting_anmodede"
"1419","bosatt","2015","personer",".","bosetting_anmodede"
"1420","bosatt","2015","personer",".","bosetting_anmodede"
"1421","bosatt","2015","personer",".","bosetting_anmodede"
"1422","bosatt","2015","personer",".","bosetting_anmodede"
"1424","bosatt","2015","personer",".","bosetting_anmodede"
"1426","bosatt","2015","personer",".","bosetting_anmodede"
"1428","bosatt","2015","personer",".","bosetting_anmodede"
"1429","bosatt","2015","personer",".","bosetting_anmodede"
"1430","bosatt","2015","personer",".","bosetting_anmodede"
"1431","bosatt","2015","personer",".","bosetting_anmodede"
"1432","bosatt","2015","personer",".","bosetting_anmodede"
"1433","bosatt","2015","personer",".","bosetting_anmodede"
"1438","bosatt","2015","personer",".","bosetting_anmodede"
"1439","bosatt","2015","personer",".","bosetting_anmodede"
"1441","bosatt","2015","personer",".","bosetting_anmodede"
"1443","bosatt","2015","personer",".","bosetting_anmodede"
"1444","bosatt","2015","personer",".","bosetting_anmodede"
"1445","bosatt","2015","personer",".","bosetting_anmodede"
"1449","bosatt","2015","personer",".","bosetting_anmodede"
"1502","bosatt","2015","personer",".","bosetting_anmodede"
"1504","bosatt","2015","personer",".","bosetting_anmodede"
"1505","bosatt","2015","personer",".","bosetting_anmodede"
"1511","bosatt","2015","personer",".","bosetting_anmodede"
"1514","bosatt","2015","personer",".","bosetting_anmodede"
"1515","bosatt","2015","personer",".","bosetting_anmodede"
"1516","bosatt","2015","personer",".","bosetting_anmodede"
"1517","bosatt","2015","personer",".","bosetting_anmodede"
"1519","bosatt","2015","personer",".","bosetting_anmodede"
"1520","bosatt","2015","personer",".","bosetting_anmodede"
"1523","bosatt","2015","personer",".","bosetting_anmodede"
"1524","bosatt","2015","personer",".","bosetting_anmodede"
"1525","bosatt","2015","personer",".","bosetting_anmodede"
"1526","bosatt","2015","personer",".","bosetting_anmodede"
"1528","bosatt","2015","personer",".","bosetting_anmodede"
"1529","bosatt","2015","personer",".","bosetting_anmodede"
"1531","bosatt","2015","personer",".","bosetting_anmodede"
"1532","bosatt","2015","personer",".","bosetting_anmodede"
"1534","bosatt","2015","personer",".","bosetting_anmodede"
"1535","bosatt","2015","personer",".","bosetting_anmodede"
"1539","bosatt","2015","personer",".","bosetting_anmodede"
"1543","bosatt","2015","personer",".","bosetting_anmodede"
"1545","bosatt","2015","personer",".","bosetting_anmodede"
"1546","bosatt","2015","personer",".","bosetting_anmodede"
"1547","bosatt","2015","personer",".","bosetting_anmodede"
"1548","bosatt","2015","personer",".","bosetting_anmodede"
"1551","bosatt","2015","personer",".","bosetting_anmodede"
"1554","bosatt","2015","personer",".","bosetting_anmodede"
"1557","bosatt","2015","personer",".","bosetting_anmodede"
"1560","bosatt","2015","personer",".","bosetting_anmodede"
"1563","bosatt","2015","personer",".","bosetting_anmodede"
"1566","bosatt","2015","personer",".","bosetting_anmodede"
"1567","bosatt","2015","personer",".","bosetting_anmodede"
"1571","bosatt","2015","personer",".","bosetting_anmodede"
"1573","bosatt","2015","personer",".","bosetting_anmodede"
"1576","bosatt","2015","personer",".","bosetting_anmodede"
"1601","bosatt","2015","personer",".","bosetting_anmodede"
"1612","bosatt","2015","personer",".","bosetting_anmodede"
"1613","bosatt","2015","personer",".","bosetting_anmodede"
"1617","bosatt","2015","personer",".","bosetting_anmodede"
"1620","bosatt","2015","personer",".","bosetting_anmodede"
"1621","bosatt","2015","personer",".","bosetting_anmodede"
"1622","bosatt","2015","personer",".","bosetting_anmodede"
"1624","bosatt","2015","personer",".","bosetting_anmodede"
"1627","bosatt","2015","personer",".","bosetting_anmodede"
"1630","bosatt","2015","personer",".","bosetting_anmodede"
"1632","bosatt","2015","personer",".","bosetting_anmodede"
"1633","bosatt","2015","personer",".","bosetting_anmodede"
"1634","bosatt","2015","personer",".","bosetting_anmodede"
"1635","bosatt","2015","personer",".","bosetting_anmodede"
"1636","bosatt","2015","personer",".","bosetting_anmodede"
"1638","bosatt","2015","personer",".","bosetting_anmodede"
"1640","bosatt","2015","personer",".","bosetting_anmodede"
"1644","bosatt","2015","personer",".","bosetting_anmodede"
"1648","bosatt","2015","personer",".","bosetting_anmodede"
"1653","bosatt","2015","personer",".","bosetting_anmodede"
