"tabell_navn","aar","fylke_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","12","norden","person","4111"
"befolkning_verdensregion_9","2015","12","vest_europa","person","7210"
"befolkning_verdensregion_9","2015","12","eu_ost_europa","person","20011"
"befolkning_verdensregion_9","2015","12","ost_europa_ellers","person","3402"
"befolkning_verdensregion_9","2015","12","nord_amerika_oseania","person","1237"
"befolkning_verdensregion_9","2015","12","asia","person","13373"
"befolkning_verdensregion_9","2015","12","afrika","person","6657"
"befolkning_verdensregion_9","2015","12","sor_og_mellom_amerika","person","2632"
"befolkning_verdensregion_9","2015","12","alle","person","58633"
"befolkning_verdensregion_9","2015","14","norden","person","882"
"befolkning_verdensregion_9","2015","14","vest_europa","person","1352"
"befolkning_verdensregion_9","2015","14","eu_ost_europa","person","3937"
"befolkning_verdensregion_9","2015","14","ost_europa_ellers","person","514"
"befolkning_verdensregion_9","2015","14","nord_amerika_oseania","person","121"
"befolkning_verdensregion_9","2015","14","asia","person","1523"
"befolkning_verdensregion_9","2015","14","afrika","person","1335"
"befolkning_verdensregion_9","2015","14","sor_og_mellom_amerika","person","330"
"befolkning_verdensregion_9","2015","14","alle","person","9994"
"befolkning_verdensregion_9","2015","15","norden","person","1832"
"befolkning_verdensregion_9","2015","15","vest_europa","person","3278"
"befolkning_verdensregion_9","2015","15","eu_ost_europa","person","11277"
"befolkning_verdensregion_9","2015","15","ost_europa_ellers","person","1666"
"befolkning_verdensregion_9","2015","15","nord_amerika_oseania","person","364"
"befolkning_verdensregion_9","2015","15","asia","person","5134"
"befolkning_verdensregion_9","2015","15","afrika","person","2517"
"befolkning_verdensregion_9","2015","15","sor_og_mellom_amerika","person","689"
"befolkning_verdensregion_9","2015","15","alle","person","26757"
"befolkning_verdensregion_9","2015","16","norden","person","2661"
"befolkning_verdensregion_9","2015","16","vest_europa","person","3690"
"befolkning_verdensregion_9","2015","16","eu_ost_europa","person","8322"
"befolkning_verdensregion_9","2015","16","ost_europa_ellers","person","2177"
"befolkning_verdensregion_9","2015","16","nord_amerika_oseania","person","598"
"befolkning_verdensregion_9","2015","16","asia","person","8073"
"befolkning_verdensregion_9","2015","16","afrika","person","3476"
"befolkning_verdensregion_9","2015","16","sor_og_mellom_amerika","person","1036"
"befolkning_verdensregion_9","2015","16","alle","person","30033"
"befolkning_verdensregion_9","2015","17","norden","person","876"
"befolkning_verdensregion_9","2015","17","vest_europa","person","777"
"befolkning_verdensregion_9","2015","17","eu_ost_europa","person","2500"
"befolkning_verdensregion_9","2015","17","ost_europa_ellers","person","566"
"befolkning_verdensregion_9","2015","17","nord_amerika_oseania","person","114"
"befolkning_verdensregion_9","2015","17","asia","person","2113"
"befolkning_verdensregion_9","2015","17","afrika","person","1815"
"befolkning_verdensregion_9","2015","17","sor_og_mellom_amerika","person","173"
"befolkning_verdensregion_9","2015","17","alle","person","8934"
"befolkning_verdensregion_9","2015","18","norden","person","2046"
"befolkning_verdensregion_9","2015","18","vest_europa","person","1674"
"befolkning_verdensregion_9","2015","18","eu_ost_europa","person","5081"
"befolkning_verdensregion_9","2015","18","ost_europa_ellers","person","1520"
"befolkning_verdensregion_9","2015","18","nord_amerika_oseania","person","233"
"befolkning_verdensregion_9","2015","18","asia","person","4503"
"befolkning_verdensregion_9","2015","18","afrika","person","3563"
"befolkning_verdensregion_9","2015","18","sor_og_mellom_amerika","person","378"
"befolkning_verdensregion_9","2015","18","alle","person","18998"
"befolkning_verdensregion_9","2015","19","norden","person","2034"
"befolkning_verdensregion_9","2015","19","vest_europa","person","1996"
"befolkning_verdensregion_9","2015","19","eu_ost_europa","person","3564"
"befolkning_verdensregion_9","2015","19","ost_europa_ellers","person","1206"
"befolkning_verdensregion_9","2015","19","nord_amerika_oseania","person","257"
"befolkning_verdensregion_9","2015","19","asia","person","3043"
"befolkning_verdensregion_9","2015","19","afrika","person","2635"
"befolkning_verdensregion_9","2015","19","sor_og_mellom_amerika","person","345"
"befolkning_verdensregion_9","2015","19","alle","person","15080"
"befolkning_verdensregion_9","2015","20","norden","person","1658"
"befolkning_verdensregion_9","2015","20","vest_europa","person","557"
"befolkning_verdensregion_9","2015","20","eu_ost_europa","person","2504"
"befolkning_verdensregion_9","2015","20","ost_europa_ellers","person","1356"
"befolkning_verdensregion_9","2015","20","nord_amerika_oseania","person","75"
"befolkning_verdensregion_9","2015","20","asia","person","1771"
"befolkning_verdensregion_9","2015","20","afrika","person","947"
"befolkning_verdensregion_9","2015","20","sor_og_mellom_amerika","person","122"
"befolkning_verdensregion_9","2015","20","alle","person","8990"
"befolkning_verdensregion_9","2015","00","norden","person","72078"
"befolkning_verdensregion_9","2015","00","vest_europa","person","70297"
"befolkning_verdensregion_9","2015","00","eu_ost_europa","person","172391"
"befolkning_verdensregion_9","2015","00","ost_europa_ellers","person","54057"
"befolkning_verdensregion_9","2015","00","nord_amerika_oseania","person","12201"
"befolkning_verdensregion_9","2015","00","asia","person","187649"
"befolkning_verdensregion_9","2015","00","afrika","person","79817"
"befolkning_verdensregion_9","2015","00","sor_og_mellom_amerika","person","20776"
"befolkning_verdensregion_9","2015","00","alle","person","669266"
