;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;26733;1527;25206;254;24952;100;5,712041297;94,2879587;0,950136535;93,33782217;13154;727;12427;132;12295;49,20510231;2,71948528;46,48561703;0,493771743;45,99184528;13579;800;12779;122;12657;50,79489769;2,992556017;47,80234168;0,456364793;47,34597688
02 Indre ùstfold;52585;2254;50331;406;49925;100;4,286393458;95,71360654;0,772083294;94,94152325;26093;1127;24966;207;24759;49,62061424;2,143196729;47,47741751;0,393648379;47,08376914;26492;1127;25365;199;25166;50,37938576;2,143196729;48,23618903;0,378434915;47,85775411
03 Mosseregionen;50197;3030;47167;816;46351;100;6,036217304;93,9637827;1,625595155;92,33818754;24733;1468;23265;452;22813;49,27186884;2,924477558;46,34739128;0,900452218;45,44693906;25464;1562;23902;364;23538;50,72813116;3,111739745;47,61639142;0,725142937;46,89124848
04 Nedre Glomma;118702;5279;113423;760;112663;100;4,447271318;95,55272868;0,640258799;94,91246988;57928;2557;55371;411;54960;48,80119964;2,154133881;46,64706576;0,346245219;46,30082054;60774;2722;58052;349;57703;51,19880036;2,293137437;48,90566292;0,29401358;48,61164934
05 Akershus Vest;150778;12109;138669;1767;136902;100;8,031012482;91,96898752;1,171921633;90,79706588;73506;5426;68080;890;67190;48,75114407;3,598668241;45,15247583;0,59027179;44,56220404;77272;6683;70589;877;69712;51,24885593;4,432344241;46,81651169;0,581649843;46,23486185
06 Follo;110830;6575;104255;936;103319;100;5,932509248;94,06749075;0,844536678;93,22295407;55059;3111;51948;501;51447;49,67878733;2,807001714;46,87178562;0,45204367;46,41974195;55771;3464;52307;435;51872;50,32121267;3,125507534;47,19570513;0,392493007;46,80321213
07 Nedre Romerike;135303;7446;127857;1712;126145;100;5,50320392;94,49679608;1,265308234;93,23148785;67296;3547;63749;867;62882;49,73725638;2,621523543;47,11573284;0,640784018;46,47494882;68007;3899;64108;845;63263;50,26274362;2,881680377;47,38106324;0,624524216;46,75653903
08 ùvre Romerike;70141;2319;67822;269;67553;100;3,306197516;96,69380248;0,383513209;96,31028927;35153;1097;34056;129;33927;50,11762022;1,563992529;48,55362769;0,183915256;48,36971244;34988;1222;33766;140;33626;49,88237978;1,742204987;48,14017479;0,199597953;47,94057684
