;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;30328;3096;27232;812;26420;100;10,20838829;89,79161171;2,677393827;87,11421788;15170;1541;13629;428;13201;50,0197837;5,081113163;44,93867054;1,411237141;43,52743339;15158;1555;13603;384;13219;49,9802163;5,127275125;44,85294118;1,266156687;43,58678449
02 Indre ùstfold;60689;7265;53424;1536;51888;100;11,97086787;88,02913213;2,530936414;85,49819572;30547;3821;26726;801;25925;50,33366837;6,296033878;44,0376345;1,319843794;42,7177907;30142;3444;26698;735;25963;49,66633163;5,67483399;43,99149764;1,21109262;42,78040502
03 Mosseregionen;59350;7632;51718;1882;49836;100;12,85930918;87,14069082;3,171019377;83,96967144;29705;3998;25707;1012;24695;50,0505476;6,736310025;43,31423757;1,705139006;41,60909857;29645;3634;26011;870;25141;49,9494524;6,122999158;43,82645324;1,465880371;42,36057287
04 Nedre Glomma;136831;17034;119797;4266;115531;100;12,44893336;87,55106664;3,117714553;84,43335209;68040;8818;59222;2237;56985;49,72557388;6,444446069;43,28112781;1,634863445;41,64626437;68791;8216;60575;2029;58546;50,27442612;6,004487287;44,26993883;1,482851108;42,78708772
05 Akershus Vest;180256;29376;150880;5419;145461;100;16,2968223;83,7031777;3,006279957;80,69689775;89154;14813;74341;2740;71601;49,45965738;8,217756968;41,24190041;1,520060359;39,72184005;91102;14563;76539;2679;73860;50,54034262;8,079065329;42,46127729;1,486219599;40,9750577
06 Follo;135956;17146;118810;3379;115431;100;12,61143311;87,38856689;2,485362912;84,90320398;67774;8857;58917;1764;57153;49,84995145;6,514607667;43,33534379;1,297478596;42,03786519;68182;8289;59893;1615;58278;50,15004855;6,096825444;44,0532231;1,187884316;42,86533879
07 Nedre Romerike;170769;26399;144370;7846;136524;100;15,45889476;84,54110524;4,594510713;79,94659452;85965;14040;71925;4035;67890;50,33993289;8,221632732;42,11830016;2,362841031;39,75545913;84804;12359;72445;3811;68634;49,66006711;7,237262032;42,42280508;2,231669682;40,19113539
08 ùvre Romerike;97918;12589;85329;2545;82784;100;12,85667599;87,14332401;2,599113544;84,54421046;49643;6639;43004;1324;41680;50,69854368;6,780162994;43,91838069;1,3521518;42,56622889;48275;5950;42325;1221;41104;49,30145632;6,076513001;43,22494332;1,246961743;41,97798158
