;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;25831;1037;24794;119;24675;100;4,014556153;95,98544385;0,460686772;95,52475707;12708;511;12197;70;12127;49,19670164;1,978243196;47,21845844;0,270992219;46,94746622;13123;526;12597;49;12548;50,80329836;2,036312957;48,76698541;0,189694553;48,57729085
02 Indre ùstfold;50934;1514;49420;240;49180;100;2,972474182;97,02752582;0,471198021;96,5563278;25358;799;24559;113;24446;49,78599757;1,568696745;48,21730082;0,221855735;47,99544509;25576;715;24861;127;24734;50,21400243;1,403777437;48,810225;0,249342286;48,56088271
03 Mosseregionen;46963;2500;44463;502;43961;100;5,32333965;94,67666035;1,068926602;93,60773375;23242;1334;21908;276;21632;49,49002406;2,840534037;46,64949002;0,587696697;46,06179333;23721;1166;22555;226;22329;50,50997594;2,482805613;48,02717033;0,481229904;47,54594042
04 Nedre Glomma;49877;1470;48407;183;48224;100;2,947250236;97,05274976;0,36690258;96,68584718;24476;710;23766;107;23659;49,07271889;1,423501814;47,64921707;0,214527738;47,43468934;25401;760;24641;76;24565;50,92728111;1,523748421;49,40353269;0,152374842;49,25115785
05 Akershus Vest;134087;8206;125881;886;124995;100;6,119907224;93,88009278;0,660765026;93,21932775;65617;3753;61864;454;61410;48,93613848;2,798929054;46,13720942;0,338586142;45,79862328;68470;4453;64017;432;63585;51,06386152;3,320978171;47,74288335;0,322178884;47,42070447
06 Follo;98513;4568;93945;514;93431;100;4,636951468;95,36304853;0,52175855;94,84128998;49157;2223;46934;263;46671;49,8989981;2,256554972;47,64244313;0,266969842;47,37547329;49356;2345;47011;251;46760;50,1010019;2,380396496;47,7206054;0,254788708;47,46581669
07 Nedre Romerike;123888;5034;118854;785;118069;100;4,06334754;95,93665246;0,633636833;95,30301563;61847;2487;59360;384;58976;49,92170347;2,007458349;47,91424512;0,309957381;47,60428774;62041;2547;59494;401;59093;50,07829653;2,05588919;48,02240734;0,323679452;47,69872788
08 ùvre Romerike;64952;1180;63772;101;63671;100;1,816726198;98,1832738;0,155499446;98,02777436;32562;556;32006;52;31954;50,13240547;0,856016751;49,27638872;0,080059121;49,1963296;32390;624;31766;49;31717;49,86759453;0,960709447;48,90688508;0,075440325;48,83144476
