;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
01 Halden;25816;963;24853;122;24731;100;3,730244809;96,26975519;0,472575147;95,79718004;12708;465;12243;66;12177;49,22528664;1,801208553;47,42407809;0,255655407;47,16842268;13108;498;12610;56;12554;50,77471336;1,929036257;48,8456771;0,21691974;48,62875736
02 Indre ùstfold;51120;1392;49728;185;49543;100;2,723004695;97,27699531;0,361893584;96,91510172;25518;752;24766;93;24673;49,91784038;1,471048513;48,44679186;0,181924883;48,26486698;25602;640;24962;92;24870;50,08215962;1,251956182;48,83020344;0,179968701;48,65023474
03 Mosseregionen;46713;2402;44311;431;43880;100;5,142037548;94,85796245;0,922655364;93,93530709;23040;1288;21752;233;21519;49,32245842;2,757262432;46,56519598;0,498790487;46,0664055;23673;1114;22559;198;22361;50,67754158;2,384775116;48,29276647;0,423864877;47,86890159
04 Nedre Glomma;3213;58;3155;4;3151;100;1,805166511;98,19483349;0,124494242;98,07033925;1618;20;1598;2;1596;50,35792095;0,622471211;49,73544974;0,062247121;49,67320261;1595;38;1557;2;1555;49,64207905;1,1826953;48,45938375;0,062247121;48,39713663
05 Akershus Vest;130651;8468;122183;807;121376;100;6,48138935;93,51861065;0,617676099;92,90093455;64156;3986;60170;411;59759;49,10486717;3,050875998;46,05399117;0,314578534;45,73941263;66495;4482;62013;396;61617;50,89513283;3,430513352;47,46461948;0,303097565;47,16152192
06 Follo;97052;4349;92703;445;92258;100;4,481102914;95,51889709;0,458517084;95,06038;48446;2142;46304;221;46083;49,91756996;2,207064254;47,71050571;0,227712979;47,48279273;48606;2207;46399;224;46175;50,08243004;2,27403866;47,80839138;0,230804105;47,57758727
07 Nedre Romerike;122008;4776;117232;679;116553;100;3,91449741;96,08550259;0,556520884;95,52898171;61101;2441;58660;336;58324;50,07950298;2,000688479;48,0788145;0,275391778;47,80342273;60907;2335;58572;343;58229;49,92049702;1,913808931;48,00668809;0,281129106;47,72555898
08 ùvre Romerike;64792;1146;63646;98;63548;100;1,768736881;98,23126312;0,151253241;98,08000988;32453;561;31892;51;31841;50,08797382;0,865847636;49,22212619;0,078713421;49,14341277;32339;585;31754;47;31707;49,91202618;0,902889246;49,00913693;0,07253982;48,93659711
